adjudicationid	adjudicationtype	adjudicationnumber	adjudicationterm	adjudicationlong	adjudicationshort	adjudicationnotes	adjudicationstatus
1	1	289	2016	Seneca Resources Corporation v. Highland Township, Elk County, Pennsylvania and the Highland Township Board of Supervisors, Elk County, Pennsylvania			
2	2	670	1906-10		D. Hunter, Jr., Robert K. Cochrane, John A. Sauer et al., vs. The City of Pittsburgh		
3	2	264	1907-10		D. Hunter, Jr., et al., vs. The City of Pittsburgh		
4	2	92	1991				
5	4		1970				
6	4	127	1970				
7	4	245	1970				
8	4	251	1970				
9	4	252	1970	State Board of Education vs. Chester Township School District			
10	4	296	1970				
11	4	90	1970				
12	4	1035	1971				
13	4	1054	1971				
14	4	154	1971				
15	4	192	1971				
16	4	230	1971				
17	4	259	1971			In re: Annexation of 59.30 acres of land lying in Upper Saucon Township, Lehigh County, Pennsylvania, to the Borough of Coopersburg	
18	4	459	1971				
19	4	946	1971				
20	4	1231	1972				
21	4	1232	1972				
22	4	1302	1972				
23	4	345	1972				
24	4	75	1972				
25	4	784	1972				
26	4	816	1972				
27	4	948	1972				
28	4	103	1973				
29	4	1587	1973				
30	4	276	1973				
31	4	730	1973				
32	4	1652	1974				
33	4	380	1974				
34	4	811	1974				
35	4	83	1974				
36	4	85	1974				
37	4	1525	1976				
38	4	939	1976	In re: Incorporation of Borough of Pennsbury Village			
39	4	1533	1978				
40	4	1548	1978				
41	4	1139	1979				
42	4	2475	1979				
43	4	2540	1979				
44	4	2576	1979				
45	4	1253	1980				
46	4	1619	1982	In re: Incorporation of Borough of Seven Fields. Canterbury Village, Inc., Appellant.			
47	4	2705	1983	In re: Incorporation of the Borough of Two Ponds. Two Ponds, Inc., Appellant.			
48	4	3456	1983				
49	4	355	1983				
50	4	3393	1984				
51	4	398	1986			Verify case number -- is this 398?	
52	4	1158	1988				
53	4	1343	1988				
54	4	1344	1988				
55	4	1345	1988				
56	4	1692	1988				
57	4	246	1989				
58	4	2628	1991				
59	4	2181	1992		IN RE: BOUNDRY LINE MONROE/CARBON COUNTY . WILLIAM McGOOKIN, Appellant		
60	4	1589	1993	In re: Incorporation of the Borough of Ashcombe			
61	4	229	1993				
62	4	236	1993				
63	4	282	1993				
64	4	155	1994				
65	4	780	1995		IN RE: BOUNDARY LINE MONROE/CARBON COUNTY . WILLIAM MCGOOKIN, Appellant		
66	4	1917	1998				
67	4	2637	1998				
68	4	268	1998				
69	4	269	1998				
70	4	2749	2001				
71	4	2467	2002	In Re: Petition of Rocco Viola, Jr. and Patricia Viola for the Appointment of a Border Commission to Ascertain or Establish the Boundary Line  Between Adams Township and Cranberry Township on Their Property			
72	4	434	2002				
73	4	687	2003				
74	4	533	2006				
75	4	938	2006	In Re:  Joint Petition for the Appointment  of a Border Commission to Ascertain or  Establish the Boundary Line Between Adams Township and Cranberry Township in Butler County, Pennsylvania			
76	4	545	2008	In Re: Petition for Formation of  Independent School District. Appeal of: Riegelsville Tax & Education Coalition.			
77	4	2210	2009	In Re: Petition for Formation of Independent School District. Appeal of: Riegelsville Tax and  Education Coalition.			
78	4	2283	2009				
79	4	2268	2012	In Re: Petition to Establish an Independent School District For Property Situate in Jefferson Township, Somerset County, For Purposes of Transfer to an Adjacent School District			
80	4	1426	2014				
81	4	2023	2014				
82	4	1209	2016				
83	5	34	1972				
84	5	40	1973				
85	5	151	1992		WILLIAM MCGOOKIN, Petitioner v. MONROE COUNTY AND CARBON COUNTY, Respondent		
86	5	299	2013	Snow Shoe Township v. Pennsylvania Public Utility Commission and Pennsylvania Treasury			
87	5	123	2017				
88	5	126	2017				
89	6	5	1971				
90	7	150	1899-10				
91	7	47	1899-10		In re: Incorporation of the Borough of Wayne		
92	7	180	1900-10		In re: Incorporation of the Borough of Morton		
93	7	203	1901-10				
94	7	87	1905-10	In re Incorporation of Mountville Borough			
95	7	81	1907-10				
96	7	252	1909-10				
97	7	256	1909-10				
98	7	144	1911-10				
99	7	227	1911-10				
100	7	276	1911-10				
101	7	294	1911-10				
102	7	206	1914-10	In the matter of the petitions of James P. Bunting and others to annul the charter of Hopewell Boro. Appeal of Thompson Hudson, N. T. Russell, Samuel Russell and Mary C. Hudson			
103	7	242	1914-10				
104	7	339	1916-10				
105	7	81	1917-10				
106	7	128	1920-10				
107	7	63	1926-10				
108	7	322	1930-10	In re: Annexation of a Portion of Abington Twp. to the Borough of Jenkintown, etc.			
109	7	316	1931-10				
110	7	278	1939-10				
111	7	129	1952-10				
112	7	192	1952-10				
113	7	52	1956-10				
114	7	74	1957-10				
115	7	75	1957-10				
116	7	76	1957-10				
117	7	77	1957-10				
118	7	78	1957-10				
119	7		1964			Not WD?	
120	7	336	1966-10				
121	7	549	1966-10				
122	7	1131	1967-10			In re: Annexation of Land Situate Partly in Lower Macungie Township and Partly in Upper Milford to the Borough of Macungie, Lehigh County, Pennsylvania	
123	7	1132	1967-10			In re: Annexation of 37 acres of land lying in Lower Macungie Township, Lehigh County, Pennsylvania, to the Borough of Alburtis	
124	7	189	1967-10				
125	7	190	1967-10				
126	7	2	1967-10				
127	7	886	1967-10				
128	7	363	1968-10				
129	7	69	1968-10				
130	7	319	1969-10				
131	7	505	1970-10				
132	9	18	1914-03				
133	9	10	1952-03				
134	9	20	1954-03				
