adjudicationeventid	adjudication	event	eventrelationship
1	1	8784	1
2	2	4358	1
3	3	4358	1
4	4	8637	1
5	5	8098	1
6	6	8522	1
7	7	8489	1
8	8	8170	1
9	9	7024	5
10	10	8043	1
11	11	8239	1
12	12	8393	1
13	13	8393	1
14	14	8172	1
15	15	8177	1
16	16	8198	1
17	17	8171	1
18	18	7830	10
19	19	8272	1
20	20	8355	1
21	21	8354	1
22	22	8345	1
23	23	8525	10
24	24	8237	1
25	25	8384	1
26	26	8384	1
27	27	8271	1
28	28	8266	1
29	29	8490	1
30	30	8491	1
31	31	8367	1
32	32	9189	1
33	32	9394	10
34	33	8411	1
35	33	9546	10
36	34	8289	10
37	34	8380	1
38	35	8384	1
39	36	8385	1
40	37	8535	1
41	38	8449	1
42	39	8512	1
43	40	8512	1
44	41	8535	1
45	42	8529	1
46	43	8512	1
47	44	8512	1
48	45	8541	1
49	46	8566	1
50	47	9627	1
51	48	8572	1
52	49	8571	1
53	50	8570	1
54	51	53503	1
55	52	8604	1
56	53	8637	1
57	54	8637	1
58	55	8637	1
59	56	9148	1
60	57	53503	1
61	58	8643	1
62	59	8666	1
63	60	8649	1
64	61	54403	1
65	62	8976	1
66	63	8976	1
67	64	9468	1
68	65	8666	1
69	66	8691	1
70	67	8717	1
71	68	8717	10
72	69	8717	1
73	70	8729	1
74	71	8710	1
75	72	8717	1
76	73	8737	1
77	74	8737	1
78	75	8733	1
79	76	8771	1
80	77	8771	1
81	78	8772	1
82	79	9237	1
83	80	8781	1
84	81	8787	1
85	82	8866	1
86	83	8542	1
87	84	8542	1
88	85	8666	1
89	86	8866	10
90	87	8784	1
91	88	8782	1
92	89	8236	1
93	90	3910	1
94	91	3910	1
95	92	3783	1
96	93	4015	1
97	94	4287	1
98	95	4325	1
99	96	4621	1
100	97	4621	1
101	98	4603	1
102	99	4663	1
103	100	4771	1
104	101	4465	5
105	102	4802	1
106	103	4817	1
107	104	4802	5
108	105	4993	1
109	106	5139	1
110	107	5396	1
111	108	5696	1
112	109	5758	1
113	110	5912	1
114	111	6619	1
115	112	6554	1
116	113	6776	1
117	114	6898	1
118	115	6898	1
119	116	6898	1
120	117	6806	1
121	118	6806	1
122	119	7620	1
123	120	7813	1
124	121	7755	1
125	122	7920	1
126	123	8795	1
127	124	7910	1
128	125	7910	1
129	126	7744	1
130	127	7816	1
131	128	7830	1
132	129	8113	1
133	130	8048	1
134	131	8129	1
135	132	4832	1
136	133	6533	1
137	134	6807	1
138	135	6840	1
139	136	7028	1
140	137	7028	1
141	138	7028	1
142	139	7028	1
143	140	7028	1
144	141	6807	1
145	142	6807	1
146	143	6807	1
147	144	6840	1
148	145	6840	1
149	146	6840	1
150	147	6571	10
151	148	9303	1
152	149	7530	1
153	150	7793	1
154	151	7593	1
155	152	2936	5
156	153	4160	1
157	154	3628	5
158	155	3889	1
159	156	3885	1
160	157	3904	1
161	158	3889	10
162	159	3889	10
163	160	4210	3
164	161	4469	1
165	162	6247	1
166	163	6463	1
167	164	6463	1
168	165	9682	1
169	166	9682	1
170	167	3711	1
171	168	3720	1
172	169	3777	1
173	170	3740	1
174	171	3832	1
175	172	3896	1
176	173	3794	10
177	174	3932	1
178	175	4042	1
179	176	4104	1
180	177	4087	1
181	178	4133	1
182	179	4143	1
183	180	4170	1
184	181	4129	1
185	182	4268	1
186	183	4367	1
187	184	4358	1
188	185	4314	1
189	186	4321	1
190	187	4449	1
191	188	4699	1
192	189	4784	1
193	190	4871	1
194	191	4916	1
195	192	4839	1
196	193	5074	1
197	194	5074	1
198	195	5102	1
199	196	5072	1
200	197	5009	1
201	198	5972	1
202	199	8876	1
203	200	5716	1
204	201	5718	1
205	202	5718	1
206	203	5780	1
207	204	5878	1
208	205	5853	1
209	206	5953	10
210	206	5987	1
211	207	6001	1
212	208	6066	1
213	209	6062	1
214	210	6186	1
215	211	6150	1
216	212	6091	1
217	213	6092	1
218	214	6093	1
219	215	6115	1
220	216	6150	1
221	217	6225	1
222	218	6220	1
223	219	6225	1
224	220	6109	1
225	220	6238	10
226	221	6109	10
227	221	6238	1
228	222	6109	1
229	222	6238	10
230	223	6484	1
231	224	6276	1
232	225	6258	10
233	226	6258	10
234	227	6258	1
235	228	6258	1
236	229	6357	1
237	230	6436	1
238	231	6354	1
239	232	6429	1
240	233	6398	1
241	234	6436	1
242	235	6482	1
243	236	6482	1
244	237	6565	1
245	238	6744	1
246	239	6637	1
247	240	6961	1
248	241	6958	1
249	242	6958	1
250	243	6902	1
251	244	7339	1
252	245	7305	1
253	245	7306	10
254	246	7519	10
255	247	7648	1
256	248	7819	1
257	249	7630	1
258	250	7631	1
259	251	7772	1
260	252	7757	1
261	253	8072	1
262	254	7807	1
263	255	7879	1
264	256	8072	1
265	257	7807	1
266	258	7967	1
267	259	8098	1
268	260	8167	1
269	261	8491	1
270	262	8114	1
271	263	8529	1
272	264	8242	1
273	265	8072	1
274	266	7807	1
275	267	8161	1
276	268	8236	1
277	269	8164	1
278	270	8235	1
279	271	8043	1
280	272	5146	10
281	273	7241	1
282	274	8858	1
283	275	8198	1
284	276	5072	1
285	277	693	1
286	278	679	1
287	279	1370	1
288	280	22454	1
289	281	1527	1
290	282	1827	1
291	283	1875	1
292	284	1406	10
293	285	2890	1
294	286	22076	1
295	287	2895	1
296	288	2915	1
297	289	2767	1
298	290	3083	1
299	291	2956	1
300	292	2813	1
301	293	3079	1
302	294	1750	3
303	295	3101	1
304	296	3210	1
305	297	3210	1
306	298	3244	1
307	299	22028	1
308	300	3448	1
309	301	3341	3
310	302	3421	1
311	303	3557	1
312	304	3524	1
313	305	3539	1
314	306	3585	1
315	307	3607	1
316	308	3632	1
317	309	3616	1
318	310	3649	1
319	311	3587	1
320	312	3587	1
321	313	3438	10
322	314	3628	5
323	315	3827	1
324	316	4210	3
325	317	4731	3
326	318	4866	1
327	319	4819	1
328	320	4802	5
329	321	5139	1
330	322	5679	1
331	323	5728	1
332	324	6533	1
333	325	6568	1
334	326	6575	1
335	327	6574	1
336	328	6577	1
337	329	6571	1
338	330	54400	1
339	331	6718	1
340	332	6719	1
341	333	6803	1
342	334	7233	1
343	335	7117	1
344	336	9003	1
345	337	15274	1
346	338	7320	1
347	339	7320	1
348	340	7320	1
349	341	7320	1
350	342	7320	1
351	343	7320	1
352	344	7320	1
353	345	7320	1
354	346	7117	5
355	347	7117	5
356	348	7398	1
357	349	7733	1
358	350	7537	1
359	351	8239	1
360	352	8637	1
361	353	8643	1
362	354	8976	1
363	355	8666	1
364	356	8781	1
365	357	749	1
366	358	732	1
367	359	4759	1
368	360	6571	10
369	361	7793	1
370	362	8355	1
371	363	8367	1
372	364	8781	1
373	365	6571	10
374	366	8781	1
375	367	4133	1
376	368	4143	1
377	369	4268	1
378	370	4916	1
379	371	5074	1
380	372	8529	1
381	373	8566	1
382	374	8717	1
383	375	8737	1
384	376	8772	1
385	377	9237	1
386	378	8787	1
387	379	50504	1
388	380	805	1
389	381	1182	1
390	382	1168	1
391	383	1391	1
392	384	1828	1
393	385	1792	1
394	386	2167	1
395	387	2459	1
396	388	2434	1
397	389	1310	10
398	389	2278	10
399	390	9419	1
400	391	2681	1
401	392	2960	1
402	393	3123	3
403	394	3129	1
404	395	3041	1
405	396	9703	1
406	397	3057	1
407	398	3368	1
408	399	3324	1
409	400	3474	1
410	401	3562	1
411	402	3308	1
412	403	3883	10
413	404	3967	10
414	405	4358	1
415	406	4446	10
416	407	4957	1
418	409	5718	1
419	410	5718	1
421	412	5273	5
422	413	5716	1
424	415	6109	1
425	416	6238	1
426	417	6109	1
427	419	6141	1
428	420	6140	1
429	421	6565	1
430	422	6258	5
431	423	6977	1
432	424	6937	10
433	425	7305	1
434	425	7306	10
435	426	6702	10
436	427	7123	1
437	428	54401	1
438	429	7347	1
439	430	7339	1
440	431	7465	1
441	432	7458	1
442	433	8890	1
443	434	7630	1
446	437	7631	1
447	438	7819	1
448	439	8072	1
449	440	7807	1
450	441	8161	1
451	442	8529	1
452	443	8787	1
453	444	3711	1
454	445	4225	1
455	446	5716	1
456	447	5780	1
457	448	6001	1
458	449	6066	1
459	450	6062	1
460	452	6238	1
461	453	6238	1
462	454	6225	1
463	455	6398	1
464	456	6436	1
465	457	6354	1
466	458	6744	1
467	459	7819	1
468	460	7757	1
469	461	8242	1
470	462	8164	1
471	463	8161	1
472	464	7807	1
473	464	8072	1
474	465	8242	1
475	466	3967	10
476	467	4446	10
477	468	2459	1
478	469	2809	10
479	470	3883	10
480	471	3057	10
481	472	3956	1
482	473	4458	1
483	474	7519	10
484	475	5651	5
485	476	5651	5
486	477	2439	10
487	478	4819	1
488	479	4663	1
489	480	4664	1
490	481	4663	10
491	481	4664	10
492	482	1505	1
493	483	4179	1
494	484	7868	5
495	485	53286	1
496	486	53287	1
497	487	53288	1
498	488	53290	1
499	489	5862	1
500	490	5884	1
501	491	53289	1
502	492	522	1
503	493	535	1
504	494	5870	1
505	495	5864	1
506	496	3123	3
507	497	4323	1
508	497	4324	1
509	497	4465	1
510	498	4465	5
511	499	4465	5
512	500	2279	1
513	501	4802	5
514	502	4802	5
515	503	9139	1
516	504	5624	1
517	505	4191	1
518	506	2605	1
519	507	2257	1
520	508	1814	5
521	509	2203	1
522	510	2970	1
523	511	3092	1
524	512	3068	1
525	513	3335	1
526	514	3585	1
527	515	3501	1
528	516	4387	1
529	517	5094	1
530	518	5873	1
531	519	6008	1
532	520	6139	1
533	521	7186	1
534	522	5879	1
535	526	1406	10
536	527	5865	1
537	528	7350	1
538	529	4759	1
539	530	6340	3
540	531	6422	3
541	532	6571	10
542	533	6577	10
543	534	3438	5
544	535	3783	5
545	536	6052	5
546	537	2039	1
548	540	4731	3
549	541	4021	10
550	542	4210	3
551	543	3958	10
552	544	4210	3
553	545	8790	1
554	546	5877	1
555	547	6340	3
556	548	2510	5
557	549	2510	5
558	550	2510	5
559	551	2697	5
560	552	3122	5
561	553	3557	5
562	554	3524	5
563	555	3557	5
564	556	3497	5
566	558	3889	5
567	559	3885	5
568	560	3885	5
569	561	1073	1
570	562	4847	1
571	563	887	1
572	564	4653	1
573	564	9310	10
574	565	2897	10
575	566	2853	5
576	567	3700	5
577	568	2578	5
578	569	2915	1
579	570	2675	1
580	571	2734	5
581	572	3341	3
582	573	3632	1
583	574	3798	5
584	575	3799	10
585	576	3799	10
586	577	3799	5
587	578	3894	5
588	579	3916	1
589	580	4263	1
590	581	4657	1
591	582	4692	1
592	583	5138	1
593	584	4472	1
594	585	4483	5
595	586	5139	1
596	587	4490	10
597	588	4548	1
598	589	4685	10
599	590	4963	1
600	591	5679	1
601	592	1714	10
602	592	3828	10
603	593	8852	10
604	594	4866	1
605	595	8852	10
606	596	4102	3
607	597	4599	1
608	598	5781	1
609	599	4366	1
610	600	4766	1
611	600	4767	1
612	601	4821	1
614	603	1800	3
615	604	1665	5
616	605	1775	5
617	606	1911	5
618	607	2530	1
619	608	3675	5
620	609	4258	5
621	610	7748	1
622	611	7556	1
623	612	1328	1
624	613	1382	1
625	614	1616	1
626	614	1925	1
627	615	3891	5
628	615	3917	10
629	616	6016	3
630	617	5975	5
631	618	5996	5
632	618	5997	5
633	618	5998	5
634	619	4160	1
636	621	1827	1
637	622	5867	1
638	623	5883	1
639	624	5885	1
640	625	5866	1
641	626	1700	1
642	627	4380	10
643	628	5411	1
644	629	4444	1
645	630	4557	1
646	631	805	10
647	632	5485	1
648	633	6258	10
649	634	6346	3
650	635	1828	1
651	636	4957	1
652	637	5907	1
653	638	9276	1
654	639	8515	1
655	640	8068	1
656	641	8067	1
657	642	8898	1
658	643	9331	1
659	644	8343	1
661	646	7982	1
662	647	8182	1
663	648	8330	1
664	649	8165	1
665	650	8599	1
666	651	7977	1
667	652	8464	1
668	653	8599	1
669	654	8005	1
670	655	8024	1
671	656	8025	1
672	657	8028	1
673	658	8023	1
674	659	8026	1
675	660	8027	1
676	661	8022	1
677	662	7981	1
678	663	7956	1
679	664	8377	1
680	665	8285	1
681	666	8327	1
682	667	8249	1
683	668	8259	1
684	669	8419	1
685	670	8637	1
686	671	8755	1
687	672	7990	1
688	673	8083	1
689	674	8084	1
690	675	8137	1
691	676	8214	1
692	676	8215	1
693	676	8216	1
694	676	8217	1
695	677	8214	1
696	678	8215	1
697	679	8216	1
698	680	8217	1
699	681	8179	1
700	682	8267	1
701	683	8173	1
702	684	8246	1
703	685	8334	1
704	686	8359	1
705	687	8360	1
706	688	8361	1
707	689	8277	1
708	690	9512	1
709	691	9627	1
710	692	8638	1
711	693	8773	1
712	694	7979	1
713	695	8207	1
714	696	8147	1
715	697	8235	1
716	698	8063	1
717	699	8166	1
718	700	8566	1
719	700	8703	1
720	700	8710	10
721	701	8003	1
722	702	7991	1
723	703	7988	1
724	704	8021	1
725	705	8080	1
726	706	8174	1
727	707	8284	1
728	708	8485	1
729	709	8461	1
730	710	8003	1
731	711	8461	1
732	712	8586	1
733	713	8002	1
734	714	8192	1
735	715	7961	1
736	716	8192	1
737	717	8245	1
738	718	9457	1
739	719	9457	1
740	720	8191	1
741	721	8244	1
742	722	8257	1
743	723	9649	1
744	724	8035	1
745	725	8057	1
746	726	8437	1
748	728	8013	1
749	729	8236	1
750	730	8996	1
751	731	8237	1
752	732	8154	1
753	733	8995	1
754	734	8472	1
756	736	8473	1
757	737	9219	1
758	738	8761	1
759	739	8761	1
760	740	7975	1
761	741	7976	1
762	742	9187	1
763	743	8355	1
764	744	8248	1
765	745	8367	1
766	746	8354	1
767	747	8345	1
768	748	8518	1
769	749	8251	1
771	751	8571	1
772	752	9148	1
773	753	8685	1
774	754	9097	1
775	755	8497	1
776	756	8498	1
777	757	9096	1
778	758	9098	1
779	759	8069	1
780	760	8499	1
786	803	8450	1
787	804	9572	1
788	805	8490	1
789	806	8007	1
790	807	8071	1
791	808	8156	1
792	809	8157	1
793	810	8279	1
794	811	8304	1
795	812	8535	1
797	814	8441	1
798	815	8087	1
799	816	8088	1
800	817	8089	1
801	818	8090	1
802	819	8328	1
803	820	8485	1
804	821	8503	1
805	822	8502	1
806	823	7881	1
807	824	9565	1
808	825	8036	1
810	827	11729	1
811	828	8542	1
812	829	7978	1
813	830	7962	1
814	831	7997	1
815	832	8046	1
816	833	8047	1
817	834	7965	1
818	835	7966	1
819	836	8188	1
820	837	7963	1
821	838	7964	1
822	839	8189	1
823	840	8239	1
824	841	8103	1
825	842	8104	1
826	843	7996	1
827	844	8116	1
828	845	8117	1
829	846	8118	1
830	847	8120	1
831	848	8121	1
832	849	8122	1
833	850	8053	1
834	851	8119	1
835	852	8018	1
836	853	8017	1
837	854	8019	1
838	855	8170	1
839	856	8054	1
840	857	8055	1
841	858	8271	1
842	859	8062	1
843	860	8097	1
844	861	8489	1
845	862	8052	1
846	863	8051	1
847	864	8184	1
848	865	8185	1
849	866	8250	1
850	867	8175	1
851	868	8232	1
852	869	8233	1
853	870	8221	1
854	871	8276	1
855	872	8274	1
856	873	8278	1
857	874	4653	10
858	874	9310	1
859	875	8252	1
860	876	8471	1
861	877	8471	10
862	878	8099	1
864	880	8329	1
865	881	8625	1
866	882	8723	1
867	883	8060	1
868	884	8059	1
869	885	8171	1
870	886	8163	1
871	887	8220	1
872	888	8481	1
873	889	8536	1
874	890	8542	1
884	900	8620	1
895	923	8411	1
896	925	8512	1
897	932	8000	1
909	944	9189	1
910	945	7984	1
911	946	7985	1
912	947	7986	1
913	948	7905	1
914	949	7994	1
915	950	7987	1
916	951	8075	1
917	952	8178	1
918	953	8187	1
919	954	8266	1
920	955	8225	1
921	956	8305	1
922	957	8356	1
923	958	8445	1
924	959	8396	1
925	960	8152	1
926	961	8260	1
927	962	8777	1
928	963	8015	1
929	964	8015	1
930	965	8194	1
931	966	8180	1
933	968	8280	1
934	969	8398	1
935	970	8415	1
936	971	8369	1
937	972	8372	1
938	973	8262	1
940	975	8273	1
941	976	8374	1
942	977	8319	1
943	978	8280	1
944	979	8357	1
945	980	8313	1
947	982	8273	1
948	983	8440	1
949	984	8299	1
950	985	8415	1
951	986	8319	1
953	988	8357	1
954	989	8369	1
955	990	8372	1
956	991	8374	1
957	992	8373	1
958	993	8368	1
960	995	8398	1
961	996	8457	1
962	997	8440	1
963	998	8402	1
964	999	8408	1
965	1000	8422	1
966	1001	8557	1
967	1002	8557	1
968	1003	8190	1
969	1004	8045	1
970	1005	8045	1
971	1006	8045	1
972	1007	8618	1
973	1008	8403	1
974	1009	8495	1
975	1010	8298	1
976	1011	9054	1
977	1012	8321	1
978	1013	8564	1
979	1014	7999	1
980	1015	8200	1
981	1016	8197	1
982	1017	9312	1
983	1018	8198	1
984	1019	9581	1
985	1020	8476	1
986	1021	8322	1
987	1022	8453	1
988	1023	8574	1
989	1024	8785	1
990	1025	8144	1
