adjudicationlocationtypeid	tribunal	adjudicationlocationtypearchivelevel	adjudicationlocationtypearchiveseries	adjudicationlocationtypetype	adjudicationlocationtypevolumetype	adjudicationlocationtypepagetype	adjudicationlocationtypeabbreviation	adjudicationlocationtypelong	adjudicationlocationtypeshort
1	3	\N		Docket	Volume	Page	Cv	Civil	Civ.D.
2	5	1		Docket	Identifier	Image	Engrossed Dkt	Engrossed	Egr.D.
4	5	1	301668	File	Number	Box	Appellate F	Appellate	App.F.
5	6	\N		Docket	Volume	Page	Tr	Transfer	Tfr.D.
6	6	\N		Docket	Volume	Page	MD	Miscellaneous	Misc.D.
7	6	\N		Docket	Volume	Page	CD	Commonwealth	Commw.D.
8	7	\N		Book	Year	Volume	Paper	Paper	P.Bk.
10	7	\N		Docket	Volume	Page	EDA	Appeal	App.D.
12	8	\N		Docket	Volume	Page	MDA	Appearance	Apr.D.
14	9	\N		Docket	Volume	Page	Williamsport Appeal	Appeal	App.D.
15	10	\N		Docket	Volume	Page	Scranton Appeal	Appeal	App.D.
16	11	\N		Book	Year	Volume	Paper	Paper	P.Bk.
17	11	\N		Docket	Volume	Page	WDM	Miscellaneous	Misc.D.
18	11	\N		Docket	Volume	Page	WDA	Appeal	App.D.
19	12	\N		Book	Year	Volume	Paper	Paper	P.Bk.
20	12	\N		Docket	Volume	Page	EAP	Appeal	App.D.
22	12	\N		Docket	Volume	Page	EAL	Allocatur	Alc.D.
23	12	2	33.10	File	Location	Box	Appeal F	Appeal	App.F.
25	13	\N		Docket	Volume	Page	MAL	Allocatur	Alc.D.
26	13	\N		Docket	Volume	Page	MM	Miscellaneous	Misc.D.
27	13	\N		Docket	Volume	Page	MAP	Appeal	App.D.
28	14	\N		Book	Year	Volume	Paper	Paper	P.Bk.
29	14	\N		Docket	Volume	Page	WAL	Allocatur	Alc.D.
30	14	\N		Docket	Volume	Page	WAP	Appeal	App.D.
31	14	\N		Docket	Volume	Page	WM	Miscellaneous	Misc.D.
32	16	\N		Docket	Volume	Page	Appearance (No. 2)	Appearance (No. 2)	Com.Pl.#2.Apr.D.
33	16	\N		Docket	Volume	Page	GD	General	Gen.D.
34	17	\N		Docket	Volume	Page	App	Appearance	Apr.D.
36	20	\N		Docket	Volume	Page	Equity	Equity	Eq.D.
37	21	\N		Docket	Volume	Page	Continuance	Continuance	Cn.D.
38	21	\N		Docket	Volume	Page	CP	Common Pleas	Com.Pl.D.
39	22	\N		Docket	Volume	Page	App	Appearance	Apr.D.
40	23	\N		Docket	Volume	Page	App	Appearance	Apr.D.
42	24	\N		Docket	Volume	Page	Misc	Miscellaneous	Misc.D.
43	25	\N		Docket	Volume	Page	Equity	Equity	Eq.D.
44	29	\N		Docket	Volume	Page	Equity	Equity	Eq.D.
45	29	\N		Docket	Volume	Page	Misc	Miscellaneous	Misc.D.
46	30	\N		Docket	Volume	Page	Continuance	Continuance	Cn.D.
47	31	\N		Docket	Volume	Page	CD	Continuance	Cn.D.
48	32	\N		Docket	Volume	Page	Misc	Miscellaneous	Misc.D.
49	32	\N		Docket	Volume	Page	Equity	Equity	Eq.D.
50	32	\N		File	Box	N/A	Sup Ct F	Supreme Court	Sup.Ct.F.
51	34	\N		Docket	Volume	Page	Equity	Equity	Eq.D.
52	34	\N		Docket	Volume	Page	App	Appearance	Apr.D.
