adjudicationtypeid	tribunal	adjudicationtypeabbreviation	adjudicationtypelong	adjudicationtypeshort
1	3	Cv	Civil	Civ.D.
2	5	Appellate	Appellate	App.D.
3	5	Original	Original	Orig.D.
4	6	CD	Commonwealth	Commw.D.
5	6	MD	Miscellaneous	Misc.D.
6	6	Tr	Transfer	Tfr.D.
7	7	EDA	Appeal	App.D.
9	8	MDA	Appeal	App.D.
11	9	Williamsport Appeal	Appeal	App.D.
12	10	Scranton Appeal	Appeal	App.D.
13	11	WDA	Appeal	App.D.
14	11	WDM	Miscellaneous	Misc.D.
15	12	EAL	Allocatur	Alc.D.
16	12	EAP	Appeal	App.D.
18	13	MAL	Allocatur	Alc.D.
19	13	MAP	Appeal	App.D.
20	13	MM	Miscellaneous	Misc.D.
21	14	WAL	Allocatur	Alc.D.
22	14	WAP	Appeal	App.D.
23	14	WM	Miscellaneous	Misc.D.
24	16	GD	General	Gen.D.
25	16	Appearance (No. 2)	Appearance (No. 2)	Com.Pl.#2.Apr.D.
26	17	Civ	Civil	Civ.D.
27	19	CP	Common Pleas	Com.Pl.D.
28	20	App	Appearance	Apr.D.
29	20	Equity	Equity	Eq.D.
30	21	Civ	Civil	Civ.D.
31	22	Civ	Civil	Civ.D.
32	23	Civ	Civil	Civ.D.
33	24	MSD	Miscellaneous	Misc.D.
34	25	Equity	Equity	Eq.D.
35	29	Equity	Equity	Eq.D.
36	29	Misc	Miscellaneous	Misc.D.
37	30	Civ	Civil	Civ.D.
38	31	CD	Civil	Civ.D.
39	32	Equity	Equity	Eq.D.
40	32	Misc	Miscellaneous	Misc.D.
41	34	Apr	Appearance	Apr.D.
42	34	Equity	Equity	Eq.D.
43	35	App	Appearance	Apr.D.
44	36	CD	Commonwealth	Commw.D.
45	37	Civ	Civil	Civ.D.
46	39	Equity	Equity	Eq.D.
47	40	Civ	Civil	Civ.D.
49	49	Civ	Civil	Civ.D.
50	49	Equity	Equity	Eq.D.
51	51	Appearance	Appearance	Apr.D.
52	51	Equity	Equity	Eq.D.
53	51	Misc	Miscellaneous	Misc.D.
54	52	Civil	Civil	Civ.D.
55	52	Equity	Equity	Eq.D.
57	54	Civ	Civil	Civ.D.
58	54	Equity	Equity	Eq.D.
59	55	Equity	Equity	Eq.D.
60	60	Equity	Equity	Eq.D.
61	62	Continuance	Continuance	Cn.D.
62	63	Civ	Appearance	Apr.D.
63	63	Equity	Equity	Eq.D.
65	68	Equity	Equity	Eq.D.
67	68	S	Suit	Su.D.
68	69	Civ	Appearance	Apr.D.
70	70	Equity	Equity	Eq.D.
71	70	Misc	Miscellaneous	Misc.D.
72	71	Civ	Civil	Civ.D.
73	72	CP	Common Pleas	Com.Pl.D.
74	73	Civ	Civil	Civ.D.
75	77	Civ	Civil	Civ.D.
76	77	Equity	Equity	Eq.D.
77	79	CI	Civil	Civ.D.
78	79	Equity	Equity	Eq.D.
79	83	Misc	Miscellaneous	Misc.D.
81	85	In re	In re	IR.D.
82	85	Road	Road	Rd.D.
83	86	Misc	Miscellaneous	Misc.D.
84	86	Road	Road	Rd.D.
85	87	Sess	Sessions	Q.Sess.D.
86	88	Misc	Miscellaneous	Misc.D.
87	89	Petn	Petition	Pet.D.
88	90	Misc	Miscellaneous	Misc.D.
89	91	Misc	Miscellaneous	Misc.D.
90	92	B.T.S.	B.T.S.	Twp.D.
91	93	Misc	Miscellaneous	Misc.D.
92	93	Road	Road	Rd.D.
93	96	Misc	Miscellaneous	Misc.D.
94	97	Misc	Miscellaneous	Misc.D.
95	98	Sess	Sessions	Q.Sess.D.
97	102	Misc	Miscellaneous	Misc.D.
98	102	Road	Road	Rd.D.
99	103	Misc	Miscellaneous	Misc.D.
100	104	Misc	Miscellaneous	Misc.D.
101	105	Misc	Miscellaneous	Misc.D.
102	107	Misc	Miscellaneous	Misc.D.
103	107	Sess	Sessions	Q.Sess.D.
104	108	Civ	Civil	Civ.D.
105	110	Anx	Annexation	Ax.D.
106	111	Sess	Sessions	Q.Sess.D.
108	112	Road	Road	Rd.D.
109	113	Sess	Sessions	Q.Sess.D.
110	114	Misc	Miscellaneous	Misc.D.
111	115	Sess	Sessions	Q.Sess.D.
112	117	Crim	Criminal	Crim.D.
113	117	Misc	Miscellaneous	Misc.D.
114	118	Road	Road Minutes	Rd.D.
115	119	Road	Roads and Bridges	Rd.D.
116	120	Crim	Criminal	Crim.D.
117	120	Misc	Miscellaneous	Misc.D.
118	121	Misc	Miscellaneous	Misc.D.
119	121	Road	Road	Rd.D.
120	122	Crim	Criminal	Crim.D.
121	122	Sess	Sessions	Q.Sess.D.
124	125	Misc	Miscellaneous	Misc.D.
125	127	Misc	Miscellaneous	Misc.D.
126	128	Elec	Election	Elec.D.
127	128	Sess	Sessions	Q.Sess.D.
128	130	Elec	Election	Elec.D.
129	130	Sess	Sessions	Q.Sess.D.
130	131	Misc	Miscellaneous	Misc.D.
131	131	Road	Road	Rd.D.
132	136	Misc	Miscellaneous	Misc.D.
133	137	Misc	Miscellaneous	Misc.D.
134	138	Misc	Miscellaneous	Misc.D.
135	138	Road	Road	Rd.D.
