affectedgovernmentgisid	affectedgovernment	governmentshape
1	6964	3
2	13516	4
3	13376	4
4	13359	4
5	13352	4
6	618	7
7	3441	8
8	3434	8
9	3223	8
10	14062	9
11	13571	12
12	13365	12
13	13348	12
14	13312	12
15	9891	13
16	923	14
17	13416	15
18	13628	16
19	13489	16
20	6966	17
21	746	18
22	260	18
23	8501	19
24	9531	21
25	934	24
26	933	24
27	307	24
28	13036	27
29	15969	28
30	4087	29
31	3903	29
32	12912	32
33	12473	34
34	12447	34
35	5795	35
36	13550	37
37	13516	37
38	13376	37
39	13359	37
40	13352	37
41	5091	39
42	4675	41
43	4561	41
44	8958	43
45	9348	44
46	9538	45
47	5913	51
48	2553	52
49	614	53
50	13391	54
51	13363	54
52	13356	54
54	12291	57
55	12209	57
56	13608	58
57	13607	58
58	13602	58
59	13512	58
60	13468	58
61	13343	58
62	12536	183
63	12516	183
64	4675	59
65	4555	59
66	13620	61
67	13376	61
68	13359	61
69	13340	61
70	12905	63
71	12726	63
72	12643	63
73	7224	67
74	9217	68
75	799	109
76	6688	70
77	13613	71
78	13608	71
79	13607	71
80	13391	71
81	13343	71
82	3441	73
83	3434	73
84	2170	74
85	9497	105
86	8713	106
87	2265	84
88	2131	84
91	8465	88
92	3346	91
93	11770	92
94	2282	95
95	9800	96
96	6777	96
97	16707	97
98	3208	100
99	13619	102
100	13376	102
101	13359	102
102	13327	102
103	2335	107
104	15955	110
106	6888	113
107	3337	114
108	13044	141
109	9557	4013
110	6122	118
111	6097	119
112	6092	119
113	5705	340
114	6335	123
115	16707	127
116	4285	129
117	13608	133
118	13601	133
119	13509	133
120	13363	133
121	13361	133
129	4754	138
130	9324	142
132	16292	153
133	16061	153
134	10090	149
135	7457	150
137	5194	154
138	6115	158
139	1200	180
140	1190	180
141	646	184
142	16039	185
143	16221	186
144	6824	164
145	4244	167
146	2335	169
148	806	173
149	14073	176
150	270	177
151	11351	179
152	13609	205
153	13599	205
154	13509	205
155	13363	205
156	13361	205
157	6127	206
158	6115	194
159	16052	197
160	4219	198
161	4154	198
162	2335	199
163	2332	199
164	2588	202
165	238	207
166	9493	211
167	7840	212
168	9951	213
169	11059	215
170	2255	216
171	209	219
173	172	221
174	171	221
175	13365	223
176	13348	223
177	13265	223
178	203	286
179	16280	225
180	1304	226
181	1294	226
182	2335	227
183	2327	227
184	2153	228
185	12580	315
186	5114	316
191	6865	230
192	2252	232
193	9415	233
194	9529	508
195	2359	236
196	9237	239
197	3249	241
198	9909	242
199	9906	242
200	9887	242
201	9871	242
202	12529	251
203	3302	256
204	6096	259
206	6774	264
209	999	268
210	2134	275
211	2841	276
213	2731	278
214	3216	279
215	16467	283
216	13612	284
217	13476	284
218	13468	284
219	3526	285
220	3266	285
221	15954	322
222	9881	288
223	9853	288
224	14425	291
225	6503	292
226	6502	292
227	6498	292
228	6497	292
229	4994	293
230	13666	296
231	13608	296
232	13607	296
233	13602	296
234	13510	296
235	13363	296
236	4037	298
237	5417	301
238	2882	303
239	9140	305
242	14491	307
243	6133	308
244	1249	325
245	13566	327
246	13363	327
247	13361	327
248	13654	328
249	13615	328
250	13365	329
251	13348	329
252	13265	329
253	9871	330
254	15939	335
255	1283	337
256	2353	343
257	9204	344
258	1157	345
259	9007	346
260	13636	347
261	13475	347
262	3513	350
263	13578	351
264	13376	351
265	13359	351
266	13340	351
267	13327	351
268	8745	352
269	6839	353
270	6831	353
271	7186	354
272	4675	355
273	4546	355
274	346	383
275	320	383
276	16001	384
277	9232	360
278	12367	361
279	15188	362
280	13652	366
281	13486	366
282	13412	366
283	9216	368
284	11281	371
291	2839	379
293	4675	381
294	4563	381
295	3842	385
296	3526	393
297	3269	393
298	9402	394
299	13391	399
300	13363	399
301	13356	399
302	6837	400
303	6831	400
305	12263	416
306	2318	403
307	4675	404
308	4571	404
309	13447	406
310	13365	406
311	13348	406
312	5618	407
313	1200	409
314	1190	409
315	2335	411
316	2327	411
317	9130	418
318	1159	420
319	3515	422
320	9322	423
321	11375	425
322	9900	427
323	9872	427
324	9829	427
325	9888	643
326	9871	643
327	9858	643
328	13050	430
329	7858	431
330	7192	435
331	10122	437
333	13004	443
335	10197	446
336	13668	448
337	13612	448
338	13479	448
339	13385	448
341	16034	449
342	11767	450
343	13590	452
344	13374	452
345	13353	452
346	3299	453
347	9873	454
348	9858	454
349	3926	455
350	15456	456
351	15339	456
352	6723	464
353	10163	466
354	9545	467
355	6128	468
356	4463	469
357	3966	470
358	9868	473
359	9858	473
360	6513	473
361	3302	477
362	208	542
363	13481	479
364	13412	479
365	4162	480
366	2731	481
367	16470	484
368	102	486
369	12272	489
370	2570	490
371	6818	493
372	13668	495
373	13609	495
374	13604	495
375	13429	495
376	9444	496
377	13667	497
378	13612	497
379	13478	497
380	13286	497
381	11541	498
382	599	499
383	13551	502
384	13475	502
385	13352	502
386	13313	502
388	1205	505
389	777	505
390	8951	509
395	2586	514
396	2580	514
397	299	516
398	1251	518
399	9427	523
400	1000	528
401	9502	530
402	7457	531
403	6228	538
404	14409	539
405	12569	540
406	12545	540
407	12531	540
408	10224	543
409	9070	548
410	6224	549
411	4675	551
412	4568	551
414	13053	555
415	9109	556
416	9268	557
418	2133	559
419	2256	576
420	13612	590
421	13477	590
422	13467	590
423	13015	591
424	1560	666
425	902	836
426	375	836
427	7215	563
428	12874	565
429	12873	565
430	12870	565
431	12698	565
432	2546	566
433	2479	566
434	2198	566
435	9157	567
436	640	568
437	15971	570
438	2777	572
439	9404	573
440	9566	574
441	14846	616
442	16300	579
443	2723	581
444	9300	582
445	5208	585
446	2781	586
447	9251	588
448	14179	592
449	2587	594
450	9339	595
451	575	597
452	7218	599
453	12533	600
454	16717	641
455	735	605
456	260	605
457	10205	606
458	604	608
459	2954	609
460	13556	610
461	13365	610
462	13338	610
463	13285	610
464	12588	611
465	9424	612
466	13655	614
467	13632	614
468	3441	618
469	3429	618
470	6077	619
471	9229	622
472	9308	624
473	879	625
474	4675	626
475	4548	626
476	15639	631
478	9133	633
479	647	634
480	12498	636
481	12236	636
482	12215	636
483	7911	637
484	2358	640
485	11570	12122
486	12375	645
487	12340	645
488	7139	649
489	9889	652
490	9871	652
491	9858	652
492	732	654
493	259	654
494	10169	655
495	5580	656
496	15724	657
497	4990	658
498	1082	659
499	991	659
501	6383	661
502	4483	665
503	2694	953
504	14424	667
505	14421	667
506	3208	670
507	15973	671
508	6456	675
509	6286	675
510	2491	690
511	15447	691
512	9875	676
513	9853	676
514	13645	677
515	13377	677
516	2337	680
517	4465	681
518	9560	683
519	16298	684
520	11351	685
524	11393	688
525	12559	692
526	12531	692
527	6833	694
528	6831	694
529	9241	695
530	6907	696
531	4481	697
532	15871	698
533	9424	699
534	188	703
535	9546	2908
536	6497	707
537	6496	707
538	6190	707
539	9306	710
540	16124	711
541	14436	712
542	9498	713
543	3308	716
544	14177	717
545	13608	718
546	13607	718
547	13602	718
548	13511	718
549	13469	718
550	9417	722
554	3298	727
555	6223	728
556	9345	729
557	2722	733
558	6190	736
559	6189	736
560	13523	739
561	13358	739
562	13309	739
563	12986	740
564	7864	742
565	13612	743
566	13510	743
567	13476	743
568	13471	743
569	13343	743
570	5209	744
571	14293	748
572	13014	752
573	10131	753
574	979	754
575	3509	755
576	9425	756
577	9163	757
578	9234	758
579	16049	2910
580	2318	759
581	12537	760
582	12440	760
583	12214	760
584	9458	761
585	2793	763
586	2004	764
587	7780	765
589	9493	768
590	16070	771
591	6691	2693
592	14781	773
593	2703	774
594	11	777
595	8969	778
600	9448	780
603	11285	783
604	11238	783
605	1307	784
606	9889	2922
607	9871	2922
608	9858	2922
609	9153	787
614	13530	801
615	13475	801
616	13352	801
617	3441	793
618	3426	793
619	9400	797
620	11306	798
621	11255	798
623	9304	805
624	602	806
625	3310	807
626	2177	810
627	13376	821
629	10201	812
630	10200	812
631	12560	814
632	12531	814
633	825	815
634	6966	817
635	9071	818
636	13660	820
637	13422	820
638	13349	820
639	7215	825
640	13608	827
