affectedgovernmentgroupid	event
1	8758
2	157
3	8758
4	7326
5	8758
6	7326
7	7915
8	8758
9	7326
10	150
11	1933
12	7326
13	272
14	1128
15	7326
16	8758
17	632
18	624
19	8758
20	8758
21	8758
22	7326
23	1660
24	5812
25	5966
26	7179
27	6982
28	7918
29	8515
30	9277
31	2594
32	9276
33	8758
34	9275
35	7326
36	1813
37	1687
38	1962
39	2788
40	7326
41	8758
42	8758
43	809
44	111
45	467
46	7326
47	8758
48	7326
49	3664
50	7146
51	555
52	7145
53	8758
54	8898
55	8343
56	4590
57	2627
58	523
59	8758
60	1589
61	7326
62	1630
63	7326
64	8758
65	8758
66	7326
67	8758
68	865
69	4484
70	3639
71	7023
72	8758
73	4484
74	7326
75	2788
76	1962
77	1687
78	1813
79	4484
80	4484
81	7326
82	8343
83	8758
84	4484
85	4484
86	8758
87	150
88	7326
89	7326
90	8730
91	6854
92	6111
93	2971
94	8898
95	467
96	865
97	1416
98	8758
99	7326
100	2327
101	7643
102	7548
103	7326
104	8994
105	8758
106	8758
107	7326
108	7326
109	7586
110	7332
111	8758
112	7326
113	8758
114	624
115	8758
116	113
117	7326
118	7326
119	8758
120	8758
121	7326
122	113
123	7813
124	9331
125	7326
126	8758
127	5966
128	8515
129	5668
130	144
131	632
132	7326
133	8822
134	6034
135	4063
136	8758
137	7326
138	7539
139	8758
140	7326
141	2848
142	8994
143	624
144	5335
145	8758
146	7326
147	4475
148	4655
149	5786
150	5739
151	5916
152	6193
153	6071
154	6557
155	6882
156	7151
157	7035
158	8068
159	8067
160	8758
161	7326
162	8758
163	150
164	7326
165	7326
166	7112
167	4002
168	6239
169	5074
170	4947
171	5131
172	5130
173	9133
174	9132
175	3582
176	5780
177	4786
178	4785
179	2762
180	8376
181	8691
182	7322
183	8691
184	8691
185	7240
186	4013
187	6753
188	5037
189	4099
190	9419
191	2798
192	8691
193	5077
194	8691
195	9213
196	1468
197	2297
198	3375
199	4038
200	1198
201	1883
202	2747
203	3826
204	5073
205	5334
206	5333
207	6189
208	5989
209	9116
210	1467
211	5626
212	5484
213	4507
214	1993
215	3618
216	7089
217	8691
218	8176
219	6364
220	7309
221	8691
222	5903
223	2618
224	4365
225	8691
226	3462
227	3687
228	6928
229	8691
230	9311
231	3816
232	6094
233	9532
234	6779
235	6150
236	4396
237	2664
238	4467
239	4468
240	4820
241	4432
242	4498
243	2153
244	9464
245	9533
246	8691
247	3980
248	1852
250	2206
251	9361
252	7844
253	6436
254	6044
255	6091
256	6092
257	6093
258	6151
259	6152
260	4677
261	4765
262	6149
263	6747
264	8449
265	1312
266	1837
267	2371
268	8384
269	6393
270	7339
271	6827
272	9311
273	4429
274	8592
275	8417
276	8823
277	8691
278	4455
279	4182
280	8691
281	8691
282	8826
284	2809
285	2139
286	1468
287	872
288	828
289	1824
290	2220
291	3303
292	3836
295	3895
296	8691
297	5208
298	5715
299	5711
300	5710
301	3517
302	8691
303	8283
304	8164
305	8691
306	3923
307	6446
308	6047
309	6109
310	2015
311	5536
312	4839
313	3816
314	9517
315	6117
316	6118
317	5009
318	2015
319	6383
320	9463
321	8828
322	6358
323	6359
324	6432
325	6433
326	6143
327	5714
328	5718
329	5535
330	5585
331	4691
332	6238
333	8895
334	8896
335	4933
336	4844
337	4121
338	3109
339	754
341	754
342	3946
343	5031
344	5032
345	4626
346	5474
347	3306
348	8691
349	8691
350	8176
351	8826
352	8691
353	8378
354	4389
355	8691
356	8845
357	8691
358	3238
359	2371
360	7832
361	5567
362	3711
363	3356
364	3357
365	1617
366	8691
367	8331
368	4700
370	843
371	8691
372	8691
373	8342
374	5778
375	5181
376	5470
377	5274
378	2218
379	8324
380	8691
381	4758
382	4252
383	2471
384	2868
385	2711
386	3733
387	4310
388	4446
390	3306
391	5513
392	4672
393	3722
394	4012
395	8691
396	7848
397	8691
398	8691
399	5825
400	8767
401	8691
402	3901
403	2278
404	2416
405	4429
407	8414
409	8691
410	8828
411	8691
412	637
413	2000
414	2000
415	6030
416	3413
417	6186
418	6066
419	6377
420	6237
421	3562
422	3561
423	3511
424	8691
425	4684
426	3731
427	3965
428	4148
429	5524
431	5900
432	5835
433	6141
434	6140
435	4604
436	1996
437	2225
438	3905
439	4185
440	3180
441	4509
442	5523
443	9631
444	2887
445	8691
446	8286
447	7112
448	6680
449	8691
450	8691
451	6777
452	1004
453	1540
454	8413
455	8323
456	8691
457	8640
458	1467
459	2963
460	4732
461	4939
462	9311
463	2225
464	2218
465	4440
466	1773
467	2218
468	8691
469	8691
470	8287
471	5103
472	9571
473	1418
474	2218
475	3986
476	3162
477	3041
478	3702
479	4173
480	9706
481	9705
482	4303
483	3057
484	6930
485	797
486	6950
487	2920
488	7752
489	6589
490	4367
491	4227
492	4365
493	5037
494	5820
495	5819
496	6607
497	7089
498	7009
499	7214
500	4099
501	3611
502	1959
503	4089
504	7330
505	8691
506	8332
507	3999
508	8691
509	5215
510	4042
511	4301
512	3622
513	593
514	311
515	593
516	5266
517	2218
518	4212
519	4087
520	9330
521	4340
522	3262
523	3350
524	2900
526	2092
527	8691
528	760
529	8333
530	3263
531	3790
532	8370
533	3543
534	3989
535	3462
536	4404
537	2756
538	8691
539	8717
540	8554
541	8691
542	8691
543	3542
544	8691
545	8290
546	7932
547	900
548	75
549	2162
550	6998
551	6357
552	6281
553	6744
554	9466
555	2493
556	2434
557	217
558	363
559	1755
560	434
561	87
562	75
563	269
564	8691
565	773
566	772
567	743
568	1918
569	217
570	774
571	742
572	1483
573	7848
574	8410
575	7847
576	4688
577	747
578	698
579	7760
580	1272
581	1584
582	6045
583	6232
584	1852
585	6676
586	8427
587	8691
588	5107
589	5319
590	1541
591	6994
592	5367
593	2162
594	5270
595	5092
596	5512
597	5511
598	8691
599	5717
600	5716
601	5713
602	5712
603	3931
604	6310
605	6243
606	8691
607	7883
608	8211
609	7589
610	7342
611	8691
612	9465
613	3137
614	6532
615	682
616	9085
617	9086
618	5521
619	4916
620	4826
621	4827
622	5351
623	4996
624	8691
625	9603
626	451
627	9604
628	8691
629	2709
630	6680
631	1759
632	1659
633	932
634	1918
635	742
636	4218
637	6500
638	9715
639	3228
640	3634
641	3389
642	3388
643	4918
644	4872
645	5163
646	5592
647	5725
648	5724
649	6372
650	3537
651	4357
652	4690
653	5091
654	4907
655	5154
656	5309
657	5261
658	9462
659	2868
660	5654
661	5506
662	9421
663	9420
664	8691
665	8691
666	3360
667	8740
668	2218
669	8778
670	668
671	1918
672	8691
673	4646
674	4080
675	8384
676	8385
677	3238
678	8691
679	512
680	1222
681	3611
682	4099
683	279
684	5689
685	1168
686	8691
687	1211
688	1957
689	2558
690	1705
691	8691
692	8691
693	2267
694	5181
695	897
696	897
697	8691
698	3274
699	3548
700	6095
701	6225
702	4491
703	5205
704	8409
705	8691
706	5784
707	6192
708	6125
709	6124
710	6038
711	5324
712	5177
713	6112
714	8859
715	3305
716	4183
717	5534
718	1996
719	1909
720	1909
721	2218
722	802
723	7306
724	7305
725	4871
726	8691
727	4809
728	8691
729	6429
730	6354
731	6276
732	7844
734	8365
735	5125
736	6353
737	9034
738	5009
739	6116
740	6115
741	6087
743	7387
744	7932
745	6658
746	6657
747	1468
748	337
750	1543
751	4344
752	8406
753	2218
754	8691
755	8293
756	5799
757	3946
758	4659
759	345
760	1413
761	1461
762	3883
763	4204
764	3170
765	3324
766	4793
767	4792
768	8691
769	3849
770	5330
771	4790
772	6031
773	4172
774	4111
775	5762
776	5672
777	3991
778	3912
779	8691
780	9544
781	4235
782	4218
783	4684
784	3228
785	3907
786	4169
787	5878
788	5853
789	3973
790	8691
791	4147
792	3658
793	4132
794	6255
795	6194
796	9197
797	5167
798	5584
799	5583
800	5749
801	5709
802	3967
803	4485
804	5088
805	5569
806	2640
807	3196
808	3951
809	4412
810	4334
811	5078
812	5148
813	4075
815	4338
816	682
817	3109
818	843
820	4423
821	8691
822	3357
823	3356
824	5505
825	7204
826	7729
827	5146
828	7832
829	2371
830	802
831	1711
832	5211
833	8691
834	3899
835	8691
836	9542
837	8691
838	9399
839	5878
840	1005
841	1310
842	3263
843	2139
844	1711
845	1824
846	2061
847	2258
848	1689
849	2789
850	6593
851	7306
852	7305
853	8362
854	1561
855	1467
857	2391
858	3498
859	1209
860	1823
861	3547
862	1905
863	9518
864	481
865	9297
866	2472
867	1751
868	1964
869	1917
870	2090
871	4302
872	851
873	2505
874	3876
875	3877
876	2532
877	8904
878	873
879	2010
880	1605
881	5303
882	3451
883	4152
884	1698
885	682
886	2444
887	3306
888	2954
889	3365
890	5142
891	5434
892	6902
893	7177
894	1759
895	1918
896	1207
897	1918
898	2552
899	5429
900	1563
901	8691
902	4383
903	4860
904	797
905	6484
906	1461
907	4204
908	4660
909	5964
910	9238
911	9236
912	1413
913	8691
914	1923
915	4908
916	5582
917	5581
918	8831
919	8832
920	4321
921	4070
922	5342
923	5800
924	8691
925	6079
926	859
927	6162
928	6089
929	6220
930	698
931	6347
932	682
933	6259
934	6198
935	8227
936	6766
937	9235
938	4478
939	5555
940	9204
941	1312
942	3969
943	4682
944	5203
945	8691
946	3136
947	8691
948	4706
949	2119
950	8691
951	8261
952	5187
953	1354
954	4796
955	2412
956	5318
957	4869
958	646
959	8691
960	5768
961	8691
962	8691
963	4346
