affectedgovernmentgrouppartid	affectedgovernmentgroup	affectedgovernmentpart	affectedgovernmentlevel
1	1	5544	5
2	1	20926	3
3	1	153	6
4	2	5547	5
5	2	9214	3
6	2	153	6
7	3	5544	5
8	3	9218	3
9	3	153	6
10	4	5545	5
11	4	22844	3
12	4	153	6
13	5	5544	5
14	5	14771	3
15	5	153	6
16	6	5545	5
17	6	14771	3
18	6	153	6
19	7	5547	5
20	7	14768	3
21	7	153	6
22	8	5544	5
23	8	14101	3
24	8	153	6
25	9	5545	5
26	9	14101	3
27	9	153	6
28	10	5547	5
29	10	14096	3
30	10	153	6
31	11	5547	5
32	11	14097	3
33	11	153	6
34	12	5545	5
35	12	9150	3
36	12	153	6
37	13	5547	5
38	13	13024	3
39	13	153	6
40	14	5547	5
41	14	13023	3
42	14	153	6
43	15	5545	5
44	15	13024	3
45	15	153	6
46	16	5544	5
47	16	13024	3
48	16	153	6
49	17	5547	5
50	17	13021	3
51	17	153	6
52	18	5547	5
53	18	13017	3
54	18	153	6
55	19	5544	5
56	19	9150	3
57	19	153	6
58	20	5544	5
59	20	22844	3
60	20	153	6
61	21	5544	5
62	21	18511	3
63	21	153	6
64	22	5545	5
65	22	18511	3
66	22	153	6
67	23	5547	5
68	23	13015	3
69	23	153	6
70	24	5547	5
71	24	13016	3
72	24	153	6
73	25	5547	5
74	25	13016	3
75	25	153	6
76	26	5547	5
77	26	13016	3
78	26	153	6
79	27	5547	5
80	27	13016	3
81	27	153	6
82	28	5547	5
83	28	13016	3
84	28	153	6
85	29	5547	5
86	29	13016	3
87	29	153	6
88	30	5547	5
89	30	13016	3
90	30	153	6
91	31	5547	5
92	31	13409	3
93	31	153	6
94	32	5547	5
95	32	13016	3
96	32	153	6
97	33	5544	5
98	33	13413	3
99	33	153	6
100	34	5547	5
101	34	13016	3
102	34	153	6
103	35	5545	5
104	35	8728	3
105	35	153	6
106	36	5547	5
107	36	13020	3
108	36	153	6
109	37	5547	5
110	37	13020	3
111	37	153	6
112	38	5547	5
113	38	13020	3
114	38	153	6
115	39	5547	5
116	39	13020	3
117	39	153	6
118	40	5545	5
119	40	13019	3
120	40	153	6
121	41	5544	5
122	41	8728	3
123	41	153	6
124	42	5544	5
125	42	13019	3
126	42	153	6
127	43	5547	5
128	43	9215	3
129	43	153	6
130	44	5547	5
131	44	13439	3
132	44	153	6
133	45	5547	5
134	45	9219	3
135	45	153	6
136	45	40590	2
137	46	5545	5
138	46	13442	3
139	46	153	6
140	47	5544	5
141	47	13442	3
142	47	153	6
143	48	5545	5
144	48	9286	3
145	48	153	6
146	49	5547	5
147	49	13437	3
148	49	153	6
149	50	5547	5
150	50	13438	3
151	50	153	6
152	51	5541	5
153	51	12804	3
154	51	153	6
155	52	5547	5
156	52	13438	3
157	52	153	6
158	53	5544	5
159	53	9286	3
160	53	153	6
161	54	5547	5
162	54	14981	3
163	54	153	6
164	55	5547	5
165	55	14981	3
166	55	153	6
167	56	5547	5
168	56	23345	3
169	56	153	6
170	57	5547	5
171	57	9216	3
172	57	153	6
173	57	23346	2
174	58	5547	5
175	58	14982	3
176	58	153	6
177	59	5544	5
178	59	14984	3
179	59	153	6
180	60	5547	5
181	60	9219	3
182	60	153	6
183	60	23347	2
184	61	5545	5
185	61	14984	3
186	61	153	6
187	62	5547	5
188	62	12874	3
189	62	153	6
190	63	5545	5
191	63	12876	3
192	63	153	6
193	64	5544	5
194	64	12876	3
195	64	153	6
196	65	5544	5
197	65	17430	3
198	65	153	6
199	66	5545	5
200	66	12806	3
201	66	153	6
202	67	5544	5
203	67	12806	3
204	67	153	6
205	68	5547	5
206	68	12803	3
207	68	153	6
208	69	5537	5
209	69	13014	3
210	69	143	6
211	70	5547	5
212	70	12801	3
213	70	153	6
214	71	5547	5
215	71	12802	3
216	71	153	6
217	72	5544	5
218	72	15138	3
219	72	153	6
220	73	5537	5
221	73	16463	3
222	73	143	6
223	74	5545	5
224	74	15138	3
225	74	153	6
226	75	5542	5
227	75	15137	3
228	75	147	6
229	76	5542	5
230	76	15137	3
231	76	147	6
232	77	5542	5
233	77	15137	3
234	77	147	6
235	78	5542	5
236	78	15137	3
237	78	147	6
238	79	5537	5
239	79	21019	3
240	79	143	6
241	80	5538	5
242	80	14980	3
243	80	143	6
244	81	5545	5
245	81	12348	3
246	81	153	6
247	82	5547	5
248	82	13436	3
249	82	153	6
250	83	5544	5
251	83	12348	3
252	83	153	6
253	84	5538	5
254	84	11089	3
255	84	143	6
256	85	5538	5
257	85	12873	3
258	85	143	6
259	86	5544	5
260	86	15866	3
261	86	153	6
262	87	5547	5
263	87	25283	3
264	87	153	6
265	88	5545	5
266	88	9218	3
267	88	153	6
268	89	5545	5
269	89	15866	3
270	89	153	6
271	90	5547	5
272	90	15894	3
273	90	153	6
274	91	5547	5
275	91	15894	3
276	91	153	6
277	92	5547	5
278	92	15894	3
279	92	153	6
280	93	5547	5
281	93	15893	3
282	93	153	6
283	94	5547	5
284	94	13436	3
285	94	153	6
286	95	5547	5
287	95	13414	3
288	95	153	6
289	95	40590	2
290	96	5547	5
291	96	15895	3
292	96	153	6
293	97	5547	5
294	97	15896	3
295	97	153	6
296	98	5544	5
297	98	15900	3
298	98	153	6
299	99	5545	5
300	99	15900	3
301	99	153	6
302	100	5547	5
303	100	17427	3
304	100	153	6
305	101	5547	5
306	101	17428	3
307	101	153	6
308	102	5547	5
309	102	17428	3
310	102	153	6
311	103	5545	5
312	103	13413	3
313	103	153	6
314	104	5547	5
315	104	17426	3
316	104	153	6
317	105	5544	5
318	105	10819	3
319	105	153	6
320	106	5544	5
321	106	16466	3
322	106	153	6
323	107	5545	5
324	107	16466	3
325	107	153	6
326	108	5545	5
327	108	10819	3
328	108	153	6
329	109	5547	5
330	109	16496	3
331	109	153	6
332	110	5547	5
333	110	16495	3
334	110	153	6
335	111	5544	5
336	111	16500	3
337	111	153	6
338	112	5545	5
339	112	16500	3
340	112	153	6
341	113	5544	5
342	113	10082	3
343	113	153	6
344	114	5547	5
345	114	16498	3
346	114	153	6
347	115	5544	5
348	115	9445	3
349	115	153	6
350	116	5547	5
351	116	24011	3
352	116	153	6
353	117	5545	5
354	117	17430	3
355	117	153	6
356	118	5545	5
357	118	11696	3
358	118	153	6
359	119	5544	5
360	119	11696	3
361	119	153	6
362	120	5544	5
363	120	16744	3
364	120	153	6
365	121	5545	5
366	121	16744	3
367	121	153	6
368	122	5547	5
369	122	24339	3
370	122	153	6
371	123	5547	5
372	123	10813	3
373	123	153	6
374	124	5547	5
375	124	10815	3
376	124	153	6
377	125	5545	5
378	125	21023	3
379	125	153	6
380	126	5544	5
381	126	21023	3
382	126	153	6
383	127	5547	5
