affectedgovernmentpartid	governmentfrom	affectedtypefrom	governmentto	affectedtypeto	governmentformto
1	1	11	40	7	\N
27	9	2	32	2	\N
28	9	2	40	2	\N
30	9	14	22	14	\N
31	9	14	32	14	\N
32	9	14	40	14	\N
62	22	2	40	2	\N
63	22	14	9	14	\N
64	22	14	40	14	\N
112	32	2	9	2	\N
113	32	2	34	2	\N
114	32	12	32	12	\N
115	32	14	9	14	\N
116	32	14	34	14	\N
117	32	14	40	14	\N
118	32	18	32	18	\N
121	34	2	32	2	\N
122	34	2	40	2	\N
125	34	14	32	14	\N
126	34	14	40	14	\N
132	37	2	40	2	\N
142	40	2	9	2	\N
143	40	2	22	2	\N
144	40	2	34	2	\N
145	40	2	37	2	\N
146	40	2	50	2	\N
147	40	12	40	12	\N
148	40	14	9	14	\N
149	40	14	22	14	\N
150	40	14	32	14	\N
151	40	14	34	14	\N
152	40	14	48	14	\N
153	40	18	40	18	\N
175	48	14	40	14	\N
178	48	18	48	18	\N
1071	359	2	1821	2	\N
1072	359	2	1822	2	\N
1073	359	2	1833	2	\N
1078	359	14	1821	14	\N
1079	359	14	1822	14	\N
1080	359	14	1833	14	\N
1082	360	2	1824	2	\N
1083	360	2	1833	2	\N
1084	360	2	2301	2	\N
1085	360	2	2309	2	\N
1087	360	14	1242	14	\N
1088	360	14	1833	14	\N
1089	360	14	2301	14	\N
1091	361	2	1821	2	\N
1095	361	14	1821	14	\N
2713	1236	2	2291	2	\N
2714	1236	2	2315	2	\N
2715	1236	2	2342	2	\N
2725	1238	2	2353	2	\N
2735	1241	2	2287	2	\N
2736	1241	2	2353	2	\N
2739	1242	2	2301	2	\N
2740	1242	2	2322	2	\N
2742	1242	14	360	14	\N
2743	1242	14	2301	14	\N
2754	1245	2	2287	2	\N
2755	1245	2	2314	2	\N
2761	1246	2	2312	2	\N
2762	1246	2	2342	2	\N
2765	1247	2	2322	2	\N
2766	1247	2	2353	2	\N
2797	1256	2	2314	2	\N
2798	1256	2	2315	2	\N
4055	1817	11	1819	7	\N
4056	1817	12	1817	12	\N
4057	1817	14	1819	14	\N
4058	1817	18	1817	18	\N
4059	1818	2	1832	2	\N
4060	1818	2	1901	2	\N
4061	1818	2	1930	2	\N
4062	1818	11	1825	4	\N
4063	1818	11	1832	4	\N
4064	1818	11	1906	7	\N
4065	1818	14	1894	14	\N
4066	1818	14	1901	14	\N
4067	1818	14	1913	14	\N
4068	1818	18	1818	18	\N
4069	1819	2	1824	2	\N
4070	1819	11	1824	4	\N
4071	1819	11	1826	4	\N
4072	1819	11	1827	4	\N
4073	1819	11	1831	7	\N
4074	1819	14	1817	14	\N
4075	1819	14	1824	14	\N
4076	1819	14	1831	14	\N
4077	1819	18	1819	18	\N
4078	1820	11	1819	7	\N
4079	1820	11	1824	7	\N
4080	1820	14	1817	14	\N
4081	1820	18	1820	18	\N
4082	1821	2	359	2	\N
4083	1821	2	361	2	\N
4084	1821	2	1822	2	\N
4085	1821	11	1822	7	\N
4086	1821	11	1824	7	\N
4087	1821	12	1821	12	\N
4088	1821	14	359	14	\N
4089	1821	14	361	14	\N
4090	1821	14	1822	14	\N
4091	1821	14	1824	14	\N
4092	1821	14	1833	14	\N
4094	1821	18	1821	18	\N
4095	1822	2	359	2	\N
4096	1822	2	1821	2	\N
4097	1822	2	1824	2	\N
4098	1822	11	1821	7	\N
4099	1822	11	1824	7	\N
4100	1822	11	1833	7	\N
4101	1822	14	359	14	\N
4102	1822	14	1821	14	\N
4103	1822	14	1824	14	\N
4104	1822	14	1833	14	\N
4105	1822	18	1822	18	\N
4106	1823	2	1834	2	\N
4107	1823	2	1836	2	\N
4108	1823	11	1818	7	\N
4109	1823	11	1830	4	\N
4110	1823	11	1832	4	\N
4111	1823	11	1834	7	\N
4112	1823	11	1836	4	\N
4113	1823	11	1836	7	\N
4114	1823	14	1823	14	\N
4115	1823	14	1828	14	\N
4116	1823	14	1830	14	\N
4117	1823	14	1836	14	\N
4118	1823	14	1913	14	\N
4119	1823	18	1823	18	\N
4120	1824	2	360	2	\N
4121	1824	2	1819	2	\N
4122	1824	2	1822	2	\N
4123	1824	2	1833	2	\N
4124	1824	11	1817	4	\N
4125	1824	11	1820	4	\N
4126	1824	11	1820	7	\N
4127	1824	11	1822	7	\N
4128	1824	14	1817	14	\N
4129	1824	14	1819	14	\N
4130	1824	14	1821	14	\N
4131	1824	14	1822	14	\N
4132	1824	14	1833	14	\N
4133	1824	18	1824	18	\N
4134	1825	2	1894	2	\N
4135	1825	2	1901	2	\N
4136	1825	2	1913	2	\N
4137	1825	11	1818	7	\N
4138	1825	12	1825	12	\N
4139	1825	18	1825	18	\N
4140	1826	2	1830	2	\N
4141	1826	2	1834	2	\N
4142	1826	11	1827	4	\N
4143	1826	11	1827	7	\N
4144	1826	11	1830	4	\N
4145	1826	11	1834	7	\N
4146	1826	12	1826	12	\N
4147	1826	18	1826	18	\N
4148	1827	2	1829	2	\N
4149	1827	11	1826	7	\N
4150	1827	18	1827	18	\N
4151	1828	2	1829	2	\N
4152	1828	2	1834	2	\N
4153	1828	2	1913	2	\N
4154	1828	11	1827	4	\N
4155	1828	11	1829	7	\N
4156	1828	11	1834	7	\N
4157	1828	11	1834	13	\N
4158	1828	11	1836	7	\N
4159	1828	12	1828	12	\N
4160	1828	14	1823	14	\N
4161	1828	14	1829	14	\N
4162	1828	14	1834	14	\N
4163	1828	14	1913	14	\N
4164	1828	14	6621	14	\N
4165	1828	18	1828	18	\N
4166	1829	2	1827	2	\N
4167	1829	2	1828	2	\N
4168	1829	2	1911	2	\N
4169	1829	2	1913	2	\N
4170	1829	11	1828	7	\N
4171	1829	11	1831	4	\N
4172	1829	11	1831	7	\N
4173	1829	14	1828	14	\N
4174	1829	14	1831	14	\N
4175	1829	14	1911	14	\N
4176	1829	14	1913	14	\N
4177	1829	14	6621	14	\N
4178	1829	18	1829	18	\N
4179	1830	2	1826	2	\N
4180	1830	2	1834	2	\N
4181	1830	2	1835	2	\N
4182	1830	11	1835	4	\N
4183	1830	14	1823	14	\N
4184	1830	14	1832	14	\N
4185	1830	14	1834	14	\N
4186	1830	18	1830	18	\N
4187	1831	11	1829	7	\N
4188	1831	12	1831	12	\N
4189	1831	14	1819	14	\N
4190	1831	14	1829	14	\N
4191	1831	18	1831	18	\N
4192	1832	2	1818	2	\N
4193	1832	11	1823	7	\N
4194	1832	14	1830	14	\N
4195	1832	18	1832	18	\N
4196	1833	2	359	2	\N
4197	1833	2	360	2	\N
4198	1833	2	1824	2	\N
4199	1833	11	1822	4	\N
4200	1833	11	1822	7	\N
4201	1833	14	359	14	\N
4202	1833	14	360	14	\N
4203	1833	14	1821	14	\N
4204	1833	14	1822	14	\N
4205	1833	14	1824	14	\N
4206	1833	18	1833	18	\N
4207	1834	2	1823	2	\N
4208	1834	2	1826	2	\N
4209	1834	2	1828	2	\N
4210	1834	2	1830	2	\N
4211	1834	11	1826	7	\N
4212	1834	11	1827	4	\N
4213	1834	11	1828	7	\N
4214	1834	11	1836	7	\N
4215	1834	12	1834	12	\N
4216	1834	14	1828	14	\N
4217	1834	14	1830	14	\N
4218	1834	14	1836	14	\N
4219	1834	14	\N	\N	\N
4220	1834	18	1834	18	\N
4221	1835	2	1830	2	\N
4222	1835	11	1837	4	\N
4223	1835	11	1906	7	\N
4224	1835	11	1926	7	\N
