censusmapid	censusmapyear	government	censusmapgovernmentname	censusmapexamined	censusmapmin	censusmapmax	censusmap1950pertinent	censusmap1960pertinent	censusmap1970pertinent
1	1950	3302	Arendtsville	f	t	f	f	f	f
2	1970	3302	Arendtsville	f	f	t	f	f	f
3	1970	3383	Bendersville	f	f	t	f	f	f
4	1950	3383	Bendersville	f	t	f	f	f	f
5	1960	3383	Bendersville	f	f	f	f	f	f
6	1940	3398	Berwick Township	f	t	t	f	f	f
7	1950	4091	Gettysburg	f	f	f	f	f	f
8	1940	4090	Germany Township	f	t	t	f	f	f
9	1960	4091	Gettysburg	f	f	f	f	f	f
10	1960	3412	Biglerville	f	f	f	f	f	f
11	1970	3412	Biglerville	f	f	t	f	f	f
12	1940	4169	Hamiltonban Township	f	t	t	f	f	f
13	1960	4624	McSherrystown	f	f	f	f	f	f
14	1940	4165	Hamilton Township	f	t	t	f	f	f
15	1970	4492	Littlestown	f	f	t	f	f	f
16	1970	4091	Gettysburg	f	f	t	f	f	f
17	1950	4492	Littlestown	f	t	f	f	f	f
18	1960	4492	Littlestown	f	f	f	f	f	f
19	1940	4462	Liberty Township	f	t	t	f	f	f
20	1940	4420	Latimore Township	f	t	t	f	f	f
21	1960	3249	Abbottstown	f	f	f	f	f	f
22	1950	3249	Abbottstown	f	t	f	f	f	f
23	1940	4282	Huntington Township	f	t	t	f	f	f
24	1950	3412	Biglerville	f	t	f	f	f	f
25	1970	3444	Bonneauville	f	t	t	f	f	f
26	1940	4063	Freedom Township	f	t	t	f	f	f
27	1940	4051	Franklin Township	f	t	t	f	f	f
28	1970	3974	Fairfield	f	f	t	f	f	f
29	1960	3974	Fairfield	f	f	f	f	f	f
30	1950	3974	Fairfield	f	t	f	f	f	f
31	1970	3845	East Berlin	f	f	t	f	f	f
32	1970	5878	York Springs	f	f	t	f	f	f
33	1950	5878	York Springs	f	t	f	f	f	f
34	1960	5878	York Springs	f	f	f	f	f	f
35	1940	5556	Union Township	f	t	t	f	f	f
36	1970	2287		f	f	f	f	f	f
37	1960	2287		f	f	f	f	f	f
38	1950	2287		f	f	f	f	f	f
39	1940	2287		f	f	f	f	f	f
40	1930	2287		f	f	f	f	f	f
41	1940	5541	Tyrone Township	f	t	t	f	f	f
42	1940	5424	Strabon Township	f	t	t	f	f	f
43	1940	3519	Butler Township	f	t	t	f	f	f
44	1960	3688	Midway	f	f	f	f	f	f
45	1970	3688	Midway	f	f	f	f	f	f
46	1950	3845	East Berlin	f	t	f	f	f	f
47	1940	3688	Conewago Township	f	t	t	f	f	f
48	1950	3688	Midway	f	f	f	f	f	f
49	1940	5115	Reading Township	f	t	t	f	f	f
50	1970	3249	Abbottstown	f	f	t	f	f	f
51	1940	4934	Oxford Township	f	t	t	f	f	f
52	1970	4805	New Oxford	f	f	t	f	f	f
53	1950	4805	New Oxford	f	t	f	f	f	f
54	1940	4091	Gettysburg	f	t	f	f	f	f
55	1960	4805	New Oxford	f	f	f	f	f	f
56	1960	3845	East Berlin	f	f	f	f	f	f
57	1940	4747	Mount Pleasant Township	f	t	t	f	f	f
58	1940	4740	Mount Joy Township	f	t	t	f	f	f
59	1940	4632	Menallen Township	f	t	t	f	f	f
60	1970	4624	McSherrystown	f	f	t	f	f	f
61	1950	4624	McSherrystown	f	t	f	f	f	f
62	1940	4240	Highland Township	f	t	t	f	f	f
63	1960	3302	Arendtsville	f	f	f	f	f	f
64	1940	3743	Cumberland Township	f	t	t	f	f	f
65	1950	5388	Springdale	f	f	f	f	f	f
66	1940	5337	South Fayette Township	f	f	t	f	f	f
67	1930	5337	South Fayette Township	f	t	f	f	f	f
68	1960	5268	Sharpsburg	f	f	t	f	f	f
69	1920	5268	Sharpsburg	f	t	f	f	f	f
70	1950	5268	Sharpsburg	f	f	f	f	f	f
71	1950	3381	Ben Avon	f	t	f	f	f	f
72	1960	3382	Ben Avon Heights	f	f	t	f	f	f
73	1950	3382	Ben Avon Heights	f	t	f	f	f	f
74	1930	3428	Blawnox	f	t	t	f	f	f
75	1940	3448	Brackenridge	f	f	f	f	f	f
76	1930	3448	Brackenridge	f	t	f	f	f	f
77	1960	3448	Brackenridge	f	f	t	f	f	f
78	1950	3448	Brackenridge	f	f	f	f	f	f
79	1920	3449	Braddock	f	f	f	f	f	f
80	1930	3449	Braddock	f	f	f	f	f	f
81	1950	3449	Braddock	f	f	f	f	f	f
82	1910	3449	Braddock	f	t	f	f	f	f
83	1960	3449	Braddock	f	f	t	f	f	f
84	1950	3450	Braddock Hills	f	t	f	f	f	f
85	1960	3450	Braddock Hills	f	f	t	f	f	f
86	1950	3454	Bradford Woods	f	t	f	f	f	f
87	1960	3454	Bradford Woods	f	f	t	f	f	f
88	1950	3467	Brentwood	f	f	f	f	f	f
89	1930	3467	Brentwood	f	t	f	f	f	f
90	1960	3467	Brentwood	f	f	t	f	f	f
91	1950	3472	Bridgeville	f	f	f	f	f	f
92	1930	3472	Bridgeville	f	t	f	f	f	f
93	1960	3472	Bridgeville	f	f	t	f	f	f
94	1950	3547	Carneige	f	f	f	f	f	f
95	1960	3547	Carneige	f	f	t	f	f	f
96	1950	3562	Castle Shannon	f	f	f	f	f	f
97	1930	3562	Castle Shannon	f	t	f	f	f	f
98	1960	3562	Castle Shannon	f	f	t	f	f	f
99	1950	3584	Chalfant	f	t	f	f	f	f
100	1960	3584	Chalfant	f	f	t	f	f	f
101	1950	3614	Cheswick	f	t	f	f	f	f
102	1960	3614	Cheswick	f	f	t	f	f	f
103	1950	3620	Churchill	f	t	f	f	f	f
104	1960	3620	Churchill	f	f	t	f	f	f
105	1950	2288	Curtisville	f	f	f	f	f	f
106	1960	2288	Curtisville	f	f	f	f	f	f
107	1950	2288	Ewingsville	f	f	f	f	f	f
108	1950	2288	Highland	f	f	f	f	f	f
109	1950	2288	Imperial	f	f	f	f	f	f
110	1950	2288	Indianola	f	f	f	f	f	f
111	1950	2288	Ingomar	f	f	f	f	f	f
112	1950	2288	Library	f	f	f	f	f	f
113	1950	2288	Noblestown	f	f	f	f	f	f
114	1950	2288	Pittsburgh, Vicinity of	f	f	f	f	f	f
115	1960	2288	Pittsburgh, Vicinity of	f	f	f	f	f	f
116	1950	2288	Renton	f	f	f	f	f	f
117	1950	2288	Rural Ridge	f	f	f	f	f	f
118	1930	6098	Clairton	f	t	f	f	f	f
119	1950	6098	Clairton	f	f	f	f	f	f
120	1960	6098	Clairton	f	f	t	f	f	f
121	1930	3674	Collier Township	f	t	t	f	f	f
