currentgovernmentid	governmentsubmunicipality	governmentmunicipality	governmentcounty	governmentstate	event
1	\N	4632	2287	40	7326
2	\N	4462	2287	40	7326
3	\N	4420	2287	40	7326
4	\N	4805	2287	40	7326
5	\N	4282	2287	40	7326
6	\N	3398	2287	40	7326
7	\N	4747	2287	40	7326
8	\N	4090	2287	40	7326
9	\N	3383	2287	40	7326
10	\N	3302	2287	40	7326
11	\N	4240	2287	40	7326
12	\N	3249	2287	40	7326
13	\N	5878	2287	40	7326
14	\N	5556	2287	40	7326
15	\N	4169	2287	40	7326
16	\N	4740	2287	40	7326
17	\N	3249	2287	40	8758
18	\N	3302	2287	40	8758
19	\N	3519	2287	40	7326
20	\N	3383	2287	40	8758
21	\N	4624	2287	40	7326
22	\N	3398	2287	40	8758
23	\N	3412	2287	40	8758
24	\N	3444	2287	40	8758
25	\N	5541	2287	40	7326
26	\N	3519	2287	40	8758
27	\N	3552	2287	40	8758
28	\N	4063	2287	40	7326
29	\N	3688	2287	40	8758
30	\N	3743	2287	40	8758
31	\N	3845	2287	40	8758
32	\N	3974	2287	40	8758
33	\N	4051	2287	40	8758
34	\N	4063	2287	40	8758
35	\N	4090	2287	40	8758
36	\N	4091	2287	40	8758
37	\N	4165	2287	40	8758
38	\N	4169	2287	40	8758
39	\N	4051	2287	40	7326
40	\N	4240	2287	40	8758
41	\N	5556	2287	40	4484
42	\N	4282	2287	40	8758
43	\N	4420	2287	40	8758
44	\N	4462	2287	40	8758
45	\N	4492	2287	40	8758
46	\N	4624	2287	40	8758
47	\N	4632	2287	40	8758
48	\N	4740	2287	40	8758
49	\N	4740	2287	40	4484
50	\N	4747	2287	40	8758
51	\N	3444	2287	40	7326
52	\N	4805	2287	40	8758
53	\N	4934	2287	40	8758
54	\N	5115	2287	40	8758
55	\N	5424	2287	40	8758
56	\N	4462	2287	40	4484
57	\N	5541	2287	40	8758
58	\N	5556	2287	40	8758
59	\N	5878	2287	40	8758
60	\N	4090	2287	40	4484
61	\N	3974	2287	40	7326
62	\N	4063	2287	40	4484
63	\N	3412	2287	40	7326
64	\N	3845	2287	40	7326
65	\N	3743	2287	40	7326
66	\N	3688	2287	40	7326
67	\N	3552	2287	40	7326
68	\N	4492	2287	40	7326
69	\N	3249	2287	40	467
70	\N	5424	2287	40	7326
71	\N	3743	2287	40	4484
72	\N	4165	2287	40	7326
73	\N	3552	2287	40	4484
74	\N	4091	2287	40	7326
75	\N	4934	2287	40	7326
76	\N	5115	2287	40	7326
77	\N	4193	2288	40	8455
78	\N	4208	2288	40	8455
79	\N	4743	2288	40	8281
80	\N	4215	2288	40	8455
81	\N	4248	2288	40	8455
82	\N	4296	2288	40	8455
83	\N	4336	2288	40	8455
84	\N	4366	2288	40	8455
85	\N	4371	2288	40	8455
86	\N	4436	2288	40	8455
87	\N	3406	2288	40	7248
88	\N	4760	2288	40	8281
89	\N	4775	2288	40	8281
90	\N	4843	2288	40	8281
91	\N	4854	2288	40	8281
92	\N	4872	2288	40	8281
93	\N	4891	2288	40	8281
94	\N	4892	2288	40	8281
95	\N	4897	2288	40	8281
96	\N	4899	2288	40	8281
97	\N	5599	2288	40	8281
98	\N	4979	2288	40	8281
99	\N	4984	2288	40	8281
100	\N	5016	2288	40	8281
101	\N	5028	2288	40	8281
102	\N	5029	2288	40	8281
103	\N	5038	2288	40	8281
104	\N	3621	2288	40	5800
105	\N	5042	2288	40	8281
106	\N	5065	2288	40	8281
107	\N	5108	2288	40	8281
108	\N	5125	2288	40	8281
109	\N	5134	2288	40	8281
110	\N	5157	2288	40	8281
111	\N	5177	2288	40	8281
112	\N	5179	2288	40	8281
113	\N	5240	2288	40	8281
114	\N	5254	2288	40	8281
115	\N	5256	2288	40	8281
116	\N	5257	2288	40	8281
117	\N	5260	2288	40	8281
118	\N	5268	2288	40	8281
119	\N	5337	2288	40	8281
120	\N	5352	2288	40	8281
121	\N	5359	2288	40	8281
122	\N	5388	2288	40	8281
123	\N	5389	2288	40	8281
124	\N	5422	2288	40	8281
125	\N	5460	2288	40	8281
126	\N	5466	2288	40	8281
127	\N	5482	2288	40	8281
128	\N	5510	2288	40	8281
129	\N	5532	2288	40	8281
130	\N	5626	2288	40	8281
131	\N	5627	2288	40	8281
132	\N	5636	2288	40	8281
133	\N	5730	2288	40	8281
134	\N	5734	2288	40	8281
135	\N	5745	2288	40	8281
136	\N	5761	2288	40	8281
137	\N	5783	2288	40	8281
138	\N	5800	2288	40	8281
139	\N	4110	2288	40	2360
140	\N	5807	2288	40	8281
141	\N	5808	2288	40	8281
142	\N	5816	2288	40	8281
143	\N	5817	2288	40	8281
144	\N	5826	2288	40	8281
145	\N	4007	2288	40	8281
146	\N	3996	2288	40	8281
147	\N	3962	2288	40	8281
148	\N	4294	2288	40	8281
149	\N	3956	2288	40	8281
150	\N	3936	2288	40	8281
151	\N	3935	2288	40	8281
152	\N	3919	2288	40	8281
153	\N	3918	2288	40	8281
154	\N	4106	2288	40	2798
155	\N	3894	2288	40	8281
156	\N	3884	2288	40	8281
157	\N	3860	2288	40	8281
158	\N	3835	2288	40	8281
159	\N	3815	2288	40	8281
160	\N	3406	2288	40	6309
161	\N	3806	2288	40	8281
162	\N	3735	2288	40	8281
163	\N	4515	2351	40	6302
164	\N	3729	2288	40	8281
165	\N	4799	2351	40	6302
166	\N	3717	2288	40	8281
167	\N	5042	2288	40	6302
168	\N	5574	2351	40	6302
169	\N	3674	2288	40	8281
170	\N	3621	2288	40	8281
171	\N	3406	2288	40	8456
172	\N	3620	2288	40	8281
173	\N	3265	2288	40	8455
174	\N	3614	2288	40	8281
175	\N	3584	2288	40	8281
176	\N	4024	2288	40	8281
177	\N	4032	2288	40	8281
178	\N	4056	2288	40	8281
179	\N	4059	2288	40	8281
180	\N	4103	2288	40	8281
181	\N	3562	2288	40	8281
182	\N	3621	2288	40	8577
183	\N	4106	2288	40	8281
184	\N	3315	2288	40	8455
185	\N	4110	2288	40	8281
186	\N	4128	2288	40	8281
187	\N	3621	2288	40	8615
188	\N	4172	2288	40	8281
189	\N	4183	2288	40	8281
190	\N	4193	2288	40	8281
191	\N	4208	2288	40	8281
192	\N	3326	2288	40	8455
193	\N	3547	2288	40	8281
194	\N	3472	2288	40	8281
195	\N	3467	2288	40	8281
196	\N	3450	2288	40	8281
197	\N	4215	2288	40	8281
198	\N	4437	2288	40	8455
199	\N	4460	2288	40	8455
200	\N	4480	2288	40	8455
201	\N	4248	2288	40	8281
202	\N	4296	2288	40	8281
203	\N	4711	2288	40	8455
204	\N	3334	2288	40	8455
205	\N	4601	2288	40	8455
206	\N	3449	2288	40	8281
207	\N	4612	2288	40	8455
208	\N	4615	2288	40	8455
209	\N	4621	2288	40	8455
210	\N	4622	2288	40	8455
211	\N	4689	2288	40	8455
212	\N	4720	2288	40	8455
213	\N	4742	2288	40	8455
214	\N	4743	2288	40	8455
215	\N	4760	2288	40	8455
216	\N	3448	2288	40	8281
217	\N	3428	2288	40	8281
218	\N	4775	2288	40	8455
219	\N	3454	2288	40	8281
220	\N	3406	2288	40	8281
221	\N	3382	2288	40	8281
222	\N	4843	2288	40	8455
223	\N	4854	2288	40	8455
224	\N	4872	2288	40	8455
225	\N	3381	2288	40	8281
226	\N	4891	2288	40	8455
227	\N	4892	2288	40	8455
228	\N	4897	2288	40	8455
229	\N	4899	2288	40	8455
230	\N	5599	2288	40	8455
231	\N	4979	2288	40	8455
232	\N	4984	2288	40	8455
233	\N	5016	2288	40	8455
234	\N	5028	2288	40	8455
235	\N	5029	2288	40	8455
236	\N	5038	2288	40	8455
237	\N	5599	2288	40	7760
238	\N	3406	2288	40	7760
239	\N	5352	2288	40	3155
240	\N	5337	2288	40	3155
241	\N	5042	2288	40	8455
242	\N	5065	2288	40	8455
243	\N	5599	2288	40	3155
244	\N	4854	2288	40	3155
245	\N	5108	2288	40	8455
246	\N	5125	2288	40	8455
247	\N	4615	2288	40	3155
248	\N	4336	2288	40	3155
249	\N	4024	2288	40	3155
250	\N	4007	2288	40	3155
251	\N	5134	2288	40	8455
252	\N	5157	2288	40	8455
253	\N	3406	2288	40	3155
254	\N	5177	2288	40	8455
255	\N	3621	2288	40	5342
256	\N	5179	2288	40	8455
257	\N	5240	2288	40	8455
258	\N	3621	2288	40	5181
259	\N	5254	2288	40	8455
260	\N	5826	2288	40	8691
