eventid	eventtype	eventmethod	eventlong	eventfrom	eventto	eventgranted	eventeffective	eventeffectivetypestatutory	eventeffectivetypepresumedsource	eventisrelevant	eventeffectiveorder	eventismapped	eventismappedtype	government
1	2	5	Clarksville Borough Ordinance 9	1929	1930	yes	1929-12-17	\N	67		0	f		\N
2	30	4	Germantown Borough 1691 Creation	1689	1691	yes	1691-03-30QJ	\N	229		0	t		\N
3	30	4	Philadelphia Borough 1684 Creation	1684	1684	yes?	1684-~05-~26QJ	\N	25		0	t		\N
4	30	4	Chester Borough 1701 Creation	1701	1701	yes	1701-10-31J	\N	47		0	t		\N
5	7	4	Philadelphia City 1701 Charter Revival	1701	1701	yes	1701-10-25J	\N	47		0	f		\N
6	54	5	Philadelphia City 1704 Wards	1704	1704	yes	1704*-02-02J	\N	87		0	t		\N
7	36	7	Germantown Township 1706 Creation	1706	1706	yes	1706*-12-11QJ	\N	144		0	t		\N
8	36	3	Plumstead Township 1725 Creation	1725	1725	yes+	1725-06-17J	\N	34		0	t		\N
9	30	4	Bristol Borough 1720 Creation	1720	1720	yes	1720-11-14J	\N	47		0	t		\N
10	36	7	Buckingham Township 1709 Creation	1709	1709	yes+	1709-~09-~14J	\N	25		0	t		\N
11	36	3	Northampton Township 1722 Creation	1722	1722	yes+	1722-10-14QJ	\N	34		0	f		\N
12	36	3	Hilltown Township 1724 Creation	1724	1724	yes+	1724[-03-11J	\N	34		0	t		\N
13	4	3	West Nottingham Township Proposed 1728 Boundary Ascertainment	1728	1728	unknown		\N	\N		0	f		\N
14	36	3	East Marlborough Township-West Marlborough Township 1729 Creation	1729	1729	yes	1729-05-27J	\N	34		0	f		\N
15	36	3	Fallowfield Township Proposed 1731 Division	1731	1731	no		\N	\N		0	f		\N
16	40	3	Whiteland Township Proposed 1731 Plat Recording	1731	1731	unknown		\N	\N		0	f		\N
17	4	3	Goshen Township-Whiteland Township Proposed 1731 Boundary Realignment	1731	1731	unknown		\N	\N		0	f		\N
18	36	3	Warwick Township 1733 Creation	1733	1733	yes+	1733-10-15QJ	\N	34		0	f		\N
19	36	3	Milford Township 1734 Creation	1734	1734	yes+	1734-~09-~12J	\N	25		0	f		\N
21	36	3	Upper Milford Township 1737 Creation	1737	1737	yes+	1737-~07-~15QJ	\N	25		0	t		\N
22	40	3	Charlestown Township 1738 Plat Recording	1737	1738	yes+	1738-05-30J	\N	34		0	t		\N
23	36	3	East Fallowfield Township-West Fallowfield Township 1739 Creation	1738	1739	yes+	1739-~05-~29J	\N	43		0	f		\N
24	4	3	Edgmont Township-Thornbury Township Proposed 1739 Boundary Realignment	1738	1739	unknown		\N	\N		0	f		\N
25	36	3	East Nantmeal Township-West Nantmeal Township 1740 Creation	1739	1740	yes+	1740-~08-~26J	\N	43		0	t		\N
26	36	3	Rockhill Township 1739 Creation	1739	1739	yes+	1739-~09-~01J	\N	25		0	f		\N
27	2	7	East Bradford Township and West Bradford Township 1741 Annexation	1740	1741	unknown		\N	\N		0	f		\N
28	36	3	Bedminster Township 1742 Creation	1741	1742	yes+	1742-09-~01J	\N	34		0	t		\N
29	30	4	Lancaster Borough 1742 Creation	1742	1742	yes	1742-05-01J	\N	47		0	t		\N
30	36	3	Saucon Township 1741 Creation	1741	1741	yes+	1741-~09-~01J	\N	25		0	t		\N
31	36	3	Macungie Township 1736 Creation	1736	1736	yes+	1736-~07-~16QJ	\N	25		0	t		\N
32	36	3	Springfield Township 1743 Creation	1743	1743	yes+	1743-06-~01J	\N	34		0	f		\N
33	36	3	Bethlehem Township 1747 Creation	1746	1747	yes+	1747-06-25J	\N	34		0	t		\N
34	36	3	Nockamixon Township 1746 Creation	1742	1746	yes+	1746-04-29J	\N	37		0	t		\N
35	4	3	Londonderry Township-West Fallowfield Township Proposed 1746 Boundary Realignment	1746	1750	unknown		\N	\N		0	f		\N
36	33	1	Berks County 1752 Creation	1752	1753	yes	1752-03-11J11	\N	3		0	t		\N
37	4	3	Lower Makefield Township-Upper Makefield Township 1700s Boundary Realignment	1753	1753	unknown		\N	\N		0	f		\N
38	32	1	Southwark District 1762 Creation	1762	1762	yes	1762-03-26	\N	3		0	t		\N
39	36	3	Haycock Township 1763 Creation	1763	1763	yes+	1763-~01-~01	\N	144		0	t		\N
40	36	3	Brunswick Township 1767 Creation	1767	1767	yes	1767-11-12	\N	34		0	f		\N
41	36	3	Milford Township 1768 Creation	1768	1768	yes	1768-11-07	\N	37		0	f		\N
42	36	3	Armagh Township 1770 Creation	1770	1770	yes	1770-01-~01	\N	147		0	f		\N
43	36	3	Pine Grove Township 1773 Creation	1770	1773	yes	1773-05-11	\N	34		0	t		\N
44	36	3	Westmoreland County 1773 Township Division	1773	1773	yes	1773-04-06	\N	34		0	t		\N
45	36	3	Durham Township 1775 Creation	1775	1775	yes+	1775-12-12	\N	34		0	t		\N
46	36	3	Mahanoy Township 1775 Creation	1775	1775	yes	1775-02-~01	\N	34		0	f		\N
47	36	3	Mahoning Township 1775 Creation	1775	1775	yes	1775-02-~01	\N	34		0	f		\N
48	72	1	Pennsylvania Commonwealth 1776 Creation	1776	1776	yes	1776-07-04	\N	\N		0	f		\N
49	7	1	Lancaster Borough 1777 Charter Revival	1777	1777	yes	1777-06-19	\N	3		0	f		\N
50	36	3	Tinicum Township 1780 Creation	1780	1780	yes	1780-08-31	\N	34		0	t		\N
51	36	3	Earl Township 1781 Creation	1781	1781	yes	1781-11-~01	\N	34		0	t		\N
52	36	3	Montgomery Township 1781 Creation	1780	1781	yes	1781-01-~01	\N	34		0	f		\N
53	30	1	Carlisle Borough 1782 Creation	1782	1782	yes	1782-04-13	\N	3		0	t		\N
54	36	3	Wayne Township 1782 Creation	1782	1782	yes	1782-07-~01	\N	37		0	f		\N
55	30	1	Reading Borough 1783 Creation	1783	1783	yes	1783-09-12	\N	1		0	t		\N
56	36	3	Southampton Township 1783 Creation	1783	1783	yes	1783-10-~01	\N	34		0	f		\N
57	33	1	Montgomery County 1784 Creation	1784	1784	yes	1784-09-10	\N	3		0	t		\N
58	36	3	Catawissa Township 1785 Creation	1785	1785	yes	1785-08-23	\N	34		0	f		\N
59	36	3	Dickinson Township 1785 Creation	1785	1785	yes	1785-04-~17	\N	34		0	f		\N
60	36	3	Franklin Township (Franklin) 1785 Creation	1785	1785	yes	1785-03-~01	\N	34		0	f		\N
61	54	1	Philadelphia City 1785 Wards	1785	1785	yes	1785-02-09	\N	1		0	t		\N
62	36	3	Salem Township 1785 Creation	1785	1785	yes	1785-01-04	\N	34		0	f		\N
63	2	3	Lurgan Township-Southampton Township 1785 Annexation	1785	1785	yes	1785-09-~01	\N	34		0	f		\N
64	36	3	Chillisquaque Township 1786 Creation	1786	1786	yes	1786-05-23	\N	34		0	f		\N
65	36	3	Franklin Township 1786 Creation	1786	1786	yes	1786-01-10	\N	34		0	t		\N
66	54	1	Philadelphia City 1786 Wards	1786	1786	yes	1786-04-07	\N	1		0	t		\N
67	36	3	Point Township 1786 Creation	1786	1786	yes	1786-02-28	\N	34		0	f		\N
68	7	1	Bristol Borough 1785 Charter Revival	1785	1785	yes	1785-09-16	\N	3		0	f		\N
69	36	3	East Pennsboro Township Proposed 1787 Division	1787	1787	no		\N	\N		0	f		\N
70	30	1	York Borough 1787 Creation	1787	1787	yes	1787-09-24	\N	1		0	t		\N
71	36	3	Ralpho Township 1788 Creation	1788	1788	yes	1788-08-26	\N	34		0	f		\N
72	33	1	Delaware County 1789 Creation	1789	1789	yes	1789-09-26	\N	3		0	t		\N
73	30	1	Easton Borough 1789 Creation	1789	1789	yes	1789-09-23	\N	1		0	t		\N
74	7	1	Philadelphia City 1789 Charter Revival	1789	1789	yes	1789-03-11	\N	\N		0	f		\N
75	4	3	Pitt Township-Plum Township 1789 Boundary Realignment	1789	1789	yes	1789-06-~01	\N	37		0	t		\N
76	34	3	Shamokin Township 1789 Creation	1789	1789	yes	1789-08-25	\N	34		0	f		\N
77	36	3	Unity Township 1789 Creation	1789	1789	yes	1789-01-~01	\N	34		0	f		\N
78	34	3	Fishing Creek Township 1789 Creation	1789	1789	yes	1789-08-25	\N	34		0	f		\N
79	2	3	Brunswick Township and Windsor Township 1790 Annexation	1790	1790	yes	1790-11-09	\N	34		0	t		\N
80	36	3	North Huntingdon Township-South Huntingdon Township 1790 Creation	1789	1790	yes	1790-04-~01	\N	34		0	f		\N
81	36	3	Manheim Township 1789 Creation	1789	1789	yes	1789-~11-~10	\N	43		0	f		\N
82	36	3	Union Township 1790 Creation	1790	1790	yes	1790-03-~01	\N	37		0	f		\N
83	30	1	Harrisburg Borough 1791 Creation	1791	1791	yes	1791-04-13	\N	1		0	t		\N
84	2	3	Hopewell Township-Southampton Township 1791 Annexation	1791	1791	yes	1791-01-~01	\N	34		0	f		\N
85	36	3	Allegheny Township 1793 Creation	1792	1793	yes	1793-11-~01	\N	34		0	f		\N
86	36	3	Juniata Township 1793 Creation	1793	1793	yes	1793-01-~01	\N	34		0	f		\N
87	30	1	Pittsburgh Borough 1794 Creation	1794	1794	yes	1794-04-22	\N	1		0	t		\N
88	5	1	Southwark District 1794 Charter Amendment	1794	1794	yes	1794-04-18	\N	1		0	f		\N
89	30	1	Bedford Borough 1795 Creation	1795	1795	yes	1795-03-13	\N	1		0	t		\N
90	7	1	Chester Borough 1795 Charter Revival	1795	1795	yes	1795-03-05	\N	\N		0	t		\N
91	2	3	Fermanagh Township-Greenwood Township 1790s Annexation	1791	1795	yes		\N	\N		0	f		\N
92	30	1	Lewistown Borough 1795 Creation	1795	1795	yes	1795-04-11	\N	1		0	t		\N
93	4	3	Brunswick Township 1797 Boundary Ascertainment	1795	1797	yes	1797-~02-~01	\N	43		0	f		\N
94	30	1	Huntingdon Borough 1796 Creation	1796	1796	yes	1796-03-29	\N	1		0	t		\N
95	36	7	Mifflin Township (Lycoming) 1797 Creation	1797	1797	yes	1797-~05-~17	\N	25		0	f		\N
96	30	1	Uniontown Borough 1796 Creation	1796	1796	yes	1796-04-04	\N	1		0	t		\N
97	36	3	Briar Creek Township 1797 Creation	1797	1797	yes	1797-08-~01	\N	34		0	f		\N
98	36	3	Mifflin Township (Northumberland) 1797 Creation	1795	1797	yes	1797-04-~01	\N	34		0	f		\N
99	36	3	Lower Oxford Township-Upper Oxford Township 1796 Creation	1796	1796	yes	1796-05-19	\N	34		0	t		\N
100	30	1	Sunbury Borough 1797 Creation	1797	1797	yes	1797-03-24	\N	1		0	t		\N
101	36	3	Bloom Township 1798 Creation	1798	1798	yes	1798-~04-~01	\N	43		0	f		\N
102	36	3	Annville Township 1799 Creation	1799	1799	yes	1799-09-~01	\N	34		0	t		\N
103	36	3	Buffalo Township (Cumberland) 1799 Creation	1799	1799	yes	1799-10-29	\N	34		0	f		\N
104	30	1	Greensburg Borough 1799 Creation	1799	1799	yes	1799-02-09	\N	1		0	t		\N
105	36	3	Greenwood Township 1799 Creation	1799	1799	yes	1799-08-~01	\N	34		0	f		\N
106	30	1	Lebanon Borough 1799 Creation	1799	1799	yes	1799-03-28	\N	1		0	t		\N
107	4	3	Manheim Township 1799 Boundary Ascertainment	1797	1799	yes	1799-08-~05	\N	34		0	f		\N
108	30	1	West Chester Borough 1799 Creation	1799	1799	yes	1799-03-28	\N	1		0	t		\N
109	33	1	Adams County 1800 Creation	1800	1800	yes	1800-01-22	\N	1		0	f		\N
110	30	1	Frankford Borough 1800 Creation	1800	1800	yes	1800-03-07	\N	1		0	t		\N
111	36	3	Liberty Township 1800 Creation	1800	1800	yes	1800-08-~01	\N	34		0	t		\N
112	54	1	Philadelphia City 1800 Wards	1800	1800	yes	1800-03-01	\N	1		0	t		\N
113	36	3	Conewago Township 1801 Creation	1801	1801	yes	1801-05-~01	\N	34		0	f		\N
114	36	3	Ferguson Township 1801 Creation	1801	1801	yes	1801-01-~01	\N	34		0	f		\N
115	36	3	Hemlock Township 1801 Creation	1801	1801	yes	1801-~08-~01	\N	144		0	f		\N
116	36	3	Mahantongo Township 1801 Creation	1799	1801	yes	1801-01-~01	\N	34		0	t		\N
117	36	3	Norwegian Township 1801 Creation	1799	1801	yes	1801-01-~07	\N	34		0	t		\N
118	2	3	Pine Grove Township 1801 Annexation	1799	1801	yes	1801-01-~01	\N	34		0	f		\N
119	36	3	Schuylkill Township 1801 Creation	1799	1801	yes	1801-01-~07	\N	34		0	t		\N
120	34	3	Spring Township 1801 Creation	1801	1801	yes	1801-01-19	\N	34		0	f		\N
121	30	1	Beaver Borough 1802 Creation	1802	1802	yes	1802-03-29	\N	1		0	t		\N
