filingid	filingtype	filingspecific	filingnotpresent	filingdate	filingfiled	filingother	filingothertype	filingnotes	adjudication
1	27			1888-06-16		1888-09-04	First Election		8414
2	27			1916-02-08		1916-03-21	First Election		8455
3	27			1896-06-02		1896-06-30	First Election		8430
4	27			1896-09-21		1896-10-13	First Election		8431
5	34	In re Petition of David Reiner to have certain territory excluded from the proposed Borough of Trappe and to have the same included within the Township of Perkiomen		1896-09-21					8431
6	27			1898-06-27		1898-08-02	First Election		8434
7	27			1869-08-20		1869-09-21	First Election		8579
8	58				1887-03-07				8411
9	32	Protest of Freeholders and Voters			1887-03-07				8411
10	8			1887-03-10	1887-03-10				8411
11	32				1887-05-31				8411
12	64	Citizens of Upper Hanover filed against being included in the proposed Borough of Pennsburg			1887-05-31				8411
13	44			1887-11-14					8411
14	27			1887-11-19					8411
15	110				1887-12-07				8411
16	78				1888-04-09				8411
17	23			1888-04-09		1888-05-08	First Election		8411
18	44	Order Affirmed		1888-03-19					293
19	27			1902-11-13		1902-12-02	First Election		8439
20	27			1893-01-09		1893-02-21	First Election		8427
21	27			1879-06-14		1879-07-17	First Election		8404
22	27			1903-04-06	1903-04-06	1903-05-05	First Election		8440
23	27			1887-12-15	1887-12-15	1888-02-21	First Election		8412
24	27			1897-12-27		1898-02-15	First Election		8432
25	27			1886-11-10		1887-02-15	First Election		3184
26	34			1890-05-24	1890-05-24				3187
27	20			1910-04-22	1910-04-25				588
28	34			1910-06-16	1910-06-16				588
29	35			1930-03-07	1930-03-07				8626
30	58				1932-03-04				8627
31	35			1933-12-29					8627
32	35			1921-02-21					8623
33	35			1929-03-28					8625
34	58				1929-02-21				8625
35	34	confirming absolutely boundary line as fixed by commissioners		1916-10-30	1916-10-26			"Nunc pro tunc as of October Sessions 1916"	8456
36	58				1915-10-26				8456
37	58				1884-10-06				8610
38	8			1884-10-10					8610
39	35			1884-12-18					8610
40	27			1874-10-06		1874-10-20	First Election		8604
41	8			1874-05-20					8604
42	27			1872-08-24		1872-09-14	First Election		8598
43	27			1874-12-08		1875-02-16	First Election		8605
44	27			1871-08-26		1871-09-08	First Election		8588
45	27			1875-12-10		1876-01-01	First Election		8608
46	27			1875-09-06		1875-09-28	First Election		8606
47	34			1957-11-27		1957-11-27	Effective		8515
48	82			1803-12-03					8557
49	26			1804-02-13					8557
50	34			1804-05-16					8557
51	55			1803-11-18					8556
52	34			1806-08-20					8561
53	82	Continued to next term		1805-05-15					8559
54	34			1805-11-12					8559
55	55			1805-02-13					8558
56	57				1924-05-16				8473
57	95			1924-05-16					8473
58	57	23			1924-03-24				8472
59	95	of Ordinance 23		1924-04-26					8472
60	57	198			1923-07-02				8469
61	95	of Ordinance 198		1923-07-02					8469
62	57	194			1922-06-26				8469
63	95	of Ordinance 194		1922-06-26					8469
64	57				1925-08-01				8476
65	95			1925-08-01				Stated in another pleading	8476
66	57				1925-08-13				8477
67	57				1925-11-09				8478
68	95			1925-11-09				per auditor's report	8478
69	58				1899-04-17				8435
70	32				1899-06-05				8435
71	32				1899-06-05				8435
