governmentid	governmentname	governmenttype	governmentstatus	governmentstatusdefacto	governmentstyle	governmentlevel	governmentcurrentleadparent	governmentabbreviation	government1983stateplaneauthority	governmentlead1983stateplane	governmenthasmultiple1983stateplane	governmentdefaultsrid	governmentnotecreation	governmentnotedissolution	governmentnotecurrentleadparent	governmentcharterstatus	governmentbooknote	governmentbookcomplete	governmentmultilevel	governmentindigobook	governmentsubstitute	governmentnumber	governmentmapstatus	governmentlocale	governmentarticle	governmentconnectingarticle	governmentcurrentform
1	United States of America	Country		f		1	\N	USA			\N	\N			f	\N	\N	\N	f	U.S.	\N		1	en			\N
9	Delaware	State		f		2	1	DE	Del. Code Ann. tit. 6, § 5501		\N	6436			f	\N	\N	\N	f	Del.	\N		1	en			\N
22	Maryland	State		f		2	1	MD	Md. Code. Ann. Real Prop. § 14-401		\N	6488			f	\N	\N	\N	f	Md.	\N		1	en			\N
32	New Jersey	State		f		2	1	NJ	N.J. Stat. Ann. § 51:3-7		\N	6527			f	\N	\N	\N	f	N.J.	\N		1	en			\N
34	New York	State		f		2	1	NY	1995 N.Y. Laws ch. 605		\N	4438			f	\N	\N	\N	f	N.Y.	\N		1	en			\N
37	Ohio	State		f		2	1	OH	Ohio Rev. Code Ann. § 157.01		\N	32167			f	\N	\N	\N	f	Ohio.	\N		1	en			\N
40	Pennsylvania	Commonwealth		f		2	1	PA	68 Pa. Stat. Ann. § 951		\N	100007			f	\N	\N	\N	f	Pa.	\N		1	en			\N
48	Virginia	Commonwealth		f		2	1	VA	Va. Code Ann. § 55-288.1		\N	32167			f	\N	\N	\N	f	Va.	\N		1	en			\N
50	West Virginia	State		f		2	1	WV	W. Va. Code § 1-1-5		\N	32167			f	\N	\N	\N	f	W.Va.	\N		1	en			\N
359	Kent	County		f		3	9	Ken		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
360	New Castle	County		f		3	9	New		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
361	Sussex	County		f		3	9	Sus		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1236	Allegany	County		f		3	22	Aly		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1238	Baltimore	County		f		3	22	Balt		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1241	Carroll	County		f		3	22	Crl		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1242	Cecil	County		f		3	22	Cec		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1245	Frederick	County		f		3	22	Fre		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1246	Garrett	County		f		3	22	Gar		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1247	Harford	County		f		3	22	Har		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1256	Washington	County		f		3	22	Wash		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1817	Atlantic	County		f		3	32	Atl		X	f	\N			f	\N	\N	\N	f		\N		2	en			\N
1818	Bergen	County		f		3	32	Ber		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1819	Burlington	County		f		3	32	Bur		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1820	Camden	County		f		3	32	Cam		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1821	Cape May	County		f		3	32	Cap		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1822	Cumberland	County		f		3	32	Cumb		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1823	Essex	County		f		3	32	Ess		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1824	Gloucester	County		f		3	32	Glo		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1825	Hudson	County		f		3	32	Hud		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1826	Hunterdon	County		f		3	32	Hun		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1827	Mercer	County		f		3	32	Mer		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1828	Middlesex	County		f		3	32	Mid		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1829	Monmouth	County		f		3	32	Mon		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1830	Morris	County		f		3	32	Mor		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1831	Ocean	County		f		3	32	Oce		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1832	Passaic	County		f		3	32	Pas		X	f	\N			f	\N	\N	\N	f		\N		2	en			\N
1833	Salem	County		f		3	32	Sal		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1834	Somerset	County		f		3	32	Som		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1835	Sussex	County		f		3	32	Sus		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1836	Union	County		f		3	32	Uni		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1837	Warren	County		f		3	32	War		X	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1872	Allegany	County		f		3	34	Aly		W	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1873	Bronx	County		f		3	34	Bro		LI	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1874	Broome	County		f		3	34	Brm		C	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1875	Cattaraugus	County		f		3	34	Cat		W	f	\N			f	\N	\N	\N	f		\N		1	en			\N
1877	Chautauqua	County		f		3	34	Cht		W	f	\N			f	\N	\N	\N	f		\N		1	en			\N
