governmentformgovernmentid	government	governmentform	governmentformgovernmentyear	governmentformgovernmentpage	governmentformgovernmentnotes	governmentformgovernmenteffective
1	3250	8	1922	486		
2	3250	8	1920	407		
3	3250	8	1918	387		
4	3250	8	1916	352		
5	3250	8	1915	333		
6	3280	5	1922	486		
7	3280	5	1920	407		
8	3280	5	1918	387		
9	3280	5	1916	352		
10	3280	5	1915	333		
11	3284	5	1922	486		
12	3284	5	1920	407		
13	3284	5	1918	387		
14	3284	5	1916	352		
15	3284	5	1915	333		
16	3292	8	1922	486		
17	3292	8	1920	407		
18	3292	8	1918	387		
19	3292	8	1916	352		
20	3292	8	1915	333		
21	3316	8	1922	486		
22	3316	8	1920	407		
23	3316	8	1918	387		
24	3316	8	1916	352		
25	3316	8	1915	333		
26	3335	8	1922	486		
27	3335	8	1920	407		
28	3335	8	1918	387		
29	3335	8	1916	352		
30	3335	8	1915	333		
31	3362	5	1915	333		
32	3407	5	1922	486		
33	3407	5	1920	407		
34	3407	5	1918	387		
35	3451	5	1922	486		
36	3451	5	1920	407		
37	3451	5	1918	387		
38	3451	5	1916	352		
39	3451	5	1915	333		
40	3596	8	1922	486		
41	3596	8	1920	407		
42	3596	8	1918	387		
43	3596	8	1916	352		
44	3596	8	1915	333		
45	3518	5	1922	486		
46	3518	5	1920	407		
47	3518	5	1918	387		
48	3522	8	1922	486		
49	3543	5	1922	486		
50	3543	5	1920	407		
51	3543	5	1918	387		
52	3543	5	1916	352		
53	3543	5	1915	333		
54	3609	5	1922	486		
55	3609	5	1920	407		
56	3609	5	1918	387		
57	3609	5	1916	352		
58	3609	5	1915	333		
59	3652	8	1922	486		
60	3652	8	1920	407		
61	3652	8	1918	387		
62	3652	8	1916	352		
63	3652	8	1915	333		
64	3658	5	1922	486		
65	3658	5	1920	407		
66	3658	5	1918	387		
67	3658	5	1916	352		
68	3674	8	1922	486		
69	3674	8	1920	407		
70	3674	8	1918	387		
71	3674	8	1916	352		
72	3674	8	1915	333		
73	3698	5	1922	486		
74	3698	5	1920	407		
75	3698	5	1918	387		
76	3698	5	1916	352		
77	3698	5	1915	333		
78	3720	5	1922	486		
79	3720	5	1920	407		
80	3720	5	1918	387		
81	3720	5	1916	352		
82	3720	5	1915	333		
83	3735	8	1922	486		
84	3735	8	1920	407		
85	3735	8	1918	387		
86	3735	8	1916	352		
87	3735	8	1915	333		
88	3760	8	1922	486		
89	3760	8	1920	407		
90	3760	8	1918	387		
91	3760	8	1916	352		
92	3760	8	1915	333		
93	3822	5	1922	486		
94	3822	5	1920	407		
95	3822	5	1918	387		
96	3822	5	1916	352		
97	3835	5	1922	486		
98	3835	5	1920	407		
99	3835	5	1918	387		
100	3846	8	1922	486		
101	3846	8	1920	407		
102	3846	8	1918	387		
103	3860	8	1922	486		
104	3909	5	1922	486		
105	3909	5	1920	407		
106	3909	5	1918	387		
107	3909	5	1916	352		
108	3909	5	1915	333		
109	3936	8	1922	486		
110	3936	8	1920	407		
111	3936	8	1918	387		
112	3936	8	1916	352		
113	3936	8	1915	333		
114	3960	5	1922	486		
115	3960	5	1920	407		
116	3960	5	1918	387		
117	3960	5	1916	352		
118	3960	5	1915	333		
119	4039	5	1922	486		
120	4039	5	1920	407		
121	4039	5	1918	387		
122	4039	5	1916	352		
123	4039	5	1915	333		
124	4176	8	1922	486		
125	4176	8	1920	407		
126	4176	8	1918	387		
127	4176	8	1916	352		
128	4176	8	1915	333		
129	4190	5	1922	486		
130	4190	5	1920	407		
131	4190	5	1918	387		
132	4190	5	1916	352		
133	4190	5	1915	333		
134	4193	8	1922	486		
135	4193	8	1920	407		
136	4193	8	1918	387		
137	4193	8	1916	352		
138	4193	8	1915	333		
139	4203	8	1922	486		
140	4203	8	1920	407		
141	4203	8	1918	387		
142	4203	8	1916	352		
143	4203	8	1915	333		
144	4210	5	1922	486		
145	4210	5	1920	407		
146	4210	5	1918	387		
147	4210	5	1916	352		
148	4210	5	1915	333		
149	4348	5	1922	486		
