governmentidentifierid	government	governmentidentifiertype	governmentidentifierprefix	governmentidentifier	governmentidentifiernote	governmentidentifiermatchtype	governmentidentifiermatchdate
8	9	3		10		current	\N
21	22	3		24		current	\N
31	32	3		34		current	\N
33	34	3		36		current	\N
36	37	3		39		current	\N
39	40	3		42		current	\N
47	48	3		51		current	\N
49	50	3		54		current	\N
358	359	4	10	001		current	\N
359	360	4	10	003		current	\N
360	361	4	10	005		current	\N
1234	1236	4	24	001		current	\N
1236	1238	4	24	005		current	\N
1239	1241	4	24	013		current	\N
1240	1242	4	24	015		current	\N
1243	1245	4	24	021		current	\N
1244	1246	4	24	023		current	\N
1245	1247	4	24	025		current	\N
1254	1256	4	24	043		current	\N
1815	1817	4	34	001		current	\N
1816	1818	4	34	003		current	\N
1817	1819	4	34	005		current	\N
1818	1820	4	34	007		current	\N
1819	1821	4	34	009		current	\N
1820	1822	4	34	011		current	\N
1821	1823	4	34	013		current	\N
1822	1824	4	34	015		current	\N
1823	1825	4	34	017		current	\N
1824	1826	4	34	019		current	\N
1825	1827	4	34	021		current	\N
1826	1828	4	34	023		current	\N
1827	1829	4	34	025		current	\N
1828	1830	4	34	027		current	\N
1829	1831	4	34	029		current	\N
1830	1832	4	34	031		current	\N
1831	1833	4	34	033		current	\N
1832	1834	4	34	035		current	\N
1833	1835	4	34	037		current	\N
1834	1836	4	34	039		current	\N
1835	1837	4	34	041		current	\N
1870	1872	4	36	003		current	\N
1871	1873	4	36	005		current	\N
1872	1874	4	36	007		current	\N
1873	1875	4	36	009		current	\N
1875	1877	4	36	013		current	\N
1876	1878	4	36	015		current	\N
1881	1883	4	36	025		current	\N
1892	1894	4	36	047		current	\N
1899	1901	4	36	061		current	\N
1904	1906	4	36	071		current	\N
1909	1911	4	36	081		current	\N
1911	1913	4	36	085		current	\N
1919	1921	4	36	101		current	\N
1921	1923	4	36	105		current	\N
1922	1924	4	36	107		current	\N
1924	1926	4	36	111		current	\N
1928	1930	4	36	119		current	\N
2087	2089	4	39	007		current	\N
2098	2100	4	39	029		current	\N
2133	2135	4	39	099		current	\N
2161	2163	4	39	155		current	\N
2285	2287	4	42	001		current	\N
2286	2288	4	42	003		current	\N
2287	2289	4	42	005		current	\N
2288	2290	4	42	007		current	\N
2289	2291	4	42	009		current	\N
2290	2292	4	42	011		current	\N
2291	2293	4	42	013		current	\N
2292	2294	4	42	015		current	\N
2293	2295	4	42	017		current	\N
