governmentothercurrentparentid	government	governmentothercurrentparent
1	3255	2292
2	3310	2305
3	3407	2325
4	3950	2290
5	3953	2302
6	3989	2303
7	4615	2288
8	5251	2312
9	5282	2314
10	5473	2295
11	5510	2288
12	5528	2293
14	6048	2325
15	6544	2288
16	6685	2290
17	6693	2291
31	7372	1873
32	7372	1894
33	7372	1911
34	7372	1913
1305	132903	2322
1306	132860	2310
1307	132694	2300
1308	132807	2289
1309	132870	2352
1310	132066	2295
1311	132599	2306
1312	132708	2340
1313	132614	2348
1314	132616	2308
1315	132737	2295
1316	132578	2327
1317	132677	2289
1318	132865	2336
1319	132765	2346
1320	132585	2333
1321	132585	2346
1322	130655	2302
1323	132551	2352
1324	132826	2340
1325	132664	2325
1326	132939	2345
1327	132826	2299
1328	132962	2325
1329	132114	2293
1330	132807	2302
1331	132604	2291
1332	132561	2340
1333	132650	2314
1334	132802	2289
1335	132952	2332
1336	132415	2325
1337	132617	2350
1338	132983	2318
1339	132753	2330
1340	132686	2339
1341	132934	2334
1342	132667	2312
1343	132632	2327
1344	132843	2297
1345	132614	2347
1346	130698	2303
1347	130019	2292
1348	132834	2320
1349	132705	2293
1350	132882	2319
1351	132681	2318
1352	132956	2351
1353	132645	2295
1354	132697	2288
1355	132719	2288
1356	132988	2347
1357	132558	2329
1358	132636	2335
1359	132857	2288
1360	132602	2300
1361	132715	2328
1362	132916	2319
1363	132939	2327
1364	132859	2350
1365	132588	2338
1366	132602	2317
1367	132896	2329
1368	132755	2305
1369	132947	2349
1370	132718	2322
1371	132626	2301
1372	132603	2292
1373	132889	2335
1374	131257	2288
1375	132099	2288
1376	132630	2312
1377	133059	2351
1378	132915	2291
1379	132900	2306
1380	132798	2352
1381	132591	2292
1382	132804	2339
1383	132808	2310
1384	132552	2352
1385	132877	2338
1386	132850	2296
1387	132912	2292
1388	132859	2321
1389	132971	2351
1390	132555	2297
1391	132869	2290
1392	132597	2309
1393	132815	2306
1394	132964	2305
1395	132900	2348
1396	132735	2305
1397	132949	2310
1398	132703	2347
1399	132860	2347
1400	130073	2305
1401	132682	2318
1402	132873	2295
1403	132800	2321
1404	132988	2289
1405	132828	2318
1406	131892	2314
1407	132982	2318
1408	132804	2300
1409	132569	2353
1410	132576	2304
1411	132988	2296
1412	132736	2350
1413	132791	2351
1414	132958	2323
1415	132813	2304
1416	132727	2334
1417	132575	2309
1418	130653	2290
1419	132849	2345
