governmentshapeid	governmentsubmunicipality	governmentmunicipality	governmentcounty	governmentstate	governmentshapenotes	governmentshapegeometry	governmentshapereference	governmentshapetag	governmentshapeplsstownship	governmentward	governmentschooldistrict
10669	4815	5804	360	9		0103000020E61000000100000024000000B53A4BBC49F252C0539BBAFD0BD84340BD8A8C0E48F252C0D50451F701D843401C3DA02D48F252C08F241D76F5D74340AF52E99C4DF252C04D342899F5D74340488F4ABB4DF252C004761C13EED7434059084CE64DF252C041ACDE6CE3D74340FC850FEF50F252C0D1625E7FE3D7434099E6341E57F252C0008908A5E3D74340623606F760F252C0A44200E1E3D74340EFAA11EB60F252C0F6F4BD3CE1D743401DA819DE60F252C0DE2E555FDED743406C7676FB60F252C085AA8462D8D74340A0A143616BF252C0CCA30792D8D743407A972E636BF252C0D429B16BDDD743402275B9686BF252C094E9E955EBD74340FF2030646BF252C01BC712D9F5D74340036AE5556BF252C00C751414F8D743405E6ABC3E6BF252C0F36F67B1FBD74340EEF4AB486BF252C00521C40B06D84340FB81FC9D69F252C066E48CFE05D84340D9F9E09C67F252C0BD51A6EE05D84340DBB3051367F252C082B7F5C905D84340EFD81B3D66F252C01A25059105D843406C526C3C65F252C066779FBE05D8434050843A6564F252C002F4DAE405D84340BF471B8663F252C0ACEE286606D84340DFC61E4762F252C0CF0EF8E706D8434037A5524F61F252C00EDB9BE506D84340B84FC3175FF252C08106995507D843403C92570F5DF252C0998647BC07D84340575659D759F252C04BAFDB5E08D843400A29744456F252C01D82BB1309D84340B15BD22F51F252C09A773D170AD84340C2DB99BD4CF252C0EBE057FA0AD8434028ABC6BC4AF252C0BA53A7600BD84340B53A4BBC49F252C0539BBAFD0BD84340	10669		\N	\N	\N
11178	4815	5804	360	9		0103000020E61000000100000020000000B932A83638F252C0CD8E54DFF9D743403B2C59A938F252C0CEBA9825F5D743406DEA749A39F252C0AAE9CF09F5D74340D9E9D0B93AF252C065A7B7E8F4D74340C021A5553BF252C02A7EC6D6F4D74340CBEDF3623CF252C0AFB94104F5D743405A48246A3DF252C08FB5B430F5D74340FEBCF44C40F252C0850B5543F5D74340F274E36E44F252C00387F75DF5D743401C3DA02D48F252C08F241D76F5D74340BD8A8C0E48F252C0D50451F701D84340B53A4BBC49F252C0539BBAFD0BD84340F990840047F252C081BD5BDD0CD843405CF6C79E44F252C08D2A726A0DD84340EAF23CFC41F252C0E44971060ED843406CCCC20940F252C083E66B320ED84340C3F61EFA3DF252C090A3F9600ED843402BA6A9FD3DF252C021ABA98D0DD8434072AD76043EF252C05F27D7F80BD843405CE34E963BF252C05B374E060CD843407B10E7A339F252C0E2651A110CD8434067F56D5D39F252C0FBDE17CA0DD84340102D960F39F252C0F82E1D800FD84340626E18AB38F252C08AB566DE11D843406AA786C337F252C04ED8FFD116D84340631B80C536F252C034BE88BC1CD84340A252BCE435F252C0C0B20A3E22D84340CE378F2135F252C0A35754AB26D843403E93FDF334F252C0EB1B98DC28D8434093253E8036F252C069416D3F0DD84340797764AC36F252C0410C74ED0BD84340B932A83638F252C0CD8E54DFF9D74340	11178		\N	\N	\N
14898	4815	5804	360	9		0103000020E6100000010000000F00000046FDF9394BF252C0AA616E7496D9434083F221B93EF252C04F4B5138AED94340A4D057EF37F252C0764B9C3FA6D94340CBA4851630F252C0950F6CE59FD94340E81CF40A38F252C094ED2CC589D9434039059D763BF252C0E0686B018BD9434065CF27613DF252C0EFB18EFE8BD94340947B93783EF252C0DFA3142C8ED94340FEFC2EB13FF252C03BF9962D8FD94340AFC9132F40F252C0D3FD917091D94340F2C13B6441F252C095250ECD93D943406109434543F252C0CB9FBF6194D94340B4DADB3047F252C0B65DD65592D94340B0339B8B49F252C0F2B7BA9A93D9434046FDF9394BF252C0AA616E7496D94340	14898		\N	\N	\N
14920	4815	5804	360	9		0103000020E6100000010000000500000077FDCD9325F252C02824A48A04D94340F924FCF31BF252C090AB5AD4FCD8434094F82ED81EF252C054FB831DF1D843408EAC7CF628F252C0E38909AFF9D8434077FDCD9325F252C02824A48A04D94340	14920		\N	\N	\N
14935	4815	5804	360	9		0103000020E6100000010000001100000016D482C94CF252C0A4DF684AA8D94340A90422E94EF252C01DC7CE67A9D94340EF65509150F252C066BA5417AAD94340BE89DB8955F252C085BC13FAA9D94340C6E68B6C57F252C00BB4176FAAD94340602A48AE5AF252C05F96A508ACD94340C0FBDD315DF252C05F96A508ACD9434015DE6BCB5EF252C09C9A23CEABD94340CA85634061F252C0998C26F0AAD943404A7E32E660F252C046A2DC6BBCD943409A2121E660F252C01405666FBCD94340DDB99C375FF252C02E391D79BED94340D336DDB854F252C0A67F0FC6BDD94340C3CA68FF4EF252C0D09CBBD6BCD94340BAE8B2674BF252C0FC9A72C4BAD94340A375689447F252C00D725ED1B7D9434016D482C94CF252C0A4DF684AA8D94340	14935		\N	\N	\N
14941	4815	5804	360	9		0103000020E6100000010000001000000080E4C53433F252C050D9DE183BD84340AEEF58EE34F252C06B6D121F29D8434063CC05DD38F252C0DD5D6DE22CD84340404660963AF252C0815563E72FD84340E693A4CF3BF252C0318379232FD84340245FFCC03EF252C0320FAD7F2FD843404B8885B940F252C0FF32266031D84340EE6F247843F252C0034FB16A39D84340543D3C6046F252C0DBE640FA39D84340DC66019B47F252C00F607B8E3BD843408BA6779C47F252C0BD595C903BD84340BDCFE3CE35F252C0AEB9B5D850D84340F7DAA2C535F252C0D623C3E350D8434060A0563934F252C09681BD6750D84340A7E4391634F252C0F49374483BD8434080E4C53433F252C050D9DE183BD84340	14941		\N	\N	\N
14952	4815	5804	360	9		0103000020E61000000100000006000000730D30563AF252C0C207DB95B6D84340D95F1EF141F252C014619DD7BBD84340DBC7B7343EF252C0A8274B66CDD84340EDE568313EF252C01A5ED275CDD843406403655935F252C0F854ADB2C6D84340730D30563AF252C0C207DB95B6D84340	14952		\N	\N	\N
14953	4815	5804	360	9		0103000020E6100000010000000E0000007383659129F252C07BC33F8A9FD843409E8F324031F252C0553F8A794FD84340362C9A4433F252C09F52261B50D8434060A0563934F252C09681BD6750D84340F7DAA2C535F252C0D623C3E350D843402D2E080544F252C0F416D1C85BD84340213AD82640F252C00FEE964370D843402AE3FF7240F252C02B7FA1F583D84340CF31D55C48F252C0059ADAAA9DD84340D95F1EF141F252C014619DD7BBD84340730D30563AF252C0C207DB95B6D8434046E56F1134F252C05C6D51DFB1D84340548829FD36F252C0B3F229E6A9D843407383659129F252C07BC33F8A9FD84340	14953		\N	\N	\N
14962	4815	5804	360	9		0103000020E61000000100000009000000516F4CC541F252C04621396E96D743408681AABE47F252C09B507B9A59D74340062CD96B49F252C0C68BFDB042D74340C20C44CE69F252C0C3AC1A6862D74340922FD81353F252C0838917FF8CD743401D42920150F252C077A69EAE90D7434095925C0648F252C09AC8686194D743408BFBACF445F252C014C4321995D74340516F4CC541F252C04621396E96D74340	14962		\N	\N	\N
14976	4815	5804	360	9		0103000020E61000000100000005000000362C9A4433F252C09F52261B50D8434080E4C53433F252C050D9DE183BD84340A7E4391634F252C0F49374483BD8434060A0563934F252C09681BD6750D84340362C9A4433F252C09F52261B50D84340	14976		\N	\N	\N
