governmentsourceid	government	governmentsourcetype	governmentsourcebody	governmentsourcenumber	governmentsourceterm	governmentsourcetitle	governmentsourcepagefrom	governmentsourcepageto	governmentsourcedate	governmentsourcepreliminarydate	governmentsourceapproveddate	governmentsourceeffectivedate	governmentsourceapproved	governmentsourceeffectivenotes	governmentsourceadvertiseddate	source	governmentsourcevolume	sourcecitationvolumetype	governmentsourcevolumetype	sourcecitationvolume	sourcecitationpagefrom	sourcecitationpageto	governmentsourcename
1	40	Certification							1991-02-~01				t			\N							1
2	40	Certification				[Classifying Adams County as a fifth class county, effective January 1, 2012]			2011-06-10			2012-01-01	t			\N							2
3	40	Certification				[Classifying Beaver County as a fourth class county]			1941-01-03				t			\N							3
4	40	Certification				[Classifying Bradford County as a sixth class county]			1941-01-03				t			\N							4
5	40	Certification				[Classifying Bucks County as a second class A county]			1991-02-14				t			\N							5
6	40	Certification				[Classifying Butler County as a fourth class county]			1991-02-14				t			\N							6
7	40	Certification				[Classifying Centre County as a fourth class county, effective January 1, 2012]			2011-06-10			2012-01-01	t			\N							7
8	40	Certification				[Classifying Centre County as a sixth class county]			1941-01-03				t			\N							8
9	40	Certification				[Classifying Cumberland County as a third class county, effective January 1, 2012]			2011-06-10			2012-01-01	t			\N							9
10	40	Certification				[Classifying Dauphin County as a third class county]			1981-10-01				t			\N							10
11	40	Certification				[Classifying Delaware County as a third class county]			1930-12-30				t			\N							11
12	40	Certification				[Classifying Fayette County as a fifth class county, effective January 1, 2002]			2001-09-13			2002-01-01	t			\N							12
13	40	Certification				[Classifying Franklin County as a fourth class county, effective January 1, 2012]			2011-06-10			2012-01-01	t			\N							13
14	40	Certification				[Classifying Juniata County as a seventh class county]			1991-02-14				t			\N							14
15	40	Certification				[Classifying Lackawanna County as a fourth class county, effective January 1, 2002]			2001-09-13			2002-01-01	t			\N							15
16	40	Certification				[Classifying Lehigh County as a fourth class county]			1930-12-30				t			\N							16
17	40	Certification				[Classifying McKean County as a sixth class county]			1930-12-30				t			\N							17
18	40	Certification				[Classifying Monroe County as a fourth class county, effective January 1, 2012]			2011-06-10			2012-01-01	t			\N							18
19	40	Certification				[Classifying Montgomery County as a third class county]			1930-12-30				t			\N							19
20	40	Certification				[Classifying Northampton County as a third class county]			1981-10-01				t			\N							20
21	40	Certification				[Classifying Perry County as a sixth class county, effective January 1, 2012]			2011-06-10			2012-01-01	t			\N							21
22	40	Certification				[Classifying Pike County as a seventh class county]			1991-02-14				t			\N							22
23	40	Certification				[Classifying Pike County as a sixth class county, effective January 1, 2002]			2001-09-13			2002-01-01	t			\N							23
24	40	Certification				[Classifying Snyder County as a seventh class county]			1941-01-03				t			\N							24
25	40	Certification				[Classifying Union County as a seventh class county]			1941-01-03				t			\N							25
26	40	Certification				[Classifying Union County as an eighth class county]			1941-09-11				t			\N							26
27	40	Certification				[Classifying Wayne County as a sixth class county, effective January 1, 2002]			2001-09-13			2002-01-01	t			\N							27
28	40	Certification				[Classifying Wyoming County as a seventh class county]			1981-10-01				t			\N							28
29	40	Certification				[Classifying York County as a fourth class county]			1930-12-30				t			\N							29
30	40	Certification				[of the population of the City of Allegheny]			1890-12-19				t			\N							30
31	40	Certification				[of the population of the City of Scranton]			1901-01-15				t			\N							31
32	40	Certification				[of the surrender of the former charter of the City of Allentown, and the acceptance by the City of the provisions of the Act of May 23, 1874 (P.L. 230, No. 152)]			1874-09-23				t			\N							32
33	40	Certification				[of the surrender of the former charter of the City of Altoona, and the acceptance by the City of the provisions of the Act of May 23, 1874 (P.L. 230, No. 152)]			1884-08-02				t			\N							33
34	40	Certification				[of the surrender of the former charter of the City of Carbondale, and the acceptance by the City of the provisions of the Act of May 23, 1874 (P.L. 230, No. 152)]			1886-06-21				t			\N							34
35	40	Certification				[of the surrender of the former charter of the City of Chester, and the acceptance by the City of the provisions of the Act of May 23, 1874 (P.L. 230, No. 152)]			1890-01-17				t			\N							35
36	40	Certification				[of the surrender of the former charter of the City of Corry, and the acceptance by the City of the provisions of the Act of May 23, 1874 (P.L. 230, No. 152)]			1896-10-01				t			\N							36
37	40	Certification				[of the surrender of the former charter of the City of Erie, and the acceptance by the City of the provisions of the Act of May 23, 1874 (P.L. 230, No. 152)]			1878-03-27				t			\N							37
38	40	Certification				[of the surrender of the former charter of the City of Franklin, and the acceptance by the City of the provisions of the Act of May 23, 1874 (P.L. 230, No. 152)]			1909-01-14				t			\N							38
39	40	Certification				[of the surrender of the former charter of the City of Harrisburg, and the acceptance by the City of the provisions of the Act of May 23, 1874 (P.L. 230, No. 152)]			1874-08-25				t			\N							39
40	40	Certification				[of the surrender of the former charter of the City of Lancaster, and the acceptance by the City of the provisions of the Act of May 23, 1874 (P.L. 230, No. 152)]			1924-05-27				t			\N							40
41	40	Certification				[of the surrender of the former charter of the City of Lock Haven, and the acceptance by the City of the provisions of the Act of May 23, 1874 (P.L. 230, No. 152)]			1913-08-22				t			\N							41
42	40	Certification				[of the surrender of the former charter of the City of Meadville, and the acceptance by the City of the provisions of the Act of May 23, 1874 (P.L. 230, No. 152)]			1891-08-13				t			\N							42
43	40	Certification				[of the surrender of the former charter of the City of Monongahela City, and the acceptance by the City of the provisions of the Act of May 23, 1874 (P.L. 230, No. 152)]			1912-09-30				t			\N							43
44	40	Certification				[of the surrender of the former charter of the City of New Castle, and the acceptance by the City of the provisions of the Act of May 23, 1874 (P.L. 230, No. 152)]			1875-05-17				t			\N							44
45	40	Certification				[of the surrender of the former charter of the City of Oil City, and the acceptance by the City of the provisions of the Act of May 23, 1874 (P.L. 230, No. 152)]			1881-02-17				t			\N							45
46	40	Certification				[of the surrender of the former charter of the City of Reading, and the acceptance by the City of the provisions of the Act of May 23, 1874 (P.L. 230, No. 152)]			1874-07-08				t			\N							46
47	40	Certification				[of the surrender of the former charter of the City of Scranton, and the acceptance by the City of the provisions of the Act of May 23, 1874 (P.L. 230, No. 152)]			1877-04-04				t			\N							47
48	40	Certification				[of the surrender of the former charter of the City of Titusville, and the acceptance by the City of the provisions of the Act of May 23, 1874 (P.L. 230, No. 152)]			1877-12-24				t			\N							48
49	40	Certification				[of the surrender of the former charter of the City of Wilkes-Barre, and the acceptance by the City of the provisions of the Act of May 23, 1874 (P.L. 230, No. 152)]			1898-09-22				t			\N							49
50	40	Certification				[of the surrender of the former charter of the City of Williamsport, and the acceptance by the City of the provisions of the Act of May 23, 1874 (P.L. 230, No. 152)]			1876-02-04				t			\N							50
51	40	Certification				[Population of Beaver County in the 1920 Census is 111,621]			1921-03-14				t			\N							51
52	40	Certification				[Population of Dauphin County in the 1920 Census is 153,116]			1921-03-14				t			\N							52
53	40	Certification				[Population of Delaware County in the 1920 Census is 173,084]			1921-03-14				t			\N							53
54	40	Certification				[Population of Erie County in the 1920 Census is 153,536]			1921-03-14				t			\N							54
55	40	Certification				[Population of Northampton County in the 1920 Census is 153,506]			1921-03-14				t			\N							55
56	40	Certification				[Population of Washington County in the 1920 Census is 189,000]			1921-03-14				t			\N							56
57	40	Certification				[Population of Westmoreland County in the 1920 Census is 273,568]			1921-03-14				t			\N							57
58	40	Certification				[Reclassifying Adams County from a seventh class county to a sixth class county]			1961-04-18				t			\N							58
59	40	Certification				[Reclassifying Berks County from a fourth class county to a third class county]			1951-09-11				t			\N							59
60	40	Certification				[Reclassifying Bradford County from a sixth class county to a seventh class county]			1931-07-28				t			\N							60
61	40	Certification				[Reclassifying Bucks County from a fifth class county to a third class county]			1961-02-20				t			\N							61
62	40	Certification				[Reclassifying Butler County from a sixth class county to a fifth class county]			1951-09-11				t			\N							62
63	40	Certification				[Reclassifying Centre County from a sixth class county to a fifth class county]			1971-02-11				t			\N							63
64	40	Certification				[Reclassifying Chester County from a fifth class county to a fourth class county]			1951-09-11				t			\N							64
65	40	Certification				[Reclassifying Chester County from a fourth class county to a third class county]			1971-02-11				t			\N							65
66	40	Certification				[Reclassifying Clearfield County from a fifth class county to a sixth class county]			1931-07-28				t			\N							66
67	40	Certification				[Reclassifying Cumberland County from a fifth class county to a fourth class county]			1971-02-11				t			\N							67
68	40	Certification				[Reclassifying Cumberland County from a sixth class county to a fifth class county]			1961-02-20				t			\N							68
69	40	Certification				[Reclassifying Erie County from a fourth class county to a third class county]			1961-05-24				t			\N							69
70	40	Certification				[Reclassifying Franklin County from a sixth class county to a fifth class county]			1971-02-11				t			\N							70
71	40	Certification				[Reclassifying Greene County as a sixth class county]			1982-02-11				t			\N							71
72	40	Certification				[Reclassifying Greene County from a seventh class county to a sixth class county]			1951-09-11				t			\N							72
73	40	Certification				[Reclassifying Greene County from a sixth class county to a seventh class county]			1971-02-11				t			\N							73
74	40	Certification				[Reclassifying Huntingdon County as a sixth class county]			1971-11-08				t			\N							74
75	40	Certification				[Reclassifying Lancaster County from a fourth class county to a third class county]			1961-02-20				t			\N							75
76	40	Certification				[Reclassifying Lawrence County from a sixth class county to a fifth class county]			1951-09-11				t			\N							76
77	40	Certification				[Reclassifying Lebanon County from a sixth class county to fifth class county]			1971-02-11				t			\N							77
78	40	Certification				[Reclassifying Lehigh County from a fourth class county to a third class county]			1971-02-11				t			\N							78
79	40	Certification				[Reclassifying Lycoming County from a sixth class county to a fifth class county]			1951-09-11				t			\N							79
80	40	Certification				[Reclassifying Mifflin County from a seventh class county to a sixth class county]			1971-02-11				t			\N							80
81	40	Certification				[Reclassifying Monroe County from a seventh class county to a sixth class county]			1971-02-11				t			\N							81
82	40	Certification				[Reclassifying Potter County from a seventh class county to an eighth class county]			1931-07-28				t			\N							82
83	40	Certification				[Reclassifying Susquehanna County as a sixth class county]			1982-02-11				t			\N							83
84	40	Certification				[Reclassifying Tioga County as a sixth class county]			1971-09-30				t			\N							84
85	40	Certification				[Reclassifying Union County from an eighth class county to a seventh class county]			1951-09-11				t			\N							85
86	40	Certification				[Reclassifying Warren County from a seventh class county to a sixth class county]			1961-04-18				t			\N							86
87	40	Certification				[Reclassifying York County from a fourth class county to a third class county]			1971-02-11				t			\N							87
88	40	Journal	House			"Mr. Swartzwelder presented a petition from inhabitants of the borough of Noblestown, Allegheny county, for the passage of a law changing the place of holding the elections in said borough."	243	243	1849-02-08				t			\N	59						
89	40	Journal	Senate			"Mr. Serrill presented a petition from citizens of Lower Chichester, Delaware county, praying that said township may be separated from the borough of Marcus Hook, for school and other purposes."	207	207	1862-02-26				t			\N	1862						
90	40	Journal	Senate			"Mr. Serrill presented a remonstrance from citizens of the borough of Marcus Hook, Delaware county, against the passage of an act separating said borough from the township of Lower Chichester, in said county."	241	241	1862-03-05				t			\N	1862						
91	40	Journal	Senate				22	23	1852-01-10				t			\N	62						
92	48135	Letters Patent							1701-10-25J				t			\N							1
93	48135	Letters Patent							1701-10-31J				t			\N							2
94	48135	Letters Patent							1720-11-14J				t			\N							3
95	40	Letters Patent				[Consolidating the Borough of Aliquippa and the Borough of Woodlawn into one borough by the name, style, and title of the Borough of Aliquippa]			1928-01-26				t			\N							1
96	40	Letters Patent				[Consolidating the Borough of Berwick and the Borough of West Berwick into one borough by the name, style, and title of the Borough of Berwick]			1918-01-09				t			\N							2
97	40	Letters Patent				[Consolidating the Borough of Bethlehem and the Borough of West Bethlehem into one borough by the name, style, and title of the Borough of Bethlehem]			1904-08-16				t			\N							3
98	40	Letters Patent				[Consolidating the Borough of Brownsville and the Borough of South Brownsville into one borough by the name, style, and title of the Borough of Brownsville]			1933-07-03				t			\N							4
99	40	Letters Patent				[Consolidating the Borough of Canonsburg and the Borough of South Canonsburg into one borough by the name, style, and title of the Borough of Canonsburg]			1911-05-12				t			\N							5
100	40	Letters Patent				[Consolidating the Borough of Chartiers and the Borough of Mansfield into one borough by the name, style, and title of the Borough of Carnegie]			1894-03-01				t			\N							6
101	40	Letters Patent				[Consolidating the Borough of Connellsville and the Borough of New Haven into one borough by the name, style, and title of the Borough of Connellsville]			1909-02-25				t			\N							7
102	40	Letters Patent				[Consolidating the Borough of Ellwood City and the Borough of Hazel Dell into one borough by the name, style, and title of the Borough of Ellwood City]			1914-08-25				t			\N							8
103	40	Letters Patent				[Consolidating the Borough of Freedom and the Borough of Saint Clair into one borough by the name, style, and title of the Borough of Freedom]			1896-05-04				t			\N							9
104	40	Letters Patent				[Consolidating the Borough of Greensburg, the Borough of Ludwick, the Borough of East Greensburg, and the Borough of Southeast Greensburg into one borough by the name, style, and title of the Borough of Greensburg]			1905-07-19				t			\N							10
105	40	Letters Patent				[Consolidating the Borough of Hollidaysburg and the Borough of Gaysport into one borough by the name, style, and title of the Borough of Hollidaysburg]			1923-12-13				t			\N							11
106	40	Letters Patent				[Consolidating the Borough of Indiana and the Borough of West Indiana into one borough by the name, style, and title of the Borough of Indiana]			1895-08-14				t			\N							12
107	40	Letters Patent				[Consolidating the Borough of Kingston and the Borough of Dorranceton into one borough by the name, style, and title of the Borough of Kingston]			1921-08-09				t			\N							13
108	40	Letters Patent				[Consolidating the Borough of Kittanning and the Borough of Wickboro into one borough by the name, style, and title of the Borough of Kittanning]			1914-01-08				t			\N							14
109	40	Letters Patent				[Consolidating the Borough of Monessen and the Borough of McMahan into one borough by the name, style, and title of the Borough of Monessen]			1912-12-16				t			\N							15
110	40	Letters Patent				[Consolidating the Borough of New Kensington and the Borough of Parnassus into one borough by the name, style, and title of the Borough of New Kensington]			1930-12-30				t			\N							16
111	40	Letters Patent				[Consolidating the Borough of Pottsville and the Borough of Yorkville into one borough by the name, style, and title of the Borough of Pottsville]			1907-04-03				t			\N							17
112	40	Letters Patent				[Consolidating the Borough of Punxsutawney and the Borough of Clayville into one borough by the name, style, and title of the Borough of Punxsutawney]			1907-03-07				t			\N							18
113	40	Letters Patent				[Consolidating the Borough of Reynoldsville and the Borough of West Reynoldsville into one borough by the name, style, and title of the Borough of Reynoldsville]			1914-05-25				t			\N							19
114	40	Letters Patent				[Consolidating the Borough of Telford and the Borough of West Telford into one borough by the name, style, and title of the Borough of Telford]			1935-01-11				t			\N							20
115	40	Letters Patent				[Consolidating the Borough of Vandergrift and the Borough of Vandergrift Heights into one borough by the name, style, and title of the Borough of Vandergrift]			1915-06-28				t			\N							21
116	40	Letters Patent				[Consolidating the Borough of Washington and the Borough of North Washington into one borough by the name, style, and title of the Borough of Washington]			1902-05-12				t			\N							22
117	40	Letters Patent				[Consolidating the Borough of Washington and the Borough of South Washington into one borough by the name, style, and title of the Borough of Washington]			1901-06-27				t			\N							23
118	40	Letters Patent				[Consolidating the Borough of Washington and the Borough of West Washington into one borough by the name, style, and title of the Borough of Washington]			1907-12-02				t			\N							24
119	40	Letters Patent				[Consolidating the Borough of Waynesburg and the Borough of East Waynesburg into one borough by the name, style, and title of the Borough of Waynesburg]			1923-09-08				t			\N							25
120	40	Letters Patent				[Consolidating the Burgesses and Inhabitants of the Borough of Clearfield and the Borough of West Clearfield into one borough by the name, style, and title of the Borough of Clearfield]			1900-03-05				t			\N							26
121	40	Letters Patent				[Consolidating the Burgesses and Inhabitants of the Borough of Greensburg in the County of Westmoreland and the Borough of Bunker Hill into one borough by the name, style, and title of the Borough of Greensburg]			1894-03-15				t			\N							27
122	40	Letters Patent				[Consolidating the Burgesses and inhabitants of the Borough of Sunbury in the County of Northumberland and the Borough of East Sunbury into one borough by the name, style, and title of the Borough of Sunbury]			1896-03-03				t			\N							28
123	40	Letters Patent				[Constituting the Borough of Aliquippa as a city of the third class by the name, style, and title of the City of Aliquippa]			1986-02-10				t			\N							29
124	40	Letters Patent				[Constituting the Borough of Arnold as a city of the third class by the name, style, and title of the City of Arnold]			1939-07-31				t			\N							30
125	40	Letters Patent				[Constituting the Borough of Beaver Falls and the Borough of College Hill as a city of the third class by the name, style, and title of the City of Beaver Falls]			1928-12-03				t			\N							31
126	40	Letters Patent				[Constituting the Borough of Beaver Falls as a city of the third class by the name, style, and title of the City of Beaver Falls]			1913-08-22				t			\N							32
127	40	Letters Patent				[Constituting the Borough of Bethlehem as a city of the third class by the name, style, and title of the City of Bethlehem]			1915-12-02				t			\N							33
128	40	Letters Patent				[Constituting the Borough of Bradford as a city of the third class by the name, style, and title of the City of Bradford]			1879-01-14				t			\N							34
129	40	Letters Patent				[Constituting the Borough of Butler as a city of the third class by the name, style, and title of the City of Butler]			1917-03-19				t			\N							35
130	40	Letters Patent				[Constituting the Borough of Clairton, the Borough of North Clairton, and the Borough of Wilson as a city of the third class by the name, style, and title of the City of Clairton]			1921-09-14				t			\N							36
131	40	Letters Patent				[Constituting the Borough of Coatesville as a city of the third class by the name, style, and title of the City of Coatesville]			1915-04-27				t			\N							37
132	40	Letters Patent				[Constituting the Borough of Connellsville as a city of the third class by the name, style, and title of the City of Connellsville]			1911-05-12				t			\N							38
133	40	Letters Patent				[Constituting the Borough of DuBois as a city of the third class by the name, style, and title of the City of DuBois]			1914-12-28				t			\N							39
134	40	Letters Patent				[Constituting the Borough of Duquesne as a city of the third class by the name, style, and title of the City of Duquesne]			1917-10-24				t			\N							40
135	40	Letters Patent				[Constituting the Borough of Easton as a city of the third class by the name, style, and title of the City of Easton]			1887-01-12				t			\N							41
136	40	Letters Patent				[Constituting the Borough of Farrell as a city of the third class by the name, style, and title of the City of Farrell]			1930-10-15				t			\N							42
137	40	Letters Patent				[Constituting the Borough of Greenesburgh as a city of the third class by the name, style, and title of the City of Greenesburgh]			1926-01-26				t			\N							43
138	40	Letters Patent				[Constituting the Borough of Hazleton as a city of the third class by the name, style, and title of the City of Hazleton]			1891-12-04				t			\N							44
139	40	Letters Patent				[Constituting the Borough of Jeannette as a city of the third class by the name, style, and title of the City of Jeannette]			1937-03-22				t			\N							45
