governmentsourceeventid	governmentsource	event	governmentsourceeventinclude	eventrelationship
1	5440	1	\N	1
2	93	4	t	1
3	92	5	t	1
4	4149	6	\N	1
5	4148	6	\N	2
6	4147	6	\N	5
7	94	9	t	1
8	160	29	t	1
9	4321	512	\N	3
10	4320	512	\N	3
11	455	522	t	1
12	456	535	t	1
13	3406	612	\N	5
14	4317	743	\N	1
15	167	743	t	1
16	4318	772	\N	1
17	170	772	t	1
18	4316	773	\N	1
19	169	773	t	1
20	4319	774	\N	1
21	168	774	t	1
22	88	897	\N	8
23	680	940	t	1
24	5384	1033	\N	1
25	5383	1034	\N	1
26	91	1038	\N	8
27	5611	1073	t	8
28	1706	1117	f	5
29	3407	1138	\N	8
30	2423	1199	t	2
31	5625	1212	f	8
32	4156	1215	t	2
33	4154	1215	t	1
34	4132	1215	\N	5
35	4131	1215	\N	5
36	5385	1229	\N	1
37	1969	1239	\N	1
38	2512	1244	t	2
39	3909	1253	t	2
40	3908	1254	t	2
41	5592	1310	f	8
42	5591	1310	f	5
43	5590	1310	t	5
44	5589	1310	f	5
45	532	1350	t	1
46	2503	1357	t	2
47	5497	1359	\N	5
48	5595	1374	f	5
49	843	1402	t	1
50	5497	1407	\N	1
51	5727	1435	\N	8
52	1554	1446	t	2
53	2107	1451	t	1
54	3408	1463	\N	8
55	4455	1484	\N	1
56	5382	1504	\N	1
57	5493	1517	\N	1
58	1737	1518	\N	1
59	1726	1518	\N	1
60	1729	1520	\N	1
61	4056	1533	\N	1
62	4055	1533	\N	5
63	4053	1533	\N	5
64	838	1565	t	1
65	3814	1607	\N	1
66	3813	1607	\N	5
67	4786	1675	f	8
68	2543	1734	\N	1
69	1198	1785	f	8
70	1196	1785	f	8
71	1947	1800	\N	1
72	992	1800	\N	1
73	991	1800	\N	3
74	990	1800	\N	1
75	989	1800	\N	3
76	3815	1827	\N	1
77	3849	1828	\N	1
78	5038	1849	\N	1
79	3402	1899	\N	1
80	5596	1904	\N	1
81	755	1914	t	1
82	4322	1918	\N	5
83	171	1918	\N	1
84	3694	1968	\N	8
86	482	2009	t	1
87	1207	2011	t	1
88	1206	2011	t	1
89	1192	2011	f	5
90	5443	2028	\N	1
91	2528	2039	\N	1
92	2600	2044	\N	8
93	3411	2059	\N	5
94	3409	2059	\N	5
95	842	2076	t	1
96	4783	2085	\N	8
97	2748	2122	\N	1
98	4620	2151	t	2
99	5707	2160	t	2
100	5294	2169	\N	1
101	5295	2170	\N	1
102	1387	2175	\N	1
103	3499	2208	\N	2
104	4323	2218	\N	5
105	4196	2218	t	3
106	4957	2224	\N	1
107	2442	2250	t	3
108	2879	2254	\N	1
109	5378	2267	\N	1
110	5692	2276	\N	1
111	1191	2290	t	8
112	1189	2290	t	8
113	32	2290	t	8
114	2786	2311	\N	8
115	39	2311	t	8
116	2896	2313	\N	1
117	4465	2337	t	1
118	4536	2338	t	1
119	46	2338	t	1
120	4773	2347	\N	8
121	2744	2380	\N	8
122	2882	2383	\N	2
123	2881	2383	\N	2
124	3466	2392	\N	1
125	90	2393	t	8
126	89	2393	t	8
127	3931	2397	t	8
128	44	2397	t	8
129	4146	2400	\N	5
130	4118	2400	\N	5
131	974	2400	t	1
132	4145	2401	\N	5
133	4123	2401	\N	5
134	985	2401	t	1
135	1352	2424	f	5
136	1642	2427	t	8
137	2487	2435	t	2
138	4003	2455	t	8
139	4406	2459	\N	1
141	5275	2474	\N	1
142	50	2474	t	1
144	2752	2500	\N	1
145	3007	2504	t	5
146	4049	2511	t	8
147	4052	2511	t	8
148	4444	2513	f	5
149	4443	2513	f	5
150	4442	2513	f	3
151	4675	2514	\N	8
152	47	2514	t	8
153	4997	2518	t	1
154	48	2518	t	1
155	3410	2529	\N	5
156	1345	2530	\N	1
157	2870	4084	\N	1
158	2018	2540	\N	8
159	2379	2543	t	1
160	37	2543	t	1
161	163	2553	t	8
162	162	2553	t	1
163	814	2553	t	1
164	4157	2561	\N	1
165	5099	2573	\N	8
166	128	2582	t	1
167	850	2582	t	1
168	1054	2583	t	1
169	3697	2605	\N	1
170	3696	2605	\N	1
171	5697	4962	\N	1
172	1346	2626	\N	1
173	5420	2628	\N	1
174	796	2642	t	1
175	1119	2651	t	1
176	5240	2675	\N	8
177	5820	2676	\N	1
178	4038	2685	t	8
179	45	2685	t	8
180	4445	2800	t	5
181	2515	5335	\N	1
182	1158	2816	\N	8
183	1267	2818	\N	1
184	1265	2818	\N	5
185	33	2818	t	1
186	1641	2873	t	8
187	1630	2873	t	8
188	1107	2891	t	1
189	141	2897	t	1
190	5652	2903	\N	1
191	1648	2922	t	8
192	34	2922	t	8
193	5581	2941	\N	8
194	3850	2946	\N	3
195	1496	2973	t	1
196	1651	2977	\N	1
197	1653	2978	\N	1
198	135	2988	t	1
199	2772	2994	t	2
200	2527	5336	\N	1
201	158	3046	t	1
202	1652	3050	\N	1
203	4134	3081	\N	5
204	4117	3081	\N	5
205	980	3081	t	1
206	4133	3082	\N	5
207	4119	3082	\N	5
208	977	3082	t	1
209	4446	3084	t	5
210	4447	3085	t	5
211	2114	5782	\N	1
212	1446	3110	\N	1
213	4135	3138	\N	5
214	4128	3138	\N	5
215	982	3138	t	1
216	1293	3156	\N	1
217	1755	3165	t	8
218	1752	3165	t	8
219	35	3165	t	8
220	140	3187	t	1
221	503	3187	t	1
222	5699	3215	\N	8
223	5370	3230	\N	5
224	5369	3230	\N	5
225	30	3230	t	8
226	4099	3246	t	5
