lawid	source	lawvolume	lawpage	lawnumberchapter	lawtype	lawtitle	lawapproved	laweffective	lawsovereign	lawurl	lawdescriptiondone	lawnumberchaptertext	lawsession	lawsessiontype	lawpublished	lawissue
1	359	1847	462	365		Erecting parts of Lycoming county into a new county, to be called Sullivan	1847-03-15				f					\N
2	359	1829-1830	310	168		Regulating election districts	1830-04-06				f					\N
3	449	18	339	2748		To organize the provisional County of Cambria	1807-01-26				f					\N
4	359	1863	117	123		To repeal an act changing the name of Jones township, Elk county	1863-03-09				f					\N
5	359	1869	1227	1216		Relating to the township of Patterson, in the county of Beaver	1869-04-26				f					\N
6	358	1811-1812	19	11		Authorizing the citizens of the provisional county of Clearfield to elect county commissioners and for other purposes	1812-01-28				f					\N
7	359	1853	764	415		To incorporate the village of Hyde Park into a borough	1852-05-04				f					\N
8	359	1833-1834	89	55		To erect the town of North East, in the county of Erie, into a borough	1834-02-27				f					\N
9	359	1857	612	653		Organizing Forest county for judicial purposes	1857-03-20				f					\N
10	359	1856	242	266		To extend the limits of the borough of Mercer	1856-04-04				f					\N
11	447	8	46	629		For erecting a part of the County of Cumberland into a separate county	1771-03-09				f					\N
12	359	1859	468	461		In relation to the borough of North Lebanon, in the county of Lebanon	1859-04-11				f					\N
13	359	1827-1828	287	129		To extend the boundaries of Mifflinburg, in Union county	1828-04-10				f					\N
14	358	1819-1820	82	57		A Supplement to an act entitled "An act, to re-annex part of Mifflin county to the county of Union," passed the sixteenth day of March, one thousand eight hundred and nineteen	1820-03-16				f					\N
15	359	1864	876	772		Relating to the real estate of Martha S. Irvin	1864-05-06				f					\N
16	448	17	920	2553		To organize the provisional County of Armstrong	1805-03-18				f					\N
17	359	1872	145	142		Creating the borough of Wheatland, in the county of Mercer	1872-02-21				f					\N
18	359	1871	1124	1022		To incorporate the borough of Pleasant Valley	1871-05-24				f					\N
19	359	1841	269	106		To enable Religious Socities to purchase and hold real estate, and for other purposes	1841-04-22				f					\N
21	359	1919	447	222		To amend sections one, two, and three of article five, chapter two of an act, approved the fourteenth day of May, one thousand nine hundred and fifteen (Pamphlet Laws, three hundred twelve), entitled "An act providing a system of government for boroughs, and revising, amending, and consolidating the law relating to boroughs"	1919-06-12				f					\N
22	359	1856	295	311		A Supplement to an act incorporating the borough of Newport	1856-04-09				f					\N
23	447	12	300	1244		For erecting the northern part of the county of Northumberland into a separate county	1786-09-25				f					\N
24	359	1852	127	103		In relation to elections and certain election districts	1852-03-11				f					\N
25	359	1873	692	757		To change the name of Wayne borough, in the county of Wayne	1873-04-10				f					\N
26	359	1845	257	181		To incorporate the village of Dauphin, in the county of Dauphin, into a borough	1845-03-31				f					\N
27	359	1847	300	241		Relating to the borough of Wilkesbarre	1847-03-13				f					\N
28	359	1835-1836	308	94		For dividing the incorporated district of Southwark, in the county of Philadelphia, into five wards, and for other purposes	1836-03-31				f					\N
29	359	1866	146	128		To incorporate the city of Corry	1866-03-08				f					\N
30	359	1844	44	28		To incorporate the borough of West Philadelphia	1844-02-17				f					\N
32	359	1842	306	104		Supplementary to an act, entitled "An act erecting a new county out of the northern part of Luzerne county, to be called Wyoming"	1842-06-28				f					\N
33	358	1819-1820	92	68		Erecting part of Cumberland county, into a separate county to be called Perry	1820-03-22				f					\N
34	359	1863	500	498		To restore the farm of Augustine Byrne, or so much thereof as is included in Chest Springs borough, to Allegheny township, in the county of Cambria	1863-04-15				f					\N
35	359	1848	165	139		To erect Warren, in the county of Armstrong, into a borough, to be called and known by the name of Apollo	1848-03-15				f					\N
36	359	1873	193	184		To incorporate the city of Parker	1873-03-01				f					\N
37	359	1850	679	394		In relation to the boundary lines between the counties of Erie and Crawford, and the counties of Bedford and Blair, and Bedford and Cambria; to incorporate the Shermansville plank road company; relative to a justice of the peace; and erecting Steuben township, in Crawford county; in relation to the Cumberland road; to the city of Pittsburgh; and to building associations	1850-05-03				f					\N
38	447	16	88	1991		For running and ascertaining certain lines of the counties of Bedford, Huntingdon, Somerset and Westmoreland	1798-03-29				f					\N
39	447	10	272	931		For erecting part of the county of Westmoreland into a separate county	1781-03-28				f					\N
40	359	1826-1827	305	129		To incorporate the town of Mifflinburg, in Union county	1827-04-14				f					\N
41	359	1834-1835	290	161		Relating to the courts of Armstrong county, and to authorize the courts of Quarter Sessions of Washington and Allegheny counties to name and to change the names of townships	1835-04-15				f					\N
42	361	1844	596	11		Relative to the township elections in the county of Elk	1844-02-13				f					\N
43	359	1852	404	257		To incorporate the town of Hughesville, in the county of Lycoming, into a borough	1852-04-23				f					\N
44	359	1864	832	726		Relating to the borough of Millersburg, in the county of Dauphin	1864-05-05				f					\N
45	359	1937	1333	320		Concerning elections, including general, municipal, special and primary elections, the nomination of candidates, primary and election expenses and election contests; creating and defining membership of county boards of elections; imposing duties upon the Secretary of the Commonwealth, courts, county boards of elections, county commissioners; imposing penalties for violation of the act, and codifying, revising and consolidating the laws relating thereto; and repealing certain acts and parts of acts relating to elections	1937-06-03				f					\N
46	359	1859	150	151		Relative to the township of Croyle, in the county of Cambria	1859-03-16				f					\N
47	359	1856	346	369		Changing the name of Plunkets Creek township, in the county of Sullivan, to Hills Grove	1856-04-15				f					\N
48	359	1852	657	384		To incorporate the German Lutheran Church, in Upper Dublin township, Montgomery county; to divide the borough of Norristown into three wards; and relative to the Union Library company, of Hatborough.	1852-04-23				f					\N
49	358	1822-1823	191	122		Authorising the erection of Slopes in the Loyalhanna and Yellowbreeches creeks	1823-03-31				f					\N
50	359	1840	83	28		Erecting the borough of West Greenville and the township of West Salem into separate election districts, and for other purposes	1840-03-07				f					\N
51	359	1844	431	288		Changing the name of East Strasburg township, in the county of Lancaster, to that of Paradise	1844-04-27				f					\N
