lawgroupgovernmenttypeid	lawgroup	governmenttype
1	1	City
2	2	Borough
3	3	Borough
4	4	Borough
5	5	Borough
6	6	Borough
7	7	Borough
8	8	City
9	9	City
10	10	Borough
11	11	Borough
12	12	Borough
13	14	Borough
14	15	Borough
15	16	Borough
16	17	Borough
17	18	City
18	19	Township
21	22	Borough
23	24	Borough
25	26	Borough
27	28	Borough
28	29	Borough
29	31	Borough
31	34	Borough
32	35	Borough
33	36	Borough
35	38	Borough
36	39	Borough
37	40	Borough
38	41	Borough
40	43	Borough
41	44	Borough
43	47	Borough
48	52	Borough
49	52	City
50	52	County
51	52	Town
52	52	Township
53	53	Borough
55	56	Borough
57	58	Borough
59	60	Borough
60	61	Borough
61	62	Borough
63	64	Borough
64	65	County
65	66	County
66	67	County
67	68	County
68	69	County
69	70	City
70	71	City
72	73	City
74	75	City
80	78	City
82	80	City
84	82	Borough
85	82	City
86	82	County
87	82	Town
88	82	Township
89	83	Township
90	84	Township
91	85	Township
94	88	Township
95	91	City
96	92	City
97	93	City
98	94	Borough
99	95	Borough
100	96	Borough
101	97	Borough
102	97	City
103	97	County
104	97	Town
105	97	Township
106	98	Borough
107	98	City
108	98	County
109	98	Town
110	98	Township
116	100	Borough
117	100	City
118	100	County
119	100	Town
120	100	Township
121	102	Borough
122	102	City
123	102	County
124	102	Town
125	102	Township
126	103	Borough
127	103	City
128	103	County
129	103	Town
130	103	Township
131	104	Township
132	105	Township
133	106	Borough
134	107	City
135	108	Township
136	109	Borough
137	110	Township
138	111	Township
139	112	City
140	113	City
141	114	City
142	115	City
143	116	City
144	117	Borough
145	118	Borough
146	119	Borough
147	120	Borough
149	122	Township
150	123	Township
151	124	Township
154	129	County
155	130	County
156	131	County
158	133	County
159	134	Borough
160	135	Township
161	137	Borough
162	138	Borough
163	139	Borough
164	140	City
165	141	City
166	142	City
168	144	Borough
170	146	City
172	148	All
173	149	All
176	152	Borough
179	155	All
180	156	All
181	157	Borough
182	158	Borough
184	160	All
190	166	All
193	169	All
194	170	All
195	171	All
198	174	Borough
199	175	Borough
200	176	Borough
201	177	All
205	181	All
206	182	All
208	184	All
210	186	Village
214	190	Borough
219	195	City
220	196	City
221	197	City
224	200	Borough
225	201	Borough
227	203	Borough
229	205	Borough
230	206	All
231	207	All
232	208	City
233	209	Borough
234	210	Borough
236	212	All
238	214	Town
240	216	Town
242	218	Town
248	226	Borough
255	233	All
256	234	All
281	275	All
282	276	Borough
283	277	Village
289	292	City
290	293	City
291	294	City
292	295	Borough
433	414	City
434	415	All
435	417	All
437	419	Township
438	420	Township
439	421	Township
440	422	City
447	429	All
449	431	All
455	437	Township
456	438	Township
457	439	Borough
458	440	Township
459	441	City
460	442	City
461	443	City
462	444	Borough
463	445	Borough
464	446	Borough
465	447	Borough
466	448	Borough
467	448	City
468	449	Borough
469	450	Township
470	451	County
471	452	All
472	453	City
473	454	County
474	455	Township
475	456	City
476	457	Borough
477	457	City
478	458	All
479	459	All
480	461	Village
481	462	County
482	462	Township
483	463	City
488	467	Borough
