lawgroupsectionid	lawgroupsectionorder	lawgroup	lawsection	eventrelationship
1	1	19	78	4
2	1	111	81	4
3	1	4	174	4
4	1	31	175	4
5	1	24	176	4
6	1	28	177	4
9	1	26	178	4
11	1	117	180	4
12	1	29	181	4
13	1	22	182	4
14	2	3	182	5
18	1	44	185	4
22	2	134	194	4
23	2	16	194	4
24	3	15	194	4
25	6	119	194	4
26	1	139	195	4
27	1	110	238	4
29	1	43	275	4
30	1	94	277	4
31	1	118	278	4
32	1	6	279	4
34	1	7	279	4
35	1	34	280	4
36	1	36	282	4
37	1	38	282	4
38	1	39	283	4
39	1	41	284	4
40	1	40	284	4
41	1	35	284	4
42	2	2	284	5
43	1	47	285	4
47	1	109	286	4
49	1	62	287	4
50	1	61	287	4
51	7	119	347	4
52	2	98	351	4
53	2	97	351	4
54	4	98	352	4
55	3	98	353	4
56	1	98	354	4
57	1	97	354	4
58	3	97	355	4
59	1	8	368	4
60	1	80	369	4
63	1	88	382	4
64	1	105	448	4
65	1	9	538	4
68	1	85	568	4
69	1	12	596	4
70	1	11	596	4
71	1	10	615	4
72	1	138	616	4
74	1	58	617	4
75	1	56	619	4
77	1	60	623	4
78	1	120	627	4
83	1	17	630	4
84	1	107	645	4
85	2	114	646	4
86	2	107	646	4
87	2	113	646	4
88	1	114	648	4
89	1	113	648	4
90	1	78	690	4
91	1	96	707	4
92	1	95	707	4
93	4	53	707	5
94	3	119	708	4
95	1	16	709	4
96	1	53	710	5
97	3	53	711	5
98	2	119	711	4
99	5	53	712	5
100	2	53	713	5
102	1	106	795	4
104	3	96	817	5
105	1	134	817	4
106	1	15	817	5
107	1	119	817	4
109	2	15	818	4
110	8	439	911	4
113	1	73	988	4
115	2	75	989	4
117	3	73	989	4
119	3	75	990	4
120	4	73	990	4
121	1	75	991	4
123	2	73	992	4
125	1	129	996	4
129	1	115	1009	4
130	2	70	1011	4
131	3	115	1011	4
132	2	115	1012	4
133	1	70	1013	4
134	7	105	1015	4
135	1	69	1041	4
136	1	133	1042	4
137	1	71	1068	4
140	2	103	1123	4
141	2	52	1123	4
142	3	52	1124	4
143	1	103	1125	4
144	1	52	1125	4
145	3	103	1126	4
146	2	66	1148	5
147	1	65	1148	4
148	2	135	1232	4
149	2	122	1232	4
150	1	122	1235	4
151	1	104	1237	4
152	1	135	1238	4
155	4	18	1252	4
156	1	102	1252	4
158	5	18	1253	4
159	2	102	1253	4
160	10	119	1259	9
161	1	3	1306	4
162	1	2	1306	4
163	1	1	1306	4
164	1	5	1311	4
165	1	140	1331	4
173	1	100	1456	4
175	1	131	1473	4
176	1	68	1474	4
177	1	67	1474	4
178	1	66	1474	4
179	1	14	1493	4
180	1	82	1523	4
181	1	108	1541	4
182	1	142	1576	4
183	2	141	1576	4
184	4	142	1577	4
185	5	141	1577	4
186	2	142	1578	4
187	4	141	1579	4
188	3	142	1580	4
189	3	141	1580	4
190	1	141	1581	4
191	9	119	1604	9
192	1	92	1673	4
193	1	91	1675	4
194	2	1	1675	5
195	1	93	1676	4
196	1	18	1677	4
197	1	112	1678	4
198	1	64	1758	4
199	1	116	1770	4
200	1	84	1793	4
201	1	124	1793	4
202	1	123	1793	4
203	1	83	1793	4
204	1	130	1815	4
205	2	138	21	4
207	3	70	63	4
208	6	115	63	4
209	4	115	64	4
210	5	115	65	4
211	9	69	136	4
212	2	96	193	4
213	3	78	290	4
214	2	130	324	4
215	2	9	330	4
217	7	115	380	4
