lawsectionid	law	lawsectionfrom	lawsectionpagefrom	lawsectionto	lawsectionpageto	eventtype	lawsectionamend	lawsectionnewfrom	lawsectionnewto	lawsectionnewlaw	lawsectionsymbol	lawsectionnewsymbol
1	1	1	462	22	467	33	\N			\N	§	
2	2	44	316	44	316	34	\N			\N	§	
3	3	1	339	9	343	97	\N			\N	§	
4	4	1	117	1	117	34	\N			\N	§	
5	5	1	1227	1	1227	2	\N			\N	§	
6	6	1	19	3	20	97	\N			\N	§	
7	7	1	764	22	767	30	\N			\N	§	
8	8	1	89	6	91	30	\N			\N	§	
9	9	1	612	11	614	97	\N			\N	§	
10	10	1	242	1	242	2	\N			\N	§	
11	11	1	46	15	52	33	\N			\N	§	
12	12	1	468	1	469	2	\N			\N	§	
13	13	1	287	1	287	4	\N			\N	§	
14	14	1	82	2	82	2	\N			\N	§	
15	15	1	876	1	876	2	\N			\N	§	
16	16	1	920	10	924	97	\N			\N	§	
17	17	1	145	7	148	30	\N			\N	§	
18	18	1	1124	5	1125	30	\N			\N	§	
19	19	18	274	18	274	9	\N			\N	§	
21	21	1	447	3	449	9	616			\N	§	
22	22	1	295	1	295	2	\N			\N	§	
23	23	1	300	11	303	33	\N			\N	§	
24	24	11	128	12	128	36	\N			\N	§	
25	25	1	692	1	692	34	\N			\N	§	
26	26	1	257	16	261	30	\N			\N	§	
27	27	1	300	2	300	2	\N			\N	§	
28	28	1	308	15	313	54	\N			\N	§	
29	29	1	146	13	150	31	\N			\N	§	
30	30	1	44	3	46	30	\N			\N	§	
32	32	1	306	2	307	33	\N			\N	§	
33	33	1	92	19	97	33	\N			\N	§	
34	34	1	500	1	500	2	\N			\N	§	
35	35	1	165	17	169	30	\N			\N	§	
36	36	1	193	16	195	31	\N			\N	§	
37	37	3	680	3	680	4	\N			\N	§	
38	37	1	679	1	680	4	\N			\N	§	
39	37	2	680	2	680	4	\N			\N	§	
40	37	8	681	10	681	36	\N			\N	§	
41	38	4	89	5	89	4	\N			\N	§	
42	38	3	89	3	89	4	\N			\N	§	
43	38	2	88	2	88	4	\N			\N	§	
44	38	1	88	1	88	4	\N			\N	§	
45	39	1	272	18	278	33	\N			\N	§	
46	40	1	305	12	315	30	\N			\N	§	
47	41	2	291	2	291	34	\N			\N	§	
48	42	1	596	1	596	36	\N			\N	§	
49	43	1	404	4	405	30	\N			\N	§	
50	44	1	832	1	832	49	\N			\N	§	
51	44	4	833	4	833	2	\N			\N	§	
52	45	602	1356	602	1356	117	\N			\N	§	
53	45	604	1356	604	1356	117	\N			\N	§	
54	45	601	1355	601	1356	117	\N			\N	§	
55	45	603	1356	603	1356	117	\N			\N	§	
56	46	1	150	2	151	36	\N			\N	§	
57	47	1	346	1	346	34	\N			\N	§	
58	48	6	658	8	659	54	\N			\N	§	
59	49	4	193	4	193	4	\N			\N	§	
60	50	1	83	4	84	10	\N			\N	§	
61	50	11	86	11	86	91	\N			\N	§	
62	51	1	431	1	431	34	\N			\N	§	
63	52	3	144	3	145	2	1011			\N	§	
64	52	1	143	1	143	2	1009			\N	§	
65	52	2	144	2	144	2	1012			\N	§	
66	54	1	599	1	599	4	\N			\N	§	
67	55	1	292	13	296	30	\N			\N	§	
68	56	33	384	37	385	2	\N			\N	§	
69	56	28	383	28	383	117	\N			\N	§	
70	57	1	241	7	242	30	\N			\N	§	
71	58	10	484	11	485	97	\N			\N	§	
72	58	9	484	9	484	97	\N			\N	§	
73	58	8	484	8	484	97	\N			\N	§	
74	58	7	483	7	483	97	\N			\N	§	
75	58	1	480	6	483	97	\N			\N	§	
76	59	1	24	13	26	54	\N			\N	§	
77	60	225	1218	229	1219	117	\N			\N	§	
78	60	205	1212	208	1214	21	\N			\N	§	
79	60	210	1214	221	1218	117	\N			\N	§	
80	60	235	1219	235	1219	117	\N			\N	§	
81	60	302	1220	307	1221	4	\N			\N	§	
82	61	1	1216	1	1217	2	\N			\N	§	
83	62	1	89	12	95	30	\N			\N	§	
84	63	1	531	2	531	2	\N			\N	§	
85	64	1	47	18	54	30	\N			\N	§	
86	65	1	266	1	267	2	\N			\N	§	
88	67	1	790	6	791	30	\N			\N	§	
89	68	1	122	8	123	54	\N			\N	§	
90	69	1	574	2	574	2	\N			\N	§	
91	70	1	13	4	14	4	\N			\N	§	
92	71	1	762	1	762	36	\N			\N	§	
93	71	2	762	5	763	36	\N			\N	§	
94	72	1	744	1	745	33	\N			\N	§	
95	73	1	619	49	640	31	\N			\N	§	
96	74	1	64	18	69	33	\N			\N	§	
97	75	12	225	12	225	2	\N			\N	§	
98	76	1	642	3	643	4	\N			\N	§	
99	77	1	136	27	145	32	\N			\N	§	
100	78	6	189	6	189	45	\N			\N	§	
101	78	1	188	1	188	2	\N			\N	§	
102	78	5	189	5	189	4	\N			\N	§	
103	79	2	406	2	406	2	\N			\N	§	
105	81	1	14	1	15	2	\N			\N	§	
106	82	21	453	21	453	2	\N			\N	§	
107	82	9	451	9	451	40	\N			\N	§	
108	82	22	453	22	454	4	\N			\N	§	
109	83	1	636	1	636	2	\N			\N	§	
110	84	54	56	54	56	10	\N			\N	§	
111	84	38	53	38	54	10	\N			\N	§	
112	84	46	54	46	54	10	\N			\N	§	
113	84	19	51	19	51	36	\N			\N	§	
114	84	22	51	22	51	34	\N			\N	§	
115	84	15	50	15	50	2	\N			\N	§	
116	84	21	51	21	51	2	\N			\N	§	
117	84	52	55	52	55	36	\N			\N	§	
118	84	20	51	20	51	2	\N			\N	§	
119	85	1	142	13	146	30	\N			\N	§	
120	86	1	41	18	47	5	\N			\N	§	
121	87	1	351	2	351	2	\N			\N	§	
122	88	1	341	11	349	30	\N			\N	§	
123	89	1	150	1	150	2	\N			\N	§	
124	90	1	766	3	766	30	\N			\N	§	
125	91	1	518	1	518	34	\N			\N	§	
126	92	1	242	9	244	9	\N			\N	§	
127	93	1	120	10	124	97	\N			\N	§	
128	94	1	545	1	546	30	\N			\N	§	
129	95	1	358	1	359	2	\N			\N	§	
130	96	1	1034	48	1051	31	\N			\N	§	
131	97	1	761	1	761	2	\N			\N	§	
132	98	1	722	12	724	30	\N			\N	§	
133	99	2	466	2	466	2	\N			\N	§	
134	100	1	38	14	44	30	\N			\N	§	
135	101	1	503	4	504	4	\N			\N	§	
136	102	1	610	2	610	11	1041			\N	§	
137	103	1	409	16	414	30	\N			\N	§	
138	104	1	106	7	109	30	\N			\N	§	
139	105	1	195	1	196	2	\N			\N	§	
140	106	1	846	6	848	30	\N			\N	§	
141	107	1	216	20	221	33	\N			\N	§	
142	108	1	235	10	237	30	\N			\N	§	
143	109	1	207	28	218	31	\N			\N	§	
144	110	1	14	1	14	52	\N			\N	§	
145	111	1	176	2	177	2	\N			\N	§	
146	112	1	343	18	350	30	\N			\N	§	
147	113	1	238	4	238	49	\N			\N	§	
148	114	17	1236	17	1236	31	\N			\N	§	
149	114	1	1231	16	1236	31	\N			\N	§	
150	115	1	222	1	222	2	\N			\N	§	
151	116	23	88	24	89	54	\N			\N	§	
152	116	63	93	64	94	36	\N			\N	§	
153	116	77	95	77	95	2	\N			\N	§	
154	116	4	86	4	87	2	\N			\N	§	
155	116	22	88	22	88	36	\N			\N	§	
156	116	17	88	17	88	2	\N			\N	§	
157	116	66	94	66	94	30	\N			\N	§	
159	116	42	90	45	91	36	\N			\N	§	
160	116	3	86	3	86	2	\N			\N	§	
161	117	1	34	15	38	30	\N			\N	§	
162	118	1	146	1	147	4	\N			\N	§	
163	119	1	214	19	223	32	\N			\N	§	
164	120	1	346	1	346	34	\N			\N	§	
165	121	1	1051	19	1055	30	\N			\N	§	
166	121	20	1055	20	1055	10	\N			\N	§	
167	122	15	114	16	115	36	\N			\N	§	
168	123	1	145	1	145	2	\N			\N	§	
169	124	1	161	10	164	97	\N			\N	§	
170	125	1	146	11	149	30	\N			\N	§	
171	126	3	430	3	430	2	\N			\N	§	
172	127	1	979	1	979	2	\N			\N	§	
173	128	1	335	9	337	2	\N			\N	§	
174	129	429	1679	429	1679	2	\N			\N	§	
175	129	502	1683	506	1684	4	\N			\N	§	
176	129	411	1674	414	1676	2	\N			\N	§	
177	129	301	1672	303	1673	34	\N			\N	§	
178	129	431	1679	433	1680	2	\N			\N	§	
179	129	107	1661	107	1662	49	\N			\N	§	
180	129	201	1663	219	1667	30	\N			\N	§	
181	129	305	1674	305	1674	34	\N			\N	§	
182	129	426	1678	428	1679	2	\N			\N	§	
183	129	231	1670	235	1672	30	\N			\N	§	
184	129	401	1674	406	1676	2	\N			\N	§	
185	129	221	1667	228	1670	9	\N			\N	§	
186	129	416	1677	421	1678	2	\N			\N	§	
187	129	304	1673	304	1674	36	\N			\N	§	
188	130	1	222	18	228	33	\N			\N	§	
189	131	1	359	14	363	33	\N			\N	§	
190	132	1	305	6	306	30	\N			\N	§	
191	133	1	107	9	112	30	\N			\N	§	
192	134	1	284	1	284	2	\N			\N	§	
193	135	4	284	4	284	2	707			\N	§	
194	135	1	283	1	284	30	\N			\N	§	
195	135	2	284	2	284	5	\N			\N	§	
196	136	1	401	12	404	30	\N			\N	§	
197	137	1	222	7	223	30	\N			\N	§	
198	138	1	542	2	543	30	\N			\N	§	
199	139	1	221	12	226	9	\N			\N	§	
200	140	1	186	1	187	34	\N			\N	§	
201	141	41	118	42	120	4	\N			\N	§	
202	142	1	238	2	239	4	\N			\N	§	
203	143	1	303	1	304	2	\N			\N	§	
204	144	9	446	9	446	2	\N			\N	§	
205	145	1	195	1	195	2	\N			\N	§	
206	146	1	130	3	131	2	\N			\N	§	
207	147	5	107	5	108	4	\N			\N	§	
208	147	2	107	4	107	4	\N			\N	§	
209	147	1	106	1	107	2	\N			\N	§	
210	148	1	238	1	238	91	\N			\N	§	
211	149	46	578	46	578	9	\N			\N	§	
212	149	55	579	55	579	2	\N			\N	§	
213	150	1	429	8	430	30	\N			\N	§	
214	151	1	602	6	603	30	\N			\N	§	
215	152	1	566	1	567	2	\N			\N	§	
216	153	10	487	10	487	49	\N			\N	§	
217	154	1	23	7	26	30	\N			\N	§	
218	155	1	117	9	119	2	\N			\N	§	
219	156	1	308	12	314	30	\N			\N	§	
220	157	1	520	2	520	2	\N			\N	§	
221	158	1	170	2	171	2	\N			\N	§	
222	159	6	107	6	107	2	\N			\N	§	
223	159	1	106	1	107	36	\N			\N	§	
224	159	8	107	8	107	34	\N			\N	§	
225	159	9	107	9	107	36	\N			\N	§	
226	159	7	107	7	107	36	\N			\N	§	
227	159	2	107	2	107	36	\N			\N	§	
228	159	5	107	5	107	2	\N			\N	§	
229	159	3	107	3	107	36	\N			\N	§	
230	159	4	107	4	107	2	\N			\N	§	
231	160	1	222	13	226	30	\N			\N	§	
232	161	1	909	1	910	4	\N			\N	§	
233	162	1	248	5	251	30	\N			\N	§	
234	163	1	642	5	643	4	\N			\N	§	
235	164	1	111	3	112	2	\N			\N	§	
236	165	7 [1-9]	433	7 [1-9]	433	2	843			\N	§	
237	165	7 [11-12]	433	7 [11-12]	433	2	842			\N	§	
238	165	1	430	6	433	2	\N			\N	§	
239	166	1	227	8	229	30	\N			\N	§	
240	167	1	124	3	125	2	\N			\N	§	
241	167	8	126	8	126	9	\N			\N	§	
242	168	13	257	13	258	36	\N			\N	§	
243	168	1	256	5	257	36	\N			\N	§	
244	169	1	386	8	387	30	\N			\N	§	
245	288	1	141	3	141	2	\N			\N	§	
246	170	1	83	1	84	4	\N			\N	§	
247	171	2	1051	2	1052	2	\N			\N	§	
248	172	1	224	7	225	30	\N			\N	§	
249	173	1	1233	1	1233	2	\N			\N	§	
250	174	1	143	15	149	33	\N			\N	§	
251	175	1	146	16	151	5	\N			\N	§	
252	176	1	529	5	530	4	\N			\N	§	
253	177	1	114	1	115	2	\N			\N	§	
254	178	1	465	1	466	4	\N			\N	§	
255	179	1	88	6	89	2	\N			\N	§	
256	180	1	192	15	197	30	\N			\N	§	
257	181	42	425	42	425	54	\N			\N	§	
