lawsectioneventid	lawsection	event	lawsectioneventrelationship	lawsectioneventnotes	lawgroup
1	284	1	indirect		35
2	14230	2	indirect		457
3	14230	3	indirect		457
4	14230	4	indirect		457
5	14230	5	indirect		457
6	14230	9	indirect		457
7	14230	29	indirect		457
8	1156	36	direct		\N
9	163	38	direct		\N
10	1610	49	direct		\N
11	1528	53	direct		\N
12	1591	55	direct		\N
13	1358	57	direct		\N
14	442	68	direct		\N
15	1557	70	direct		\N
16	635	72	direct		\N
17	928	73	direct		\N
18	1591	83	reference		\N
19	1553	83	direct		\N
20	1591	87	reference		\N
21	1702	87	direct		\N
22	1775	88	direct		\N
23	233	89	direct		\N
24	1004	90	direct		\N
25	1552	92	direct		\N
26	396	94	direct		\N
27	744	96	direct		\N
28	1603	100	direct		\N
29	1504	104	direct		\N
30	271	106	direct		\N
31	1039	108	direct		\N
32	470	109	direct		\N
33	378	110	direct		\N
34	191	121	direct		\N
35	592	122	direct		\N
36	473	126	direct		\N
37	382	127	indirect		88
38	382	128	indirect		88
39	1551	132	direct		\N
40	382	134	indirect		88
41	1614	135	direct		\N
42	382	136	indirect		88
43	706	137	direct		\N
44	1133	138	direct		\N
45	382	139	indirect		88
46	382	140	indirect		88
47	344	142	direct		\N
48	1629	142	reference		\N
49	495	143	direct		\N
50	563	144	direct		\N
51	382	146	indirect		88
52	1064	147	direct		\N
53	1629	148	direct		\N
54	668	156	direct		\N
55	42	160	direct		\N
56	41	160	direct		\N
57	217	162	direct		\N
58	1686	163	direct		\N
59	1458	164	direct		\N
60	382	165	indirect		88
61	1442	167	direct		\N
62	877	168	direct		\N
63	138	174	direct		\N
64	99	178	direct		\N
65	406	183	direct		\N
66	1316	185	direct		\N
67	1720	189	direct		\N
68	1795	190	direct		\N
69	382	192	indirect		88
70	1709	193	direct		\N
71	1174	200	direct		\N
72	1822	203	direct		\N
73	291	207	direct		\N
74	774	208	direct		\N
75	1795	210	reference		\N
76	1708	210	direct		\N
77	767	213	direct		\N
78	1080	215	direct		\N
79	1776	217	direct		\N
80	485	218	direct		\N
81	1104	220	direct		\N
82	1481	221	direct		\N
83	1480	221	reference		\N
84	1482	225	direct		\N
85	1480	225	direct		\N
86	365	226	direct		\N
87	1634	228	direct		\N
88	206	229	direct		\N
89	143	232	direct		\N
90	383	233	direct		\N
91	1269	237	direct		\N
92	1018	242	direct		\N
93	960	244	direct		\N
94	1364	245	direct		\N
95	382	247	indirect		88
96	962	248	direct		\N
97	191	249	reference		\N
98	961	249	direct		\N
99	382	250	indirect		88
100	33	253	direct		\N
101	765	256	direct		\N
102	751	256	reference		\N
103	1367	257	direct		\N
104	168	259	direct		\N
105	1762	260	direct		\N
106	120	261	direct		\N
107	315	265	include		\N
108	315	266	include		\N
109	382	269	indirect		88
110	1017	272	direct		\N
111	382	279	indirect		88
112	374	280	direct		\N
113	1172	282	direct		\N
114	1089	285	direct		\N
115	857	289	direct		\N
116	763	296	direct		\N
117	1468	299	direct		\N
118	764	303	direct		\N
119	1364	308	reference		\N
120	1615	308	direct		\N
121	1590	311	direct		\N
122	994	315	direct		\N
123	1629	315	reference		\N
124	993	317	direct		\N
125	802	323	direct		\N
126	404	324	direct		\N
127	122	328	direct		\N
128	46	329	direct		\N
129	716	330	direct		\N
130	1629	330	reference		\N
131	144	332	reference		\N
132	403	332	direct		\N
133	1072	335	direct		\N
134	1046	337	direct		\N
135	1083	340	direct		\N
136	1073	341	direct		\N
137	1048	341	direct		\N
138	1044	343	direct		\N
139	382	345	indirect		88
140	850	346	direct		\N
141	219	347	direct		\N
142	1462	348	direct		\N
143	13	349	direct		\N
144	85	350	direct		\N
145	1047	353	direct		\N
146	1154	355	direct		\N
147	144	357	direct		\N
148	403	357	reference		\N
149	1084	358	direct		\N
150	1629	358	reference		\N
151	83	359	direct		\N
153	438	361	direct		\N
154	389	362	direct		\N
155	314	363	direct		\N
156	2	370	direct		\N
157	1596	370	direct		\N
158	1549	371	direct		\N
159	1002	372	direct		\N
160	1711	376	direct		\N
161	231	378	direct		\N
162	801	379	direct		\N
163	1290	382	direct		\N
164	1265	384	direct		\N
165	1263	384	reference		\N
166	1559	385	direct		\N
167	926	386	direct		\N
168	134	389	direct		\N
169	121	390	direct		\N
170	474	391	direct		\N
171	432	392	direct		\N
172	1264	393	direct		\N
173	1263	393	direct		\N
174	1262	393	direct		\N
175	1560	394	direct		\N
176	1810	395	direct		\N
177	1802	396	direct		\N
178	1466	397	direct		\N
179	927	400	direct		\N
