metesdescriptionid	metesdescriptiontype	metesdescriptionsource	metesdescriptionbeginningpoint	metesdescriptionstateplane	metesdescriptionlongitude	metesdescriptionlatitude	metesdescriptionangle	metesdescriptionquality	metesdescriptionnotes	metesdescriptionname	event	metesdescriptionacres
1	shape	act	South street, in said city	100007	0.0000000	0.0000000	0	m			38	0
2	shape	report of commissioners (docket)	Amity Township, corner a black oak now dead	100007	-75.6949210	40.3141597	-3.8				51	10882
3	shape	act	walnut corner tree of land now of Thomas Wilson's heirs, being a post at the corner of the widow McDonald's out-lots	100007	-77.1863050	40.2190560	-2.7				53	-1
4	shape	act	westerly bank of the river Schuylkill opposite Lardner's lane of Hockley's out-lots	100007	-75.9507474	40.3448351	-3.9				55	0
5	shape	act	marked white oak near a south bank of Codorus creek in a line of John Hay and William Bailey, Esquires, alnds	100007	-76.7258382	39.9712354	-2				70	0
6	line after	county history	mouth of Thompson's run	100007	0.0000000	0.0000000	0				75	0
7	unknown	report of commissioners (docket)	pitch pine on the southerly side of the second mountain	100007	0.0000000	0.0000000	0				81	-1
8	shape	act	point or confluence of the rivers Allegheny and Monongahela	100007	-80.0121996	40.4406566	1				87	0
9	shape	act	West street, where it enters into the west branch of the Juniata river	100007	0.0000000	0.0000000	0				89	0
10	shape	act	on the river Delaware, at the mouth of Lemokin run, at low water mark	100007	0.0000000	0.0000000	0				90	0
11	shape	act	willow bush on the lower end of a small island in Jacob Beeson's run	100007	-79.7351003	39.8965429	2.5	m			96	0
12	shape	act	stone at the north bank of Quitapahilla creek	100007	-76.4224890	40.3416337	-7	m			106	0
13	shape	act	the line which divides the townships of East Bradford and Goshen, at the corner of the lands of Richard Jacobs and John Darlington	100007	0.0000000	0.0000000	0				108	-1
14	shape	act	corner of James Welsh and John Kerr's land, near the brick meetinghouse	100007	-77.6652520	39.9331020	1.15				126	-1
15	shape	act	the upper corner of the township of Falls, at the river Delaware	100007	-74.7837000	40.2207700	-5.3				132	0
16	shape	act	Main Street	100007	-79.0921023	40.0084945	0	m			135	0
17	shape	act	post on the west side of Carlisle street and opposite David Ranken's meadow	100007	0.0000000	0.0000000	0	m			138	0
18	shape	act	mouth of Culp's run	100007	0.0000000	0.0000000	0				144	-1
19	shape	decree	a post on the east bank of the River Schuylkill	100007	-75.6452057	40.3050020	-3.1	m	Angles along Montgomery-Berks line and Limerick line must be recalculated to work.		146	-1
20	shape	decree (county history)	line of Spring township, between the two ridges of the Bald Eagle Mountain in Antes' Gap	100007	-77.7314215	40.9530546	-8			Walker Township	155	-1
21	line after	report of commissioners (recorded, Wes. Co.)	post near a Redox at the Somerset County line	100007	-79.2936784	40.0404047	0				156	0
22	line after	report of commissioners (recorded, Wes. Co.)	Redoe on the Summit of Laurel Hill	100007	-78.8821580	40.4506460	0				160	0
23	shape	act	post at the river Susquehanna	100007	-76.5619260	40.0555220	5.15				167	0
24	shape	act	the river Schuylkill, at the corner of Levi Pawling and Matthew Chain's land	100007	-75.3524190	40.1145524	0	m			168	0
25	shape	report of commissioners (docket)	Pine Creek on the land of John Weidner	100007	-75.7399178	40.3986295	-2.15				175	0
26	shape	act	[lying between Vine-street]	100007	-75.1623684	39.9581789	0	m			178	0
27	shape	act	south west corner of the plot of said town adjoining lands of George Darrah	100007	0.0000000	0.0000000	0				189	-1
28	shape	act	post	100007	-80.2349350	41.2311270	3.55				190	0
29	shape	act	[which borough shall be comprised within the tract of land of Richard M'Alister, deceased]	100007	0.0000000	0.0000000	0				203	0
30	shape	act	post near the bank of Saucony creek	100007	-75.7717180	40.5158382	-3.1	m			207	0
31	shape	act	a stake on the northern bank of the River Schuylkill	100007	-75.6573964	40.2439222	-2.5	m			208	0
32	shape	act	stone the corner of Widow Herr's land	100007	-76.1733901	39.9871653	-2.2	m			218	0
33	shape	act	post	100007	-80.1956892	39.9006997	3.35				220	0
