metesdescriptiongisid	metesdescription	governmentshape
2	344	4
5	4180	8
6	1553	8
8	473	9
9	3824	13
10	1841	14
11	244	15
12	261	16
15	2482	18
17	3911	19
18	3658	20
19	3646	20
20	3192	21
21	2318	24
22	2174	24
23	2117	24
24	2789	27
25	2429	28
26	848	29
27	1123	34
28	2946	35
29	344	37
30	530	39
31	2627	41
32	514	41
33	3026	43
34	3346	44
35	2212	45
36	1316	51
37	2	52
38	2374	53
39	527	54
40	251	54
43	3779	57
45	251	58
47	161	58
48	152	58
49	107	58
53	3250	59
54	514	59
55	344	61
57	926	63
58	733	67
59	1262	68
60	1689	109
61	3303	70
62	251	71
64	152	71
65	107	71
66	1553	73
68	2859	74
69	3006	105
70	3002	106
73	2800	91
74	4051	92
75	3840	95
76	3839	95
78	42	96
79	3782	97
80	2068	100
81	344	102
82	2196	107
83	647	110
86	1781	113
87	4128	114
88	3462	141
89	2856	4013
90	2830	118
91	298	119
92	1302	340
93	3071	123
94	3783	127
95	3088	129
96	3087	129
97	526	133
98	251	133
99	163	133
101	161	133
102	107	133
107	3199	138
108	3510	142
109	992	143
110	991	143
112	665	153
113	3951	149
114	4034	150
116	702	154
117	2767	158
118	2765	158
120	2218	180
121	1694	184
122	4194	185
123	1867	186
124	800	164
125	2727	167
126	2196	169
128	572	173
129	1127	176
130	3074	177
131	3073	177
132	484	179
133	526	205
134	251	205
135	163	205
137	161	205
138	109	205
139	2768	206
140	2111	342
141	2767	194
142	2765	194
143	614	197
144	453	198
145	410	198
146	3046	199
147	2196	199
148	3439	202
149	1108	207
150	3889	211
151	3406	212
152	2393	213
153	1260	215
154	1462	216
155	1461	216
156	4026	219
158	1420	221
159	1419	221
161	899	286
162	687	225
163	1022	226
164	1021	226
165	4182	227
166	2196	227
167	1508	228
168	2194	315
169	2843	316
174	1736	230
175	1650	230
176	786	230
177	1463	232
178	1462	232
179	2406	233
180	3397	508
181	454	236
182	2810	239
183	1309	241
184	1192	242
186	272	242
187	104	242
188	624	251
189	477	251
190	2660	256
191	1997	259
193	517	264
196	1300	275
197	3099	276
198	2019	278
199	565	279
200	2049	283
201	251	284
202	181	284
203	81	284
204	1	284
205	3240	285
207	309	322
208	3373	288
210	314	291
211	4132	292
212	4131	292
213	4130	292
214	1608	292
215	1607	292
216	1581	292
217	2387	293
218	527	296
219	251	296
220	161	296
221	152	296
222	107	296
223	3070	298
224	3356	301
225	3196	303
226	2707	305
227	172	307
228	3413	308
229	1902	325
230	251	327
231	257	328
233	104	330
234	745	335
235	1161	337
236	1500	343
237	3563	344
238	3275	345
239	2550	346
240	246	347
241	3385	350
242	344	351
243	2383	352
244	1442	353
245	760	353
246	2845	354
247	4198	355
248	514	355
249	4157	383
251	3479	384
252	2590	360
253	1576	361
254	1050	362
255	3658	365
256	3653	365
257	255	366
258	26	366
259	206	368
260	3402	371
266	3488	379
268	2148	381
269	514	381
270	1343	385
271	1870	393
273	2427	394
274	527	399
275	251	399
276	1443	400
277	760	400
278	1575	416
279	1768	403
280	1308	404
281	514	404
284	1702	407
286	2218	409
287	4182	411
288	2196	411
289	3899	418
291	2281	420
292	2712	422
293	3793	423
294	2179	425
296	104	427
297	615	643
298	292	643
299	226	643
300	104	643
301	2208	430
302	3815	431
303	4188	432
304	2195	435
306	557	443
308	3993	446
309	3658	447
310	3650	447
311	254	448
312	83	448
313	1	448
315	4075	449
316	4045	450
317	4003	453
318	615	454
319	292	454
320	43	454
321	1052	456
322	798	456
323	3277	464
324	1376	466
325	2309	467
326	2764	468
327	3329	469
328	2680	470
329	615	473
330	292	473
331	43	473
332	12	473
333	2659	477
334	1945	542
335	255	479
336	26	479
337	297	480
338	2018	481
339	4000	484
340	3234	486
341	1541	489
342	699	490
343	1183	493
344	254	495
345	161	495
346	109	495
347	2523	496
348	249	497
349	80	497
350	1	497
351	3577	498
352	1778	499
353	246	502
355	949	505
356	3797	509
358	3441	514
359	1190	514
360	1773	516
361	1862	518
362	2538	523
364	2003	530
365	4033	531
366	3404	538
367	664	539
368	1204	540
369	3984	543
370	3983	543
371	2380	543
372	2379	543
373	2378	543
374	2799	545
375	3448	548
376	3143	549
377	1812	551
378	514	551
380	3231	555
381	2611	557
383	984	559
384	1462	576
385	1461	576
386	383	576
387	250	590
388	82	590
389	1	590
390	3463	591
391	1214	666
392	1441	836
393	1087	836
394	2401	563
395	1341	565
396	1340	565
397	1285	565
398	380	565
399	2453	566
400	287	566
401	3005	567
402	836	568
403	3221	570
404	1675	572
405	2419	573
406	3813	574
407	2244	616
408	3017	579
409	2353	581
410	3615	582
411	3803	585
412	2822	586
413	3640	588
414	626	592
415	3440	594
416	3278	595
418	2403	599
419	430	600
420	426	641
421	1417	605
423	3273	606
424	1354	609
425	616	611
426	2603	612
427	253	614
428	898	618
430	2434	619
431	1980	622
432	2212	624
433	438	625
434	3482	626
435	514	626
436	237	631
438	3812	633
439	1784	634
440	1729	636
441	1727	636
442	19	636
443	3153	637
444	1959	640
445	1958	640
446	1931	12122
447	1312	645
450	615	652
451	292	652
452	104	652
454	2076	654
455	4089	655
456	2804	656
457	3212	657
458	2392	658
459	730	659
461	3709	661
462	2321	665
463	2158	953
464	2356	667
465	2441	667
466	2068	670
467	3163	671
468	2612	675
469	2588	675
470	433	690
471	4102	691
472	4139	676
473	1234	676
475	242	677
476	1614	680
477	3331	681
478	3050	683
479	2671	684
480	484	685
481	3102	692
482	1416	694
483	760	694
484	2746	695
485	1737	696
486	1736	696
487	3197	697
488	2217	697
489	4116	698
490	2602	699
491	507	702
492	506	702
493	1369	703
494	2202	2908
495	1608	707
496	1607	707
497	1600	707
498	1429	707
499	2643	710
500	2471	711
501	2436	712
502	2331	713
503	1705	716
504	1704	716
505	1165	716
