metesdescriptionlineid	metesdescription	metesdescriptionline	thencepoint	northsouth	degree	eastwest	foot	topoint	curveleftright	curveradiusfoot	curvetangent	manualxchange	manualychange	metesdescriptionlinenotes	curveinternalangle
1	1314	1	By and along the line dividing the Township of Abington from the Borough of Jenkintown	N	44.0666666666667	E	261.38	Stone in the side of the right of way of the North Penn Railway Company, now owned or leased by the Philadelphia and Reading Railroad Company		\N	0	\N	\N		\N
2	1314	2	By and along the right of way of said Railway Company the following courses and distances	N	18.4166666666667	W	225.41	Stone		\N	0	\N	\N		\N
3	1314	3		N	23.1666666666667	W	198	Stone		\N	0	\N	\N		\N
4	1314	4		N	26.4166666666667	W	98	Stone		\N	0	\N	\N		\N
5	1314	5		N	29.6666666666667	W	99.5	Stone		\N	0	\N	\N		\N
6	1314	6		N	27.2166666666667	W	109.8	Stone		\N	0	\N	\N		\N
7	1314	7		N	32.7666666666667	W	191.43	Stone		\N	0	\N	\N		\N
8	1314	8		N	36.25	W	196.4	Stone		\N	0	\N	\N		\N
9	1314	9		N	40.2666666666667	W	201.34	Stone		\N	0	\N	\N		\N
10	1314	10		N	46.25	W	293.06	Stone		\N	0	\N	\N		\N
11	1314	11		N	57.6166666666667	W	327.8	Stone		\N	0	\N	\N		\N
12	1314	12		N	41.3833333333333	E	26.5	Stone		\N	0	\N	\N		\N
13	1314	13		N	55.8666666666667	W	123.75	Stone		\N	0	\N	\N		\N
14	1314	14		N	54.1166666666667	W	123.46	Stone		\N	0	\N	\N		\N
15	1314	15		N	64.55	W	220.74	Stone		\N	0	\N	\N		\N
16	1314	16		N	62.4666666666667	W	100.02	Stone		\N	0	\N	\N	[distance is "one hundred and two one-hundredths"]	\N
17	1314	17		N	61.0333333333333	W	200.2	Stone		\N	0	\N	\N	[distance is "two hundred and two tenths"]	\N
18	1314	18		N	63.6166666666667	W	1000	Stone		\N	0	\N	\N		\N
19	1314	19		N	65.55	W	200.11	Stone		\N	0	\N	\N	[distance is "two hundred and eleven one-hundredths"]	\N
20	1314	20		N	64.2166666666667	W	300.02	Stone		\N	0	\N	\N	[distance is "three hundred and two one-hundredths"]	\N
21	1314	21		N	61.0166666666667	W	33.25	Corner of land laid out in lots and known as "Dumont", owned by the Roberts Realty Company, being also a corner in the Township line dividing the Townships of Abington and Cheltenham		\N	0	\N	\N		\N
22	1314	22	By and along said Township line	S	48.4333333333333	E	1484.4	Stone marking the intersection of the middle line of Mill Road, being 40 ft wide with Glenside Avenue, being 33 ft wide		\N	0	\N	\N		\N
23	1314	23	Continuing by and along the Township line dividing the Townships of Abington and Cheltenham, it being also the middle line of Glenside Avenue aforesaid	S	48	E	721.71	Stone		\N	0	\N	\N		\N
24	1314	24	By the same	S	46.7166666666667	E	560.2	Stone		\N	0	\N	\N		\N
25	1314	25	Continuing by the same	S	44.9	E	787.13	Stone		\N	0	\N	\N		\N
26	1314	26	Continuing by and along said Township line dividing said Townships, as aforesaid, part way only, however, along the middle line of said Glenside Avenue	S	49.45	E	512.32	Stone marking the place of Beginning		\N	0	\N	\N		\N
27	1658	1	Extending Northeastwardly along the center line of Chelsea Avenue	N	\N	E	\N	Center line of Summit Avenue		\N	0	\N	\N		\N
28	1658	2	Southeastwardly along center line of Summit Avenue	S	\N	E	\N	Center line of Limekiln Turnpike		\N	0	\N	\N		\N
29	1658	3	Northerly along the center line of same	N	\N		\N	Center line of Beechwood Avenue		\N	0	\N	\N		\N
30	1658	4	Southwardly along the center line of Beechwood Avenue	S	\N		\N	Center line of Edge Hill Avenue		\N	0	\N	\N		\N
31	1658	5	Along the center line of Edge Hill Avenue Southwestwardly	S	\N	W	\N	Point in the North-easterly right-of-way line of the North Pennsylvania Railroad Company		\N	0	\N	\N		\N
32	1658	6	Northwestwardly along same	N	\N	W	\N	Place of beginning		\N	0	\N	\N		\N
33	1901	1	Along said right of way line and the Southwest side of Maple Avenue, the two following courses and distances	N	53.2333333333333	W	146.96	Rail monument		\N	0	\N	\N	[hard to read]	\N
34	1901	2	2	N	60.7666666666667	W	186.08	Point in the center line of Chelsea Avenue extended (50 ft wide)		\N	0	\N	\N		\N
35	1901	3	Along the center line of Chelsea Avenue and crossing Mt. Carmel Avenue	N	1.25	E	350.86	Point marking an angle point in Chelsea Avenue		\N	0	\N	\N		\N
36	1901	4	Continuing along the center line of the same and crossing Chestnut Avenue and Walnut Avenue	N	37.7833333333333	E	1877.77	Point in the center line of Summit Avenue		\N	0	\N	\N		\N
37	1901	5	Along the center line of Summit Avenue	N	88.5	E	170.1	Point in the middle of Limekiln Pike (50 ft wide)		\N	0	\N	\N		\N
38	1901	6	Along the middle of Limekiln Pike	N	1.52777777777778	W	463.66	Point a corner in the middle of Beechwood Avenue (50 ft wide)		\N	0	\N	\N		\N
39	1901	7	Along the middle of Beechwood Avenue	S	51.2583333333333	E	433.56	Point in the middle of Summit Avenue		\N	0	\N	\N		\N
40	1901	8	Still along the middle of Beechwood Avenue	S	51.2583333333333	E	269.5	Point in the middle of North Hills Avenue		\N	0	\N	\N		\N
41	1901	9	Diagonally crossing North Hills Avenue and lands of Aurelio Fabiani, Arthur Raish, Ludwig West and others	N	46.25	E	1120	Point in the line of land of Ferguson's North Glenside Building Lots		\N	0	\N	\N		\N
42	1901	10	Along land of the Ferguson's North Glenside Building Lots and crossing Jenkintown Road, Woodrow Avenue, Spear Avenue, and Lincoln Avenue and land of W.R. And Eliz. Andrews and others on the Southeast and in Abington Township and along Welsh, land of North Glenside Manor, George B. Margerum, Charles I. Rini, and land of Glenside Heights on the Northwest and in Upper Dublin Township	N	36.25	E	5040	Point in the middle of Susquehanna Street Road		\N	0	\N	\N		\N
43	1901	11	Through land of Glenside Park Building Lots and land of Philip P. Wunderle Est. and crossing Anzac Avenue, Raymond Avenue, and diagonally across Fitzwatertown Road	N	29.75	E	2470	Point in the middle of Fitzwatertown Road a corner of land of Tyson Terrace Building Lots		\N	0	\N	\N		\N
44	1901	12	Along the center line of Fitzwatertown Road and land of Tyson Terrace Building Lots on the Northwest and land of the Wunderle Estate of the Southeast	N	38.3055555555556	E	879.56	Point near the center line of Woodland Road or Tyson Lane		\N	0	\N	\N		\N
45	1901	13	Along the center line of North Hills Avenue (33 ft wide) and land of Tyson Terrace Building Lots and Paul Ochsner et ux on the Northwest and land of the Public Building and Load Association on the Southeast 	N	29.2138888888889	E	541.14	Point marking an angle in North Hills Avenue		\N	0	\N	\N	[minutes from final decree]	\N
46	1901	14	Along the center line of North Hills Avenue and land of Paul Ochsner et ux on the Northwest and land of the Public Building and Loan Association on the Southwest the following two courses and distances	N	50.4694444444444	E	411.33	Point		\N	0	\N	\N		\N
47	1901	15	2	N	38.6166666666667	E	1164.77	Point a corner of land of the George Heist Estate on the Northwest and A. Rosenberger on the Southeast		\N	0	\N	\N		\N
48	1901	16	Still along the center line of North Hills Avenue and land of George Heist Estate on the Northwest and land of A. Rosenberger, J. Schamenek, Jacob Kromonski, and crossing the Northwest end of Upland Avenue (50 ft wide)	N	38.225	E	1253.94	Point in the middle of Welsh Road (33 ft wide)		\N	0	\N	\N		\N
49	1901	17	Still along the middle of same and land of the Estate of Robert Williams deceased and land of Fritz Muelbauer and Howard Glenn on the Northwest and land of Lewis Kenas, Fritz Muelbauer and other land of Lewis Kenas	N	38.45	E	1344.56	Iron pin in the middle of the Old Welsh Road (33 ft wide)		\N	0	\N	\N		\N
50	1901	18	Through land of William B. and Edna C. Goentner	N	38.5	E	774.38	Point in the middle of the concrete pavement of Moreland Road, said point being in or near the line of Upper Moreland Township and said point being the point of ending and being S 52° 1' E 549.45 ft from a point at the intersection of the center line of said concrete pavement on Moreland Road with the middle line of the Old Welsh Road		\N	0	\N	\N		\N
51	1900	1	Along said right of way line and the Southwest side of Maple Avenue, the two following courses and distances	N	53.2333333333333	W	146.96	Rail monument		\N	0	\N	\N		\N
52	1900	2	2	N	60.7666666666667	W	186.08	Point in the center line of Chelsea Avenue extended (50 ft wide)		\N	0	\N	\N		\N
53	1900	3	Along the center line of Chelsea Avenue and crossing Mt. Carmel Avenue	N	1.25	E	350.86	Point marking an angle point in Chelsea Avenue		\N	0	\N	\N		\N
54	1900	4	Continuing along the center line of the same and crossing Chestnut Avenue and Walnut Avenue	N	37.7833333333333	E	1877.77	Point in the center line of Summit Avenue		\N	0	\N	\N		\N
55	1900	5	Along the center line of Summit Avenue	N	88.5	E	170.1	Point in the middle of Limekiln Pike (50 ft wide)		\N	0	\N	\N		\N
56	1900	6	Still along the center line of Summit Avenue the two following courses and distances	N	88.5541666666667	E	171.83	Point		\N	0	\N	\N		\N
57	1900	7		N	39.3541666666667	E	242.91	Point in the center line of Beechwood Avenue (50 ft wide)		\N	0	\N	\N		\N
58	1900	8	Along the center line of Beechwood Avenue	S	51.2583333333333	E	269.5	Point in the middle of North Hills Avenue		\N	0	\N	\N		\N
59	1900	9	Along the center line of North Hills Avenue and land of Lulu Country Club on the Northwest and Aurelio Fabiani, Arthur Raish, Ludwig West, and the others on the Southeast, the two following courses and distances	N	37.8833333333333	E	1118.4	Point		\N	0	\N	\N		\N
60	1900	10	2	N	50.1333333333333	E	121.12	Point in the middle of the concrete pavement on Jenkintown Road		\N	0	\N	\N		\N
61	1900	11	Along the middle line of said concrete pavement the two following courses and distances	S	\N	E	57.36	Point	left	1432.47	0	19.61827542116036	-53.90076872827971		\N
62	1900	12		S	36.7069444444444	E	83.41	Point in line of land of Ferguson's North Glenside Building Lots on the Southeast and land of Welsh and land of the North Glenside Manor Building Lots on the Northwest		\N	0	\N	\N		\N
63	1900	13		N	36.2138888888889	E	2742.33	Stone a corner of the land of George B. Margerum		\N	0	\N	\N		\N
64	1900	14	Along land of George B. Margerum on the Northwest and Ferguson's North Glenside Building Lots and others on the Southeast	N	36.4111111111111	E	1037.73	Stone corner of land of Charles I. Rini		\N	0	\N	\N		\N
65	1900	15	along land of Charles I. Rini and Glenside Heights Building Lots on the Northwest	N	36.1861111111111	E	832.1	Stone a corner of land of William R. and Elizabeth Andrews		\N	0	\N	\N		\N
66	1900	16	Along Glenside Heights Building Lots on the Northwest and William R. and Elizabeth Andrews on the Southeast	N	36.0083333333333	E	352.3	Passing over a stone set in the Southwest side of Susquehanna Street Road (33 ft wide) to a point in the center line of said road		\N	0	\N	\N		\N
67	1900	17	Along the center line of Susquehanna Street Road and along Glenside Heights Building Lots on the Southwest and Glenside Park Building Lots on the Northwest	N	53.5625	W	177.2	Point in the center line of Seventh Street as laid out 50 ft wide in Glenside Park		\N	0	\N	\N		\N
68	1900	18	Along the center line of Seventh Street	N	39.3666666666667	E	798.84	Point in the center line of Anzac Avenue as laid out 50 ft wide in said Glenside Park		\N	0	\N	\N		\N
69	1900	19	Along the middle of Anzac Avenue	N	50.6333333333333	W	265.18	Point in the middle of Fitzwatertown Road (33 ft wide) and in line of land of the Estate of Philip P. Wunderle, deceased		\N	0	\N	\N		\N
70	1900	20	Along the center line of Fitzwatertown Road and along the Estate of Wunderle on the Northwest and Glenside Park Building Lots on the Southeast the following two courses and distances	N	49.0388888888889	E	339.52	Point		\N	0	\N	\N		\N
71	1900	21	2	N	38.6305555555556	E	499.85	Point a corner of other land of Philip P. Wunderle Estate		\N	0	\N	\N		\N
72	1900	22	Still along the center line of Fitzwatertown Road and land of the Wunderle Estate on either side	N	38.2805555555556	E	654.24	Point a corner of land of Tyson Terrace Building Lots		\N	0	\N	\N		\N
73	1900	23	Still along center line of Fitzwatertown Road and land of Tyson Terrace Building Lots on the Northwest and land of the Wunderle Estate of the Southeast	N	38.3055555555556	E	879.56	Point near the center line of Woodland Road or Tyson Lane		\N	0	\N	\N		\N
74	1900	24	Along the center line of North Hills Avenue (33 ft wide) and land of Tyson Terrace Building Lots and Paul Ochsner et ux on the Northwest and land of the Public Building and Load Association on the Southeast	N	29.2138888888889	E	541.14	Point marking an angle in North Hills Avenue		\N	0	\N	\N		\N
75	1900	25	Along the center line of North Hills Avenue and land of Paul Ochsner et ux on the Northwest and land of the Public Building and Loan Association on the Southwest the following two courses and distances	N	50.4694444444444	E	411.33	Point		\N	0	\N	\N		\N
76	1900	26	2	N	38.6166666666667	E	1164.77	Point a corner of land of the George Heist Estate on the Northwest and A. Rosenberger on the Southeast		\N	0	\N	\N		\N
77	1900	27	Still along the center line of North Hills Avenue and land of George Heist Estate on the Northwest and land of A. Rosenberger, J. Schamenek, Jacob Kromonski, and crossing the Northwest end of Upland Avenue (50 ft wide)	N	38.225	E	1253.94	Point in the middle of Welsh Road (33 ft wide)		\N	0	\N	\N		\N
78	1900	28	Still along the middle of same and land of the Estate of Robert Williams deceased and land of Fritz Muelbauer and Howard Glenn on the Northwest and land of Lewis Kenas, Fritz Muelbauer and other land of Lewis Kenas on the Southeast	N	38.45	E	1344.56	Iron pin in the middle of the Old Welsh Road (33 ft wide)		\N	0	\N	\N		\N
79	1900	29	Through land of William B. and Edna C. Goentner	N	38.5	E	774.38	Point in the middle of the concrete pavement of Moreland Road, said point being in or near the line of Upper Moreland Township and said point being the point of ending and being S 52° 1' E 549.45 ft from a point at the intersection of the center line of said concrete pavement on Moreland Road with the middle line of the Old Welsh Road		\N	0	\N	\N		\N
80	1900	2		S	4.5	E	46.2	north east corner of Geo. Well's land		\N	0	\N	\N		\N
81	646	6	Land of said Knight and Reiffs	N	53	W	479.82			\N	0	\N	\N		\N
82	646	7	Same course between lands of said Knight and E. Fleres	N	53	W	269.61	Stone		\N	0	\N	\N		\N
83	646	1	Line parallel to said Niblock's land	S	81	W	205.425	Centre line of a public road leading from said Turnpike to the Morris Road		\N	0	\N	\N		\N
84	646	2	Along the middle of said public road by land known as Ambler Park now owned by John E. Turner	S	37	W	1253.175			\N	0	\N	\N		\N
85	646	3	Same course by said Geo. K. Knight's land	S	37	W	1443.75	Side of the North Penna Rail Road		\N	0	\N	\N		\N
86	646	4	Crossing said Rail Road 	S	37	W	66			\N	0	\N	\N	[?same course?]	\N
87	646	5	Same course by said Geo. K. Knight's land	S	37	W	229.35	Line of the Reiff Sisters' land		\N	0	\N	\N		\N
88	646	8	Same course	N	53	W	655.545	Corner of Wade's land		\N	0	\N	\N		\N
89	646	9	By the same, same course	N	53	W	190.575	Corner stone between lands of said George K. Knight and Wm. C. Lyster's		\N	0	\N	\N		\N
90	646	10	Between lands of Peter Wade and Wm. C. Lyster	N	53	W	334.455	Corner stone between said Lyster and Jos. L. Reiff		\N	0	\N	\N		\N
91	646	11	Through lands of said Jos. L. Reiff	N	23.5	W	1003.2	Land of Keasby and Mattison		\N	0	\N	\N		\N
92	646	12	Same course	N	23.5	W	280.5	Stake set five feet southward from the South West corner of the Mill house [...]		\N	0	\N	\N		\N
93	646	13	Crossing the Plymouth [...] Dublin Turnpike Road and along the Easterly side of the Wissahickon Creek	N	9.5	W	610.5	Stake set for the line of Mr. Widmeyers and Keasby and Mattison's land		\N	0	\N	\N		\N
94	646	14	Said land 	N	41.25	E	584.925	Corner stone		\N	0	\N	\N	[NOTE: CHANGED DIR FROM W TO E]	\N
95	646	15	Through land of Keasby and Mattison	N	14	W	462	Easterly side of Race		\N	0	\N	\N		\N
96	646	16	Partly through land of Jacob W. Haines and crossing the Rail Road (same course)	N	14	W	440.55	Stake set on the Easterly side of the road dividing the Townships of Gwynedd and Whitpain		\N	0	\N	\N		\N
97	646	17	Along said Township line road	N	49.5	W	489.225	Stake		\N	0	\N	\N		\N
98	646	18	Easterly line of said North Penna R.R. By land of H.G. Keasby in Gwynedd Township	N	54.75	W	419.1			\N	0	\N	\N		\N
99	646	19	Same course by land of G. Selmann	N	54.75	W	391.05	Middle of a public road leading from said Chestnut Hill + Springhouse Turnpike to Thompson's Mill		\N	0	\N	\N		\N
100	646	20	Same course by land of --- Funk	N	54.75	W	152.295	Corner post		\N	0	\N	\N		\N
101	646	21	Line dividing lands of F. Houston and James Bartleson et al., by --- Funk's land	N	37	E	128.04			\N	0	\N	\N		\N
102	646	22	Peter Sleath's land 	N	37	E	51.48			\N	0	\N	\N	[?same course?]	\N
103	646	23	Edward Lerch's land	N	37	E	95.205			\N	0	\N	\N	[?same course?]	\N
104	646	24	James Barthson's land	N	37	E	1163.58			\N	0	\N	\N	[?same course?]	\N
105	646	25	Harrison Rynear's land	N	37	E	467.445	Stone in the middle of the road leading to Penllyn Station		\N	0	\N	\N	[?same course?]	\N
106	646	26	Centre of said road between lands of said H. Rynear and Mrs. S. P. Shoemaker	S	53.25	E	468.105	Stone in the line of Joseph Haywood's land		\N	0	\N	\N		\N
107	646	27	Centre of a public road leading from the said Chestnut Hill and Springhouse Turnpike to Thompson's Mill, between lands of said Mrs. Shoemaker and Joseph Haywood	N	37	E	2291.85	Stone set for a division of said lands on the westerly side of said Chestnut Hill and Springhouse Turnpike		\N	0	\N	\N		\N
108	646	28	Along the westerly side of said Turnpike Road by the windings thereof, by land of said Joseph Haywood	S	35.6666666666667	E	225.225	Stake		\N	0	\N	\N		\N
109	646	29		S	32.3333333333333	E	957	Stake near the centre line of the road dividing the Townships of Gwynedd and Upper Dublin		\N	0	\N	\N		\N
110	646	30	Into Upper Dublin Township by land of Isaac E. Ambler	S	29.75	E	702.405	Stake		\N	0	\N	\N		\N
111	646	31		S	19	E	651.75	Centre line of Harts Avenue		\N	0	\N	\N		\N
112	646	32	Land of J.B. Henry same course	S	19	E	290.4	Stake		\N	0	\N	\N		\N
113	646	33		S	28.5	E	213.675	Stake		\N	0	\N	\N		\N
114	646	34		S	49.5	E	226.05	Stake set at the Northerly Side of said Plymouth and Upper Dublin Turnpike Road		\N	0	\N	\N		\N
115	646	35	Crossing said Turnpike Road by land now or late of Samuel Whitcomb	S	59	E	190.575			\N	0	\N	\N		\N
116	646	36		S	29	E	155.595	End of the Wing Wall of the Bridge		\N	0	\N	\N		\N
117	646	37	Land of said Whitcomb and Edwin Faust and others	S	9	E	773.025	Stake		\N	0	\N	\N		\N
118	646	38	By land divided into lots	S	1.5	E	416.295	Iron spike set for the centre of a public Road leading from said Chestnut Hill and Springhouse Turnpike Road to the Plymouth and Upper Dublin Turnpike Road		\N	0	\N	\N		\N
119	646	39	Land of Wm. C. Lyster	S	7	E	379.5	Stone		\N	0	\N	\N		\N
120	646	40		S	15.5	E	581.46	Stone		\N	0	\N	\N		\N
121	646	41	Land of Mrs. Jos. Rex, same bearing	S	15.5	E	131.01	Stake		\N	0	\N	\N		\N
122	646	42	Rex's land	S	4	W	127.05	Corner of a wall		\N	0	\N	\N		\N
123	646	43	Ambler Park Entrance	S	4	W	85.635	Place of beginning		\N	0	\N	\N		\N
124	1957	6	Extending along the said center line of Randolph Avenue	S	63.7916666666667	W	116.61	Iron pipe marking the intersection of the said center line of Randolph Avenue with the center line of South Main Street		\N	0	\N	\N		\N
125	1957	1	Extending along the center line of Church Street	N	38.2083333333333	E	786.62	Point marking the intersection of the center line of Church Street with the center line of Bannockburn Avenue		\N	0	\N	\N		\N
126	1957	2	Extending along the center line of Bannockburn Avenue	S	86.6666666666667	E	14.76	Point marking the intersection of the said center line of Bannockburn Avenue with the center line of Ambler Road		\N	0	\N	\N		\N
127	1957	3	Extending along the center line of Ambler Road	S	20.95	E	131.32	Point marking the intersection of the center line of Ambler Road with the center line of a ten foot wide alley		\N	0	\N	\N		\N
128	1957	4	Extending along said ten foot wide alley	S	38.2083333333333	W	635.59	Point		\N	0	\N	\N		\N
129	1957	5	Extending along the rear line of properties fronting on South Main Street	S	17.3083333333333	E	135.41	Center line of Randolph Avenue		\N	0	\N	\N		\N
130	1957	7	Extending along the center line of South Main Street	N	26.2083333333333	W	206.59	Place of beginning		\N	0	\N	\N		\N
131	201	1	Line dividing lands of C. Evans and the Schuylkill Navigation Company	S	20.3333333333333	W	564.3	Point in a public road to the Great Valley		\N	0	\N	\N		\N
132	201	2	Along the middle of said road	S	65.6666666666667	W	2730.75	Point in the middle of a road leading to Swedesford road		\N	0	\N	\N		\N
133	201	3	Along the same 	S	26.5833333333333	E	2574	Point in lands of Henry Novioch		\N	0	\N	\N	[changed to E; HOWEVER, AN OFFICIAL PLAN FROM THE TIME PERIOD SHOULD BE CONSULTED BEFORE FINALIZING THIS DETERMINATION!]	\N
134	201	4		N	66	E	1204.5	Point in a line between lands of John and Lindsay Coates		\N	0	\N	\N		\N
135	201	5	Lands of Samuel Coates	S	83	E	2399.1	Point		\N	0	\N	\N		\N
136	201	6	Lands of said Samuel H. Coates	N	63.5	E	4174.5	Low water-mark of the river Schuylkill aforesaid		\N	0	\N	\N		\N
137	201	7	Along and up said river the several courses thereof		\N		\N	Place of beginning		\N	0	\N	\N		\N
138	1742	1	Along said line	N	28.1	W	2699.6	Stake in the line dividing the borough of Bridgeport and Upper Merion Township		\N	0	\N	\N		\N
139	1742	2	Along said line, the three following courses and distances	N	66.05	E	655.97	Stone		\N	0	\N	\N		\N
140	1742	3	2	S	83.8	E	2065.8	Stone		\N	0	\N	\N		\N
141	1742	4	3	N	63.4166666666667	E	3662.92	Point at low water mark of the River Schuylkill		\N	0	\N	\N		\N
142	1742	5	Along the Schuylkill River, the several courses thereof	S	\N	E	850	Point on the Northern edge of the right on way of the Trenton Cut-off Branch of the Pennsylvania Railroad Company		\N	0	\N	\N		\N
143	1742	6	Along said right of way the fourteen following courses and distances	S	63.4	W	338	Stake		\N	0	\N	\N		\N
144	1742	7	2	S	29.6	E	903.15	Stake		\N	0	\N	\N		\N
145	1742	8	3	S	71.2333333333333	W	289.7	Stake		\N	0	\N	\N		\N
146	1742	9	4	N	27.7333333333333	W	63.5	Stake		\N	0	\N	\N		\N
147	1742	10	5	S	63.3	W	940.6	Stake		\N	0	\N	\N		\N
148	1742	11	6	S	67.95	W	2183.32	Stake		\N	0	\N	\N		\N
149	1742	12	7		\N		64.01		left	4019.83	1	\N	\N		\N
150	1742	13	8	S	24.5166666666667	E	48.2	Stake		\N	0	\N	\N		\N
151	1742	14	9	S	63.7333333333333	W	251.5	Stake		\N	0	\N	\N		\N
152	1742	15	10	N	26.0333333333333	W	53.81	Stake		\N	0	\N	\N		\N
153	1742	16	11		\N		1605.33		left	1419.83	-1	\N	\N		\N
154	1742	17	12	S	40.2	W	95.46	Stake		\N	0	\N	\N		\N
155	1742	18	13	S	27.4	E	140.62	Stake		\N	0	\N	\N		\N
156	1742	19	14	S	40.2	W	1178.38	Stake, the place of beginning		\N	0	\N	\N		\N
157	1294	32	Along the middle line of same	N	8	W	146	Place of beginning		\N	0	\N	\N		\N
158	1294	1	By the middle line of said Mill Road	S	85.25	W	542	Point in the middle line of said public road		\N	0	\N	\N		\N
159	1294	2	Still by the middle line of said road	S	71.7833333333333	W	1569	Point in the middle line of said public road where it bends toward the North West		\N	0	\N	\N		\N
160	1294	3	Still by the middle line of said road	N	59.7166666666667	W	547	Point in the middle line of said public road where it bends toward the West		\N	0	\N	\N		\N
161	1294	4	Still by the middle line of said road	N	82.5166666666667	W	65	Point the intersection of said middle line of said Mill Road with the Westerly line of the right of way of the said Philadelphia Newtown and New York Railroad said point being 25 ft measured at right angles from the center line of said railroad		\N	0	\N	\N		\N
162	1294	5	In a northerly direction by said Westerly line of right of way concentric to said center line	N	\N		708	Point where said Westerly line of right of way intersects the middle line of the Penny Pack creek	left	1407.7	0	1e-13	0	X- and y-change for this course and distance included with the next point. 	\N
163	1294	6	Along the middle line of said creek curving to the North and West by its several courses	N	\N	W	4040	Corner in the middle line of said creek in the line dividing the land of said Philadelphia Newtown and New York railroad and land now or formerly of John Hawkins	?	\N	0	-820.688799777072	3632.05626126343	-1	\N
164	1294	7	By said boundary line and partly along a road leading from the Byberry Road to Paper Mills Station on rail Philadelphia Newtown and New York Railroad said road being hereinafter referred to as the road leading to said Byberry Road	N	63.6666666666667	E	652	Point the intersection of the middle line of said last mentioned road with the middle line of a road leading from Philmont to said Paper Mills Station, and known as the Paper Mill Road		\N	0	\N	\N		\N
165	1294	8	Along the middle line of said road leading to said Byberry Road 	N	52	E	219.12	Point		\N	0	\N	\N	[corrected to E per modern-day map and Ord. 55]	\N
166	1294	9	Still by the middle line of said last mentioned road	N	50.8333333333333	E	787.05	Point		\N	0	\N	\N	[corrected to E per modern-day map and Ord. 55]	\N
167	1294	10	Still by the middle line of the said last mentioned road	N	47.7833333333333	E	109.14	Stone in the middle of said last mentioned road at an angle or bend thereof		\N	0	\N	\N		\N
168	1294	11	Along the middle line of last mentioned road and by land now or formerly of Bergner and Engel 	N	31.6333333333333	E	559.89	Corner in the middle of said last mentioned road opposite a point in the boundary line of said last mentioned road in the line dividing the land now or formerly of Samuel King and land of John Pitcairn		\N	0	\N	\N	[N/S Difficult to Read]	\N
169	1294	12	Along said last mentioned land by land now or formerly of Clark King	S	45.4833333333333	E	884.87	Stake in the line of land now or formerly of Jacob Propert		\N	0	\N	\N		\N
170	1294	13	By said Propert's land	S	45.3333333333333	W	334.97	Stake		\N	0	\N	\N		\N
171	1294	14	By same land	S	44.0666666666667	E	894.96	Stake		\N	0	\N	\N		\N
172	1294	15	By land of said Clark King	S	62.7	E	223.4	Stake a corner of land formerly of Gertrude S. Pitcairn		\N	0	\N	\N		\N
173	1294	16	By land formerly of Jacob Yerker	S	64	E	717.75	Corner stone in the middle of said Fox Chase and Huntingdon Turnpike Road		\N	0	\N	\N		\N
174	1294	17	Along the middle of said Turnpike Road	N	13.5	E	1016.4	Stone in the middle of said Turnpike Road being also a corner of lands now owned or formerly of Henry Stout, Jacob Propert, and the Estate of John Shelmire, deceased		\N	0	\N	\N		\N
175	1294	18	Still along the middle line of said Turnpike Road	N	3.5	E	380.85	Corner in the middle line of said road opposite the Boundary line between land now or formerly of Isaac Michener and land of said John Pitcairn		\N	0	\N	\N		\N
176	1294	19	By said Michener's land	N	86.2333333333333	E	1201.1	Point		\N	0	\N	\N		\N
177	1294	20	Still by said Michener's land	S	49.2666666666667	E	741.28	Stake in line of land now or formerly of William Shelmire		\N	0	\N	\N		\N
178	1294	21	By said Shelmire's land	S	40.7333333333333	W	705.87	Corner stone		\N	0	\N	\N		\N
