nationalarchivesid	source	government	nationalarchivesgovernmentname	nationalarchivesgovernmenttype	nationalarchivesunit	nationalarchivesunitfrom	nationalarchivesunitto	nationalarchivesexamined	nationalarchivesset
1	10	40	Pennsylvania	Commonwealth	17500449	575	575	f	
2	10	40	Pennsylvania	Commonwealth	17500450	4	8	f	
3	10	40	Pennsylvania	Commonwealth	17500449	1126	1126	f	
4	10	40	Pennsylvania	Commonwealth	17500449	1700	1701	f	
5	10	40	Pennsylvania	Commonwealth	17500451	1	4	f	
6	10	40	Pennsylvania	Commonwealth	17500450	1	1	f	
7	10	40	Pennsylvania	Commonwealth	17500453	1	4	f	
8	10	40	Pennsylvania	Commonwealth	17500452	12	15	f	
17	10	4805	New Oxford	Borough	17500449	1636	1640	f	
21	10	4624	McSherrystown	Borough	17500449	1641	1648	f	
22	10	4492	Littlestown	Borough	17500449	1649	1656	f	
29	10	5878	York Springs	Borough	17500449	1634	1635	f	
35	10	2287	Adams	County	17500449	1696	1699	f	
37	10	3688	Conewago	Township	17500449	1632	1633	f	
39	10	3845	East Berlin	Borough	17500449	1677	1678	f	
40	10	3974	Fairfield	Borough	17500449	1675	1676	f	
43	10	4091	Gettysburg	Borough	17500449	1657	1674	f	
45	10	3249	Abbottstown	Borough	17500449	1694	1695	f	
47	10	3302	Arendtsville	Borough	17500449	1692	1693	f	
49	10	3383	Bendersville	Borough	17500449	1684	1691	f	
53	10	3412	Biglerville	Borough	17500449	1679	1683	f	
57	10	3918	Edgewood	Borough	17500449	1322	1332	f	
60	10	6504	Snowden	Township	17500449	802	802	f	
61	10	6043	Bethel	Borough	17500449	1522	1534	f	
64	10	6322	McCandless	Township	17500449	806	806	f	
65	10	6322	McCandless	Township	17500449	803	803	f	
67	10	6158	Eden Park	Borough	17500449	1333	1338	f	
69	10	6447	Plum	Township	17500449	799	799	f	
70	10	3835	Duquesne	City	17500449	1360	1370	f	
76	10	3884	East McKeesport	Borough	17500449	1354	1359	f	
78	10	3894	East Pittsburgh	Borough	17500449	1339	1353	f	
81	10	3919	Edgeworth	Borough	17500449	1320	1321	f	
82	10	3935	Elizabeth	Borough	17500449	1313	1319	f	
84	10	3956	Emsworth	Borough	17500449	1306	1312	f	
86	10	3962	Etna	Borough	17500449	1288	1305	f	
89	10	4007	Findley	Township	17500449	805	805	f	
91	10	4017	Forest Hills	Borough	17500449	1273	1287	f	
94	10	4032	Fox Chapel	Borough	17500449	1263	1272	f	
96	10	4103	Glassport	Borough	17500449	1252	1262	f	
98	10	4110	Glenfield	Borough	17500449	1246	1251	f	
99	10	4128	Green Tree	Borough	17500449	1241	1245	f	
100	10	4172	Hampton	Township	17500449	795	795	f	
103	7	2288	Allegheny	County	5721135	1	4	f	1930
104	10	2288	Allegheny	County	17500449	1571	1631	f	
105	10	2288	Allegheny	County	17500449	810	810	f	
108	10	4208	Haysville	Borough	17500449	1235	1240	f	
109	10	4215	Heidelberg	Borough	17500449	1231	1234	f	
110	10	4248	Homestead	Borough	17500449	1221	1230	f	
112	10	4294	Indiana	Township	17500449	804	804	f	
113	10	4294	Indiana	Township	17500449	798	798	f	
115	10	4296	Ingram	Borough	17500449	1212	1220	f	
118	10	4437	Leetsdale	Borough	17500449	1207	1211	f	
119	10	4460	Liberty	Borough	17500449	1203	1206	f	
120	10	4615	McDonald	Borough	17500449	1202	1202	f	
121	10	4622	McKeesport	City	17500449	1178	1201	f	
124	10	4621	McKees Rocks	Borough	17500449	1168	1177	f	
127	10	4689	Millvale	Borough	17500449	1158	1167	f	
130	10	4743	Mount Oliver	Borough	17500449	1143	1157	f	
132	10	4760	Munhall	Borough	17500449	1127	1142	f	
134	10	4843	North Braddock	Borough	17500449	1112	1125	f	
136	10	4854	North Fayette	Township	17500449	805	805	f	
137	10	4854	North Fayette	Township	17500449	800	800	f	
140	10	4892	Oakdale	Borough	17500449	1110	1111	f	
141	10	4897	Oakmont	Borough	17500449	1084	1109	f	
144	10	6407	Osborne	Borough	17500449	1082	1083	f	
146	10	5028	Pitcairn	Borough	17500449	1069	1081	f	
148	10	5029	Pittsburgh	City	17500449	1028	1068	f	
149	7	5029	Pittsburgh	City	5721134	1	50	f	1930
152	10	5038	Pleasant Hills	Borough	17500449	1024	1027	f	
154	10	5065	Port Vue	Borough	17500449	1021	1023	f	
156	10	5108	Rankin	Borough	17500449	1010	1020	f	
159	10	5157	Robinson	Township	17500449	801	801	f	
161	10	5179	Rosslyn Farms	Borough	17500449	1001	1009	f	
162	10	5254	Sewickley	Borough	17500449	989	1000	f	
165	10	5256	Sewickley Heights	Borough	17500449	987	988	f	
167	10	5268	Sharpsburg	Borough	17500449	972	986	f	
169	10	5337	South Fayette	Township	17500449	800	800	f	
170	10	5337	South Fayette	Township	17500449	796	796	f	
172	10	5388	Springdale	Borough	17500449	964	971	f	
176	10	5460	Swissvale	Borough	17500449	947	963	f	
178	10	5466	Tarentum	Borough	17500449	931	946	f	
181	10	5482	Thornburg	Borough	17500449	928	930	f	
182	10	5510	Trafford	Borough	17500449	927	927	f	
183	10	5532	Turtle Creek	Borough	17500449	908	926	f	
184	10	5532	Turtle Creek	Borough	17500449	1735	1736	f	
187	10	5626	Verona	Borough	17500449	901	907	f	
189	10	5627	Versailles	Borough	17500449	900	900	f	
190	10	5636	Wall	Borough	17500449	889	899	f	
191	10	5730	West Deer	Township	17500449	808	809	f	
192	10	5730	West Deer	Township	17500449	797	797	f	
194	10	5734	West Elizabeth	Borough	17500449	883	888	f	
195	10	5745	West Homestead	Borough	17500449	875	882	f	
197	10	5761	West Mifflin	Borough	17500449	868	874	f	
199	10	5783	West View	Borough	17500449	854	867	f	
201	10	5800	Whitaker	Borough	17500449	851	853	f	
202	10	5808	Whitehall	Borough	17500449	842	850	f	
204	10	5807	White Oak	Borough	17500449	835	841	f	
205	10	5817	Wilkinsburg	Borough	17500449	819	834	f	
207	10	5826	Wilmerding	Borough	17500449	811	818	f	
209	10	3315	Aspinwall	Borough	17500449	1566	1570	f	
211	10	3326	Avalon	Borough	17500449	1556	1565	f	
212	10	3379	Bellevue	Borough	17500449	1549	1555	f	
213	10	3381	Ben Avon	Borough	17500449	1541	1548	f	
214	10	3382	Ben Avon Heights	Borough	17500449	1535	1540	f	
215	10	3428	Blawnox	Borough	17500449	1513	1521	f	
216	10	3448	Brackenridge	Borough	17500449	1502	1512	f	
219	10	3449	Braddock	Borough	17500449	1496	1501	f	
220	10	3450	Braddock Hills	Borough	17500449	1481	1495	f	
221	10	3454	Bradford Woods	Borough	17500449	1479	1480	f	
222	10	3467	Brentwood	Borough	17500449	1473	1478	f	
223	10	3472	Bridgeville	Borough	17500449	1456	1472	f	
224	10	3547	Carnegie	Borough	17500449	1448	1455	f	
225	10	3562	Castle Shannon	Borough	17500449	1441	1447	f	
226	10	3584	Chalfant	Borough	17500449	1438	1440	f	
227	10	3614	Cheswick	Borough	17500449	1436	1437	f	
228	10	3620	Churchill	Borough	17500449	1431	1435	f	
229	10	6098	Clairton	City	17500449	1415	1430	f	
230	10	3674	Collier	Township	17500449	807	807	f	
231	10	3717	Coraopolis	Borough	17500449	1405	1414	f	
232	10	3729	Crafton	Borough	17500449	1387	1404	f	
234	10	3806	Dormont	Borough	17500449	1374	1386	f	
236	10	3815	Dravosburg	Borough	17500449	1371	1373	f	
239	10	5111	Rayburn	Township	17500449	686	686	f	
248	10	4434	Leechburg	Borough	17500449	717	724	f	
249	10	4951	Parks	Township	17500449	688	688	f	
250	10	4948	Parker	City	17500449	709	709	f	
258	10	4839	North Apollo	Borough	17500449	710	714	f	
259	10	4381	Kittanning	Borough	17500449	725	735	f	
261	10	2289	Armstrong	County	17500449	693	693	f	
262	10	2289	Armstrong	County	17500449	783	794	f	
265	10	4015	Ford Cliff	Borough	17500449	743	744	f	
267	10	4068	Freeport	Borough	17500449	736	742	f	
268	10	5747	West Kittanning	Borough	17500449	696	701	f	
270	10	4014	Ford City	Borough	17500449	745	756	f	
271	10	4584	Manorville	Borough	17500449	715	716	f	
275	10	4583	Manor	Township	17500449	690	691	f	
279	10	5329	South Bethlehem	Borough	17500449	702	703	f	
281	10	5185	Rural Valley	Borough	17500449	704	708	f	
283	10	3926	Elderton	Borough	17500449	757	758	f	
284	10	5861	Worthington	Borough	17500449	694	695	f	
285	10	3298	Apollo	Borough	17500449	766	782	f	
287	10	3299	Applewold	Borough	17500449	764	765	f	
