recordingid	recordingoffice	recordingvolume	recordingpage	recordingpagetext	recordingdescription	recordingdate	recordingrepositorylevel	recordingrepositoryshort	recordingrepositoryitemnumber	recordingrepositoryitemfrom	recordingrepositoryitemto	recordingrepositoryitemlocation	recordingrepositoryextractdate	recordingrepositoryorder	recordingrepositoryentry	recordingisrelevant	recordingobtainedcopy	recordingtype	recordingnumbertype	recordingnumber	recordingnumbertext	recordingvolumeofficerinitials	recordingrepositoryseries	recordingrepositorycontainer
1	3102	A2	138				\N			\N	\N			\N				27	\N	\N				
2	3102	A5	407				\N			\N	\N			\N				27	\N	\N				
3	3101	22	6			1921-09-16	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
4	3101	20	370			1917-07-17	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
5	3101	20	130			1912-09-30	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
6	3101	23	30			1933-11-10	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
7	3101	23	22			1933-07-03	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
8	3097	3-1-49.06	921			1949-02-21	2	Sec'y.St.		\N	\N			\N				6	\N	\N				4906
9	3097	403	585			1939-07-31	2	Sec'y.St.		\N	\N		2014-05-21	\N	CITY OF ARNOLD			3	\N	\N				3660
10	3097	377	66			1937-03-22	2	Sec'y.St.		\N	\N		2014-05-21	\N	CITY OF JEANNETTE			3	\N	\N				353
11	3097	3-1-59.01	898			1959-01-12	2	Sec'y.St.		\N	\N		2014-05-21	\N	CITY OF LOWER BURRELL			6	\N	\N				5901
12	3098	1895-1899	83			1896-05-04	\N			\N	\N			\N				10	\N	\N				
13	3098	1913-1918	280			1915-06-28	\N			\N	\N			\N				10	\N	\N				
14	3101	13	454			1877-04-04	2	Sec'y.St.		\N	\N	10-0117		\N				26	\N	\N				794
15	3101	16	392			1896-10-01	2	Sec'y.St.		\N	\N	10-0123		\N				26	\N	\N				796
16	3101	20	200			1914-05-25	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
17	3101	13	585			1878-08-21	2	Sec'y.St.		\N	\N	10-0117		\N				26	\N	\N				794
18	3101	20	184			1914-01-08	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
19	3101	13	183			1874-07-08	2	Sec'y.St.		\N	\N	10-0117		\N				26	\N	\N				794
20	3101	13	195			1874-08-25	2	Sec'y.St.		\N	\N	10-0117		\N				26	\N	\N				794
21	3101	13	208			1874-09-23	2	Sec'y.St.		\N	\N	10-0117		\N				26	\N	\N				794
22	3101	13	279			1875-05-17	2	Sec'y.St.		\N	\N	10-0117		\N				26	\N	\N				794
23	3101	13	340			1876-02-04	2	Sec'y.St.		\N	\N	10-0117		\N				26	\N	\N				794
24	3101	13	357			1876-03-10	2	Sec'y.St.		\N	\N	10-0117		\N				26	\N	\N				794
25	3101	13	531			1877-12-24	2	Sec'y.St.		\N	\N	10-0117		\N				26	\N	\N				794
26	3101	13	551			1878-03-27	2	Sec'y.St.		\N	\N	10-0117		\N				26	\N	\N				794
27	3101	13	580			1878-07-08	2	Sec'y.St.		\N	\N	10-0117		\N				26	\N	\N				794
28	3101	13	622			1879-01-14	2	Sec'y.St.		\N	\N	10-0117		\N				26	\N	\N				794
29	3101	15	402			1891-08-13	2	Sec'y.St.		\N	\N	10-0123		\N				26	\N	\N				795
30	3101	15	334			1891-01-15	2	Sec'y.St.		\N	\N	10-0120		\N				26	\N	\N				795
31	3101	15	317			1890-12-19	2	Sec'y.St.		\N	\N	10-0120		\N				26	\N	\N				795
32	3101	15	220			1890-01-17	2	Sec'y.St.		\N	\N	10-0120		\N				26	\N	\N				795
33	3101	14	510			1887-01-12	2	Sec'y.St.		\N	\N	10-0123		\N				26	\N	\N				795
34	3101	14	508			1887-01-11	2	Sec'y.St.		\N	\N	10-0123		\N				26	\N	\N				795
35	3101	14	488			1886-06-21	2	Sec'y.St.		\N	\N	10-0123		\N				26	\N	\N				795
36	3101	14	466			1885-11-25	2	Sec'y.St.		\N	\N	10-0123		\N				26	\N	\N				795
37	3101	14	445			1885-06-~01	2	Sec'y.St.		\N	\N	10-0123		\N				26	\N	\N				795
38	3101	22	83			1927-12-17	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
39	3101	20	398			1917-10-24	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
40	3101	20	266			1915-12-08	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
41	3101	20	264			1915-12-02	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
42	3101	20	142			1912-12-16	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
43	3101	20	22			1911-05-12	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
44	3101	23	100			1935-01-11	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
45	3101	22	158			1930-12-30	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
46	3101	22	98			1928-12-03	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
47	3101	22	84			1928-01-26	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
48	3101	22	54			1926-01-26	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
49	3101	22	47			1925-09-11	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
50	3101	22	32			1924-05-27	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
51	3101	22	26			1923-12-13	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
52	3101	22	20			1923-09-08	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
53	3101	22	16			1923-04-05	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
54	3101	20	577			1921-01-18	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
55	3101	20	569			1920-12-29	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
56	3101	20	493			1918-12-17	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
57	3101	20	418			1918-01-09	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
58	3101	19	355			1909-01-14	2	Sec'y.St.		\N	\N	10-0128		\N				26	\N	\N				797
59	3101	19	205			1907-12-02	2	Sec'y.St.		\N	\N	10-0128		\N				26	\N	\N				797
60	3101	19	92			1907-03-07	2	Sec'y.St.		\N	\N	10-0128		\N				26	\N	\N				797
61	3101	22	2			1921-09-14	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
62	3101	22	1			1921-08-09	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
63	3101	20	168			1913-08-22	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
64	3101	22	167			1931-07-28	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
65	3101	14	380			1884-08-02	2	Sec'y.St.		\N	\N	10-0123		\N				26	\N	\N				795
66	3101	16	327			1896-03-03	2	Sec'y.St.		\N	\N	10-0123		\N				26	\N	\N				796
67	3101	16	88			1894-12-10	2	Sec'y.St.		\N	\N	10-0123		\N				26	\N	\N				796
68	3101	19	483			1909-02-25	2	Sec'y.St.		\N	\N	10-0128		\N				26	\N	\N				797
69	3101	20	217			1914-12-28	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
70	3101	20	182			1913-12-19	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
71	3101	20	171			1913-09-10	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
72	3101	20	23			1911-05-12	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
73	3101	22	159			1930-12-30	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
74	3101	18	456			1905-07-19	2	Sec'y.St.		\N	\N	10-0128		\N				26	\N	\N				797
75	3101	20	169			1913-08-22	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
76	3101	22	166			1931-07-28	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
77	3101	22	166			1931-07-28	2	Sec'y.St.		\N	\N	10-0129		\N				26	\N	\N				798
