recordingeventid	event	recording	eventrelationship	recordingeventinclude
1	4	1	1	t
2	9	2	1	t
3	29	1584	1	t
4	36	195	3	\N
5	36	194	3	\N
6	60	91	1	t
7	62	92	1	t
8	63	93	1	t
9	65	89	1	t
10	67	90	1	t
11	156	2355	1	t
12	160	2356	1	t
13	289	2152	3	\N
14	349	2189	10	\N
15	378	835	1	t
16	402	2260	1	t
17	408	1353	10	\N
18	467	205	1	t
19	468	636	1	t
20	491	1467	1	t
21	504	772	3	t
22	533	2187	1	t
23	543	1866	1	t
24	575	2042	1	t
25	583	612	5	f
26	583	651	1	t
27	601	927	1	t
28	603	1406	1	t
29	622	1758	1	t
30	637	329	1	t
31	637	322	1	t
32	643	323	1	t
33	646	209	1	t
34	668	455	1	t
35	693	2043	1	t
36	710	928	1	t
37	746	1865	1	t
38	763	931	1	t
39	776	929	1	t
40	779	930	1	t
41	784	1180	1	t
42	815	1185	1	t
43	825	1864	1	t
44	843	319	1	t
45	858	1408	1	t
46	887	1682	1	t
47	892	1141	1	t
48	893	1244	1	t
49	912	1443	1	t
50	913	2296	1	t
51	913	2250	1	t
52	916	2223	1	\N
53	954	1016	1	t
54	960	1822	1	t
55	986	773	3	t
56	1008	1652	10	\N
57	1020	2357	1	t
58	1051	1256	10	\N
59	1068	1652	10	\N
60	1070	2395	1	t
61	1092	2063	1	t
62	1112	2109	1	t
63	1115	2301	1	t
64	1117	1715	1	t
65	1124	1082	1	t
66	1132	1869	1	t
67	1136	2140	3	t
68	1136	2139	3	t
69	1148	1081	1	t
70	1157	1755	1	t
71	1163	1083	1	t
72	1167	2186	1	t
73	1168	332	1	t
74	1173	2145	1	t
75	1174	812	1	t
76	1179	2303	1	t
77	1186	802	1	t
78	1188	813	1	t
79	1199	647	1	t
80	1201	648	1	t
81	1205	721	1	t
82	1206	2374	3	f
83	1209	298	1	t
84	1224	1503	1	t
85	1224	1474	1	t
86	1232	1439	10	\N
87	1236	1187	1	t
88	1244	646	1	t
89	1247	1067	1	t
90	1253	614	1	t
91	1254	645	1	t
92	1256	1694	1	t
93	1257	1468	1	t
94	1265	842	1	t
95	1268	1844	1	t
96	1270	1201	1	t
97	1276	738	1	t
98	1277	592	1	t
99	1281	1977	1	t
100	1283	739	1	t
101	1297	1978	1	t
102	1301	2526	1	t
103	1318	705	1	t
104	1321	1745	1	t
105	1325	1410	1	t
106	1328	2115	1	t
107	1331	2523	1	t
108	1338	2065	1	t
109	1346	2064	1	t
110	1353	650	1	t
111	1357	644	1	t
112	1359	793	5	\N
113	1362	1756	1	t
114	1365	1741	1	t
115	1366	610	1	t
116	1371	2169	1	t
117	1374	1716	1	t
118	1377	104	1	t
119	1389	1742	1	t
120	1399	996	3	t
121	1405	1161	1	t
122	1406	1167	1	t
123	1407	793	1	t
124	1411	2188	1	t
125	1415	1129	1	t
126	1419	1979	1	t
127	1427	590	1	t
128	1446	635	1	t
129	1447	1899	1	t
130	1448	1439	1	t
131	1450	1069	1	t
132	1451	2138	1	t
133	1452	591	1	t
134	1453	1717	1	t
135	1456	2527	1	t
136	1464	2358	1	t
137	1465	2165	1	t
138	1469	2019	1	t
139	1473	1738	1	t
140	1474	2157	1	t
141	1485	1159	1	t
142	1492	578	1	t
143	1494	2020	1	t
144	1502	1358	1	t
145	1505	792	1	t
146	1506	699	1	t
147	1527	2158	1	t
148	1530	2101	1	t
149	1546	2170	1	t
150	1558	2144	1	t
151	1565	2179	1	t
152	1567	1359	1	t
153	1572	1738	1	t
154	1585	1751	1	t
155	1592	991	1	t
156	1616	2119	1	t
157	1619	2224	1	t
158	1624	946	1	t
159	1626	996	3	t
160	1627	1360	1	t
161	1633	2021	1	t
162	1640	1348	1	t
163	1644	2359	1	t
164	1645	1523	1	t
165	1648	1456	1	t
166	1649	692	1	t
167	1651	1002	1	t
168	1652	2168	1	t
169	1654	2528	1	t
170	1657	2360	1	t
171	1660	202	1	t
172	1662	2067	1	t
173	1664	1215	1	t
174	1665	2066	1	t
175	1666	1738	1	t
176	1671	948	1	t
177	1673	2018	1	t
178	1675	1714	1	t
179	1678	1224	1	t
180	1679	1018	1	t
181	1683	1163	1	t
182	1684	1981	1	t
183	1685	676	1	t
184	1686	2524	1	t
185	1696	2421	1	t
186	1700	2251	1	t
187	1706	1126	1	t
188	1707	2420	1	t
189	1713	1980	1	t
190	1719	2068	1	t
191	1722	741	1	t
192	1723	1164	1	t
193	1726	1151	1	t
194	1731	2510	1	t
195	1732	1143	1	t
196	1734	2143	10	\N
197	1740	2459	1	t
198	1742	1020	1	t
199	1753	1897	1	t
200	1753	1871	1	t
201	1757	1133	3	t
202	1757	1132	3	t
203	1761	1040	1	t
204	1762	1747	1	t
205	1763	1142	1	t
206	1767	2059	1	t
207	1771	1165	1	t
208	1772	1898	1	t
209	1772	1885	1	t
210	1772	1872	1	t
211	1773	518	1	t
212	1775	2069	1	t
213	1776	2446	1	t
214	1777	1042	1	t
215	1778	1411	1	t
216	1784	831	1	t
217	1789	439	1	t
218	1790	1528	1	t
219	1791	1749	1	t
220	1794	814	1	t
221	1798	1061	1	t
222	1802	2402	1	t
223	1816	2460	1	t
224	1817	2529	1	t
225	1829	1459	1	t
226	1840	693	1	t
227	1841	697	1	t
228	1844	1058	1	t
229	1845	616	1	t
230	1846	1623	1	t
231	1848	1166	1	t
232	1854	2017	1	t
233	1855	1019	1	t
234	1856	2166	1	t
235	1859	2219	1	t
236	1863	620	1	t
237	1865	2241	1	t
238	1871	1461	1	t
239	1872	1900	1	t
240	1879	994	1	t
241	1883	299	1	t
242	1887	947	1	t
243	1890	2009	1	t
244	1896	2472	1	t
245	1903	1516	1	t
246	1911	2070	1	t
247	1916	1186	5	\N
248	1916	1162	1	t
249	1917	530	10	\N
250	1928	1537	1	t
251	1932	698	1	t
252	1933	207	1	t
253	1934	1239	1	t
254	1941	970	1	t
255	1946	1091	1	t
256	1950	2530	1	t
257	1961	2053	1	t
258	1965	2462	1	t
259	1966	1516	1	t
260	1968	1534	1	t
261	1982	1945	1	t
262	1983	2071	1	t
263	1984	2035	1	t
264	1987	1149	1	t
265	1994	1453	1	t
266	1998	1277	1	t
267	1999	1160	1	t
268	2010	402	1	t
269	2013	1746	1	t
270	2028	1062	3	t
271	2031	2124	1	t
272	2034	1910	1	t
273	2052	1686	1	t
274	2055	2161	1	t
275	2060	1349	1	t
276	2065	1352	1	t
277	2082	1138	1	t
278	2085	2461	1	t
279	2090	282	1	t
280	2104	1501	1	t
281	2106	1184	5	\N
282	2106	1183	5	\N
283	2106	1182	5	\N
284	2106	1181	3	\N
285	2114	2162	1	t
286	2118	965	1	t
287	2122	740	1	t
288	2124	1939	1	t
289	2128	1750	1	t
290	2134	1232	1	t
291	2144	674	1	t
292	2146	2464	1	t
293	2151	613	1	t
294	2166	153	1	t
295	2168	2463	1	t
296	2177	742	1	t
297	2181	1373	1	t
298	2182	1003	1	t
299	2188	1172	1	t
300	2189	2072	1	t
301	2190	2058	1	t
302	2192	1982	1	t
303	2195	1473	1	t
304	2204	1941	1	t
305	2206	532	10	\N
306	2206	400	1	t
307	2223	1090	1	t
308	2226	2118	1	t
309	2232	587	1	t
310	2235	1830	1	t
311	2235	1829	1	t
312	2242	2116	1	t
313	2245	585	1	t
314	2245	583	1	t
315	2248	2466	1	t
316	2249	783	1	t
317	2251	967	1	t
318	2252	934	1	t
319	2253	1134	1	t
320	2257	1139	1	t
321	2262	2117	1	t
322	2264	2465	1	t
323	2270	921	1	t
324	2272	1521	1	t
325	2279	1070	1	t
326	2281	1094	1	t
327	2285	2294	1	t
328	2285	2248	1	t
329	2290	21	1	t
330	2290	1713	1	t
331	2291	827	1	t
332	2293	837	1	t
333	2296	1120	1	t
334	2297	540	1	t
335	2297	269	1	t
336	2300	1062	1	t
337	2303	2073	1	t
338	2305	2123	1	t
339	2306	465	1	t
340	2307	919	1	t
341	2309	1748	1	t
342	2310	2150	1	t
343	2311	20	1	t
344	2311	1214	1	t
345	2312	1240	1	t
346	2314	2122	1	t
347	2318	1463	1	t
348	2325	1744	1	t
349	2325	1740	1	t
350	2327	203	1	t
351	2334	1535	1	t
352	2335	1052	1	t
353	2337	871	1	t
354	2338	95	3	t
355	2338	19	1	t
356	2338	724	1	t
357	2344	2332	1	t
358	2345	841	1	t
359	2348	2209	1	t
360	2353	1743	1	t
361	2358	1991	1	t
362	2360	283	1	t
363	2375	1773	1	t
364	2377	1938	1	t
365	2377	1937	1	t
366	2380	1241	1	t
367	2382	1857	1	t
368	2383	838	1	t
370	2387	1931	1	t
371	2393	1307	3	t
372	2394	1708	1	t
373	2397	22	1	t
374	2397	1663	1	t
375	2398	1130	1	t
376	2399	2443	1	t
377	2402	1797	1	t
378	2404	2197	1	t
379	2408	1458	1	t
380	2411	1046	1	t
381	2418	553	10	\N
382	2418	425	1	t
383	2418	240	1	t
384	2419	1952	1	t
385	2424	1053	1	t
386	2425	872	1	t
387	2427	2299	1	t
388	2427	2259	1	t
389	2429	1464	1	t
390	2430	1077	1	t
391	2432	1351	1	t
392	2433	534	10	\N
393	2436	1774	1	t
394	2438	1929	1	t
395	2441	1013	1	t
396	2445	2416	1	t
397	2447	1378	1	t
398	2453	2456	1	t
399	2457	1764	1	t
400	2458	1533	10	\N
401	2460	1983	1	t
402	2461	2171	1	t
403	2467	2149	1	t
404	2468	977	1	t
405	2470	1664	1	t
406	2472	454	1	t
407	2474	24	10	\N
408	2474	23	1	t
409	2474	1799	1	t
410	2476	1785	1	t
411	2478	2038	1	t
412	2479	1772	1	t
413	2489	284	1	t
415	2492	673	1	t
416	2495	2074	1	t
417	2496	1886	1	t
418	2496	1881	1	t
419	2497	1721	1	t
420	2504	609	1	t
421	2505	289	1	t
422	2506	2044	1	t
423	2507	922	1	t
424	2508	1206	1	t
425	2509	2075	1	t
426	2510	1784	1	t
427	2511	2076	1	t
428	2514	14	1	t
429	2514	1767	1	t
430	2516	1092	1	t
431	2518	25	1	t
432	2518	1170	1	t
433	2518	1169	1	t
434	2519	743	1	t
435	2520	1047	1	t
436	2522	1878	1	t
437	2523	1882	1	t
438	2525	1783	1	t
439	2532	552	10	\N
440	2532	252	1	t
441	2537	2211	1	t
442	2541	1798	1	t
443	2543	26	1	t
444	2543	1364	1	t
445	2549	704	1	t
446	2549	694	1	t
447	2550	1426	1	t
448	2551	1833	1	t
449	2552	533	10	\N
450	2553	27	1	t
451	2553	17	1	t
452	2554	2016	1	t
453	2562	1780	1	t
454	2568	1087	1	t
455	2568	1085	1	t
456	2569	807	1	t
457	2573	1049	1	t
458	2577	1517	1	t
459	2578	1729	1	t
460	2582	28	1	t
461	2582	1845	1	t
462	2589	1786	1	t
463	2593	1842	1	t
464	2594	201	1	t
465	2599	1775	1	t
466	2601	2401	1	t
467	2604	2445	1	t
468	2606	1048	1	t
469	2612	869	1	t
470	2616	1934	1	t
471	2618	528	1	t
472	2626	2090	1	t
473	2632	1278	1	t
474	2636	1841	1	t
475	2637	2141	1	t
476	2640	394	1	t
477	2648	821	1	t
478	2649	1279	1	t
479	2654	612	5	f
480	2656	2467	1	t
481	2657	1526	1	t
482	2658	1316	1	t
483	2670	1231	1	t
484	2681	2267	1	t
485	2685	81	1	t
486	2685	2198	1	t
487	2687	2453	1	t
488	2689	2417	1	t
489	2690	1121	1	t
490	2693	923	1	t
491	2694	2454	1	t
492	2695	1436	1	t
493	2696	1135	1	t
494	2697	1552	1	t
495	2701	2154	1	t
496	2703	1435	1	t
497	2712	1084	1	t
498	2725	1985	1	t
499	2726	969	1	t
500	2729	1887	1	t
501	2729	1860	1	t
502	2730	1787	1	t
503	2730	1770	1	t
504	2731	832	1	t
505	2734	1727	1	t
506	2739	703	1	t
507	2739	675	1	t
508	2741	2159	1	t
509	2742	1984	1	t
510	2743	1851	1	t
511	2744	1850	1	t
512	2747	258	1	t
513	2748	2468	1	t
514	2749	1223	1	t
515	2752	611	1	t
516	2759	670	1	t
517	2762	396	1	t
518	2763	1124	1	t
519	2764	1522	1	t
520	2766	1136	1	t
521	2767	1127	1	t
522	2768	1465	1	\N
523	2768	1451	1	t
524	2768	1446	1	t
525	2769	2532	1	t
526	2770	1375	1	t
527	2772	1986	1	t
528	2774	912	1	t
529	2780	1858	1	t
530	2787	960	1	t
531	2791	1728	1	t
532	2794	1383	1	t
533	2795	2146	1	t
534	2798	444	1	t
535	2806	2078	1	t
536	2807	1888	1	t
537	2807	1879	1	t
538	2809	253	1	t
539	2810	2531	1	t
540	2813	1122	1	t
541	2818	65	1	t
542	2818	788	1	t
543	2819	2298	3	\N
544	2819	2278	3	\N
545	2821	722	1	t
546	2824	1079	1	t
547	2832	1987	1	t
548	2835	1733	1	t
549	2839	2442	1	t
550	2843	2313	1	t
551	2845	2423	1	t
552	2848	204	1	t
553	2852	1313	3	t
554	2855	2311	1	t
555	2856	2312	1	t
556	2859	2515	1	t
