recordingofficeid	government	recordingofficetype	recordingofficedistrictcircuit
1668	1817	10	
1669	1818	10	
1670	1819	10	
1671	1820	10	
1672	1821	10	
1673	1822	10	
1674	1823	19	
1675	1824	10	
1677	1826	10	
1678	1827	10	
1679	1828	10	
1680	1829	10	
1681	1830	10	
1682	1831	10	
1683	1832	10	
1684	1833	10	
1685	1834	10	
1686	1835	10	
1687	1836	10	
1688	1837	10	
2102	2287	17	
2103	2288	12	
2104	2289	17	
2105	2290	17	
2106	2291	17	
2107	2292	17	
2108	2293	17	
2109	2294	17	
2110	2295	17	
2111	2296	17	
2112	2297	17	
2113	2298	17	
2114	2299	17	
2115	2300	17	
2116	2301	17	
2117	2302	17	
2118	2303	17	
2119	2304	17	
2120	2305	17	
2121	2306	17	
2122	2307	17	
2123	2308	17	
2124	2309	17	
2125	2310	17	
2126	2311	17	
2127	2312	17	
2128	2313	17	
2129	2314	17	
2130	2315	17	
2131	2316	17	
2132	2317	17	
2133	2318	17	
2134	2319	17	
2135	2320	17	
2136	2321	17	
2137	2322	17	
2138	2323	17	
2139	2324	17	
2140	2325	5	
2141	2326	17	
2142	2327	17	
2143	2328	17	
2144	2329	17	
2145	2330	17	
2146	2331	17	
2147	2332	17	
2148	2333	17	
2149	2334	17	
2150	2335	17	
2151	2336	17	
2152	2337	13	
2153	2338	17	
2154	2339	17	
2155	2340	17	
2156	2341	17	
2157	2342	17	
2158	2343	17	
2159	2344	17	
2160	2345	17	
2161	2346	17	
2162	2347	17	
2163	2348	17	
2164	2349	17	
2165	2350	17	
2166	2351	17	
2167	2352	17	
2168	2353	17	
3096	32	21	
3097	40	3	
3098	40	27	
3099	32	28	E
3101	40	22	
3102	40	24	
3103	40	23	
3104	1825	10	
3105	37	21	
3122	135045	29	
3138	32	21	W
3139	32	21	E
