researchlogid	government	researchlogtype	researchlogdate	researchlogvolumefrom	researchlogfrom	researchlogvolumeto	researchlogto	researchlogismissing	researchlognotes	researchlogdisposition	event
2	40	7	2016-12-22	1914	1914	1914	1914	f			\N
3	40	7	2016-12-22	1963	1963	1964	1964	f			\N
4	40	81	2015-10-21					f	to the Department of State: "Records retention schedule for the Bureau of Commissions, Elections, and Legislation."		\N
5	40	7	2016-12-22	1960	1960	1961	1961	f			\N
6	40	7	2016-12-22	1955	1955	1955	1955	f			\N
7	40	7	2016-12-22	1888	1888	1888	1888	f	Pagination is by term.		\N
8	40	7	2016-12-22	1884	1884	1886	1886	f	Pagination is by term.		\N
9	40	7	2016-12-22	1860-1861	1860	1860-1861	1861	f			\N
10	40	7	2016-12-22	1868-1869	1868	1868-1869	1869	f			\N
11	40	7	2016-12-22	1890	1890	1892	1892	f	Pagination is by term.		\N
12	40	7	2016-12-22	1894	1894	1896	1896	f	Pagination is by term for 1894 and 1895.		\N
13	40	7	2016-12-22	1953	1953	1953	1953	f			\N
14	40	7	2016-12-22	1916	1916	1916	1916	f	Nothing found. 300 Jan. S. 1916 does not appear to be related to boundaries.		\N
15	40	7	2016-12-22	1906	1906	1906	1906	f			\N
16	40	58	2016-05-14	168	1950	169	1951	f			\N
17	40	58	2016-05-14	165	1949	165	1950	f			\N
18	40	58	2016-05-14	213	1968	213	1968	f			\N
19	40	58	2016-05-14	217	1969	217	1970	f			\N
20	40	57	2016-05-15	44	1979	44	1979	f			\N
21	40	57	2016-05-15	1	1970	25	1976	f			\N
22	40	57	2016-05-15	54	1980	54	1980	f			\N
23	40	31	2015-01-02	Gov. Casey, RG 10.63, Carton 160, Slot 4-2402, Folder 160-1	1987	Gov. Casey, RG 10.63, Carton 160, Slot 4-2402, Folder 160-2	1994	f	No city charters or county classification documents found. Folders concern Warren.		\N
24	40	31	2015-01-02	Gov. Casey, RG 10.63, Carton 71, Slot 4-2307, Folder 71-16	1986	Gov. Casey, RG 10.63, Carton 71, Slot 4-2307, Folder 71-16	1994	f	No city charters or county classification documents found. Folder is for "INC. - INFLATABLE."		\N
25	40	31	2015-01-02	Gov. Casey, RG 10.63, Carton 130, Slot 4-2366, Folder 130-5	1987	Gov. Casey, RG 10.63, Carton 130, Slot 4-2366, Folder 130-5	1994	f	No city charters or county classification documents found. Folder is for "SAINT."		\N
26	40	92	2015-01-02	Reapportionment Files, RG 26.145, Carton 2, Slot 7-2532	1981	Reapportionment Files, RG 26.145, Carton 2, Slot 7-2532	1990	f	No city charters or county classification documents found. However, did have an interesting survey of counties as to whether they possessed election precinct maps at the time.		\N
27	40	96	2015-01-02	RG 26.61, Carton 22, Slot 11-2870	1983	RG 26.61, Carton 23, Slot 11-2875	1992	f	No city charters or county classification documents found. Searched November 1983-January 1984, November 1985-February 1986, April 1988-December 1988, February 1991, and November 1991-June 1992.		\N
28	40	57	2016-05-15	75	1983	75	1983	f			\N
29	40	57	2016-05-15	166	1994	166	1994	f			\N
30	40	57	2016-05-15	123	1988	123	1989	f			\N
31	40	58	2017-06-28	212	1968	212	1968	f			\N
32	40	59	2016-05-15	400	1960	401	1960	f			\N
33	40	59	2016-05-15	355	1946	355	1947	f			\N
34	40	57	2016-05-15	157	1993	157	1993	f			\N
36	40	5	2017-01-25	1963	1963	1964	1964	f	Superior West		\N
37	40	58	2017-01-25	204	1964	204	1965	f			\N
38	40	58	2017-01-25	202	1963	202	1964	f			\N
39	40	25	2017-01-25	1971 (No. 501)	1971	1971 (End)	1971	f	Went through page by page.		\N
42	40	116	2017-01-25	1970	1970	1970	1970	f	Went through page by page.		\N
