sourceid	sourcetype	sourceshort	sourceshortpart	sourcebookshort	sourceurlsubstitute	sourcegovernment	sourcelawtype	sourceperson	sourcesectiontitle	sourcetitle	sourceidentifier	sourcepublisherlocation	sourcepublisher	sourcepublisheryear	sourcelawisbynumber	sourcelawhasspecialsession	sourceabbreviationverified	sourcetemporarynote
1	census reports	1870 Cns. Rep.			1	{1}		U.S. Department of the Interior		Ninth Census, Vol. I. The Statistics of the Population of the United States		Washington, D.C.	GPO	1872	f	f	f	
2	census reports	1880 Cns. Rep.			2	{1}		U.S. Department of the Interior, Census Office		Statistics of the Population of the United States at the Tenth Census [June 1, 1880]		Washington, D.C.	GPO		f	f	f	
3	census reports	1890 Cns. Rep.			3	{1}		U.S. Department of the Interior, Census Office		Report on Population of the United States at the Eleventh Census: 1890, Part I		Washington, D.C.	GPO	1895	f	f	f	
4	census reports	1900 Cns. Rep.			4	{1}		U.S. Department of the Interior, Census Office		Twelfth Census of the United States, Taken in the Year 1900. Vol. I, Population, Part I		Washington, D.C.	Census Office	1901	f	f	f	
5	census reports	1910 Cns. Rep.			5	{1}		U.S. Department of Commerce, Bureau of the Census		Thirteenth Census of the United States Taken in the Year 1910. Vol. III, Population, 1910. Reports by States, with Statistics for Counties, Cities and Other Civil Divisions. Nebraska-Wyoming, Alaska, Hawaii, and Porto Rico		Washington, D.C.	GPO	1913	f	f	f	
6	census reports	1920 Cns. Rep.			6	{1}		U.S. Department of Commerce, Bureau of the Census		Fourteenth Census of the United States Taken in the Year 1920. Population: 1920. Number and Distribution of Inhabitants		Washington, D.C.	GPO	1921	f	f	f	
7	census maps	Cns. Mp.			7	{1}		U.S. Department of Commerce, Bureau of the Census, Geography Division		Enumeration District and Related Maps, 1880 - 1990	National Archives Record Group 29, ARC Identifier 821491				f	f	f	
8	census reports	1930 Cns. Rep.			8	{1}		U.S. Department of Commerce, Bureau of the Census		Fifteenth Census of the United States: 1930. Population. Vol I: Number and Distribution of Inhabitants		Washington, D.C.	GPO	1931	f	f	f	
10	census correspondence	1940-1950 Cns. Minor Civ. Div. Corr.			10	{1}		U.S. Department of Commerce, Bureau of the Census, Geography Division		Maps and Correspondence Relating to Minor Civil Divisions, compiled 1940 - 1950	National Archives Record Group 29, Entry Number UD 99, ARC Identifier 4392606				f	f	f	
11	census reports	1940 Cns. Rep.			11	{1}		U.S. Department of Commerce, Bureau of the Census		Sixteenth Census of the United States: 1940. Population. Vol. I, Number of Inhabitants		Washington, D.C.	GPO	1942	f	f	f	
13	census correspondence	1950-1960 Cns. Minor Civ. Div. Corr.			13	{1}		U.S. Department of Commerce, Bureau of the Census, Geography Division		Microfilmed Correspondence Relating to Minor Civil Divisions, 1950-1960	National Archives Record Group 29, Entry Number UD 100, ARC Identifier 5634448				f	f	f	
14	census reports	1950 Cns. Rep.			14	{1}		U.S. Department of Commerce, Bureau of the Census		Census of Population: 1950. Vol. I, Number of Inhabitants		Washington, D.C.	GPO	1952	f	f	f	
16	census reports	1960 Cns. Rep.			16	{1}		U.S. Department of Commerce, Bureau of the Census		U.S. Census of Population: 1960. Vol. I, Characteristics of the Population		Washington, D.C.	GPO	1963	f	f	f	
