sourcecitationid	source	sourcecitationdate	sourcecitationdatetype	sourcecitationdaterange	sourcecitationdaterangetype	sourcecitationvolume	sourcecitationpagefrom	sourcecitationpageto	sourcecitationurl	sourcecitationtypetitle	sourcecitationperson	sourcecitationgovernmentreferences	sourcecitationarchiveslotfilm	sourcecitationarchivecarton	sourcecitationstatus	sourcecitationissue	sourcecitationname
1	5						533	533		Footnote 1		Adams;;Biglerville borough;;;;;;;					
2	5						533	533		Footnote 2		Allegheny;;ALL;;;;;;;					
3	5						533	533		Footnote 3		Allegheny;;Aleppo township;;;;;;;					
4	5						533	533		Footnote 4		Allegheny;;Aspinwall borough;;;;;;;					
5	5						533	533		Footnote 5		Allegheny;;Baldwin township;;;;;;;					
6	5						533	533		Footnote 6		Allegheny;;Bellevue borough;;;;;;;					
7	5						533	533		Footnote 7		Allegheny;;Brackenbridge borough;Harrison township;;;;;;					
8	5						533	533		Footnote 8		Allegheny;;Braddock township;;;;;;;					
9	5						533	533		Footnote 9		Allegheny;;Bridgeville borough;;;;;;;					
10	5						533	533		Footnote 10		Allegheny;;Carnegie borough;;;;;;;					
11	5						533	533		Footnote 11		Allegheny;;Carrick borough;;;;;;;					
12	5						533	533		Footnote 12		Allegheny;;Chartiers township;;;;;;;					
13	5						533	533		Footnote 13		Allegheny;;Cheswick township;;;;;;;					
14	5						533	533		Footnote 14		Allegheny;;Clairton township;;;;;;;					
15	5						533	533		Footnote 15		Allegheny;;Collier township;Heidelberg township;;;;;;					
16	5						533	533		Footnote 16		Allegheny;;Crafton borough;;;;;;;					
17	5						533	533		Footnote 17		Allegheny;;Dormont borough;;;;;;;					
18	5						533	533		Footnote 18		Allegheny;;Dravosburg borough;;;;;;;					
19	5						533	533		Footnote 19		Allegheny;;East McKeesport borough;;;;;;;					
20	5						533	533		Footnote 20		Allegheny;;Edgewood borough;;;;;;;					
21	5						533	533		Footnote 21		Allegheny;;Edgeworth borough;Leetsdale borough;;;;;;					
22	5						533	533		Footnote 22		Allegheny;;Glassport borough;;;;;;;					
23	5						533	533		Footnote 23		Allegheny;;Hays borough;;;;;;;					
24	5						533	533		Footnote 24		Allegheny;;Haysville borough;;;;;;;					
25	5						533	533		Footnote 25		Allegheny;;Homestead borough;;;;;;;					
26	5						533	533		Footnote 26		Allegheny;;Ingram borough;;;;;;;					
27	5						533	533		Footnote 27		Allegheny;;Jefferson township;;;;;;;					
28	5						533	533		Footnote 28		Allegheny;;Kennedy township;;;;;;;					
29	5						533	533		Footnote 29		Allegheny;;Leet township;;;;;;;					
30	5						533	533		Footnote 30		Allegheny;;Lower St. Clair township;;;;;;;					
31	5						533	533		Footnote 31		Allegheny;;McKees Rocks borough;;;;;;;					
32	5						533	533		Footnote 32		Allegheny;;McKeesport township;;;;;;;					
33	5						533	533		Footnote 33		Allegheny;;Mifflin township;;;;;;;					
34	5						534	534		Footnote 1		Allegheny;;Mount Oliver borough;;;;;;;					
35	5						534	534		Footnote 2		Allegheny;;Munhall borough;;;;;;;					
36	5						534	534		Footnote 3		Allegheny;;North Versailles township;;;;;;;					
37	5						534	534		Footnote 4		Allegheny;;O'Hara township;;;;;;;					
38	5						534	534		Footnote 5		Allegheny;;Ohio township;Sewickley township;;;;;;					
39	5						534	534		Footnote 6		Allegheny;;Patton township;;;;;;;					
40	5						534	534		Footnote 7		Allegheny;;Pittsburgh city;;;;;;;					
41	5						534	534		Footnote 8		Allegheny;;Pittsburgh city;;;;;;;					
42	5						534	534		Footnote 9		Allegheny;;Port Vue borough;;;;;;;					
43	2						310	310				Cumberland;;Cook township;;;;;;;					
44	5						534	534		Footnote 10		Allegheny;;Robinson township;Thornburg borough;;;;;;					
45	5						534	534		Footnote 11		Allegheny;;Ross township;;;;;;;					
46	5						534	534		Footnote 12		Allegheny;;St. Clair borough;;;;;;;					
47	5						534	534		Footnote 13		Allegheny;;Scott township;;;;;;;					
48	5						534	534		Footnote 14		Allegheny;;Sewickley Heights township;;;;;;;					
49	5						534	534		Footnote 15		Allegheny;;Spring Garden borough;;;;;;;					
50	5						534	534		Footnote 16		Allegheny;;Springdale borough;;;;;;;					
51	5						534	534		Footnote 17		Allegheny;;Springdale township;;;;;;;					
52	5						534	534		Footnote 18		Allegheny;;Stowe township;;;;;;;					
53	5						534	534		Footnote 19		Allegheny;;Trafford borough;;;;;;;					
54	5						534	534		Footnote 20		Allegheny;;Trafford borough;;;;;;;					
55	5						534	534		Footnote 21		Allegheny;;Union township;;;;;;;					
56	5						534	534		Footnote 22		Allegheny;;Upper St. Clair township;;;;;;;					
57	5						534	534		Footnote 23		Allegheny;;Versailles township;;;;;;;					
58	5						534	534		Footnote 24		Allegheny;;Wall borough;;;;;;;					
59	5						534	534		Footnote 25		Allegheny;;West Homestead borough;;;;;;;					
60	5						534	534		Footnote 26		Allegheny;;Westview borough;;;;;;;					
61	5						534	534		Footnote 27		Allegheny;;Whitaker borough;;;;;;;					
62	5						534	534		Footnote 28		Allegheny;;Wilkins township;;;;;;;					
63	5						534	534		Footnote 29		Allegheny;;Wilkinsburg borough;;;;;;;					
64	5						534	534		Footnote 30		Allegheny;;Wilson borough;;;;;;;					
65	5						534	534		Footnote 31		Armstrong;;Cowanshannock township;Rural Valley borough;;;;;;					
66	5						534	534		Footnote 32		Armstrong;;East Franklin township;West Kittanning borough;;;;;;					
67	5						534	534		Footnote 33		Armstrong;;Gilpin township;Johnetta borough;;;;;;					
69	5						534	534		Footnote 35		Armstrong;;Rayburn township;Wickboro borough;;;;;;					
70	5						535	535		Footnote 1		Beaver;;ALL;;;;;;;					
71	5						535	535		Footnote 2		Beaver;;Ambridge borough;Harmony township;;;;;;					
72	5						535	535		Footnote 3		Beaver;;Conway borough;Economy township;;;;;;					
73	5						535	535		Footnote 4		Beaver;;East Rochester borough;Rochester township;;;;;;					
74	5						535	535		Footnote 5		Beaver;;Hopewell township;South Heights borough;Woodlawn borough;;;;;					
75	5						535	535		Footnote 6		Beaver;;Industry township;Midland borough;;;;;;					
76	5						535	535		Footnote 7		Berks;;ALL;;;;;;;					
77	5						535	535		Footnote 8		Berks;;Bern township;;;;;;;					
78	5						535	535		Footnote 9		Berks;;Cumru township;;;;;;;					
79	5						535	535		Footnote 10		Berks;;Kutztown borough;Maxatawny township;;;;;;					
