sourcecitationeventid	sourcecitation	event	sourcecitationeventinclude
1	1	4063	f
2	2	3790	f
3	2	3760	f
4	2	3498	f
5	2	4198	f
6	2	4446	f
7	2	4367	f
8	2	4344	f
9	2	4303	f
10	2	4267	f
11	3	4099	f
12	3	4013	f
13	4	4183	f
14	5	4121	f
15	5	3946	f
16	6	4458	f
17	7	3928	f
18	8	4197	f
19	8	4112	f
20	8	4382	f
21	9	3931	f
22	10	4396	f
23	11	4121	f
24	12	4017	f
25	12	3937	f
26	13	3999	f
27	14	4070	f
28	15	4080	f
29	16	3937	f
30	17	4467	f
31	18	4075	f
32	19	4132	f
33	20	4197	f
34	21	4143	f
35	21	4133	f
36	22	4012	f
37	23	3946	f
38	24	4013	f
39	25	3951	f
40	25	4412	f
41	25	4334	f
42	26	4017	f
43	27	4070	f
44	27	4383	f
45	28	4087	f
46	29	4143	f
47	29	4133	f
48	29	4099	f
49	30	4152	f
50	30	4302	f
51	31	4340	f
52	32	4148	f
53	32	4147	f
54	32	3965	f
55	33	4172	f
56	33	4075	f
57	33	3991	f
58	33	3967	f
59	33	3951	f
60	33	3946	f
61	33	4412	f
62	33	4334	f
63	34	4152	f
64	35	3967	f
65	36	4218	f
66	36	4169	f
67	36	4147	f
68	36	4132	f
69	37	4183	f
70	37	4491	f
71	38	4099	f
72	39	4218	f
73	201	4424	f
74	40	4198	f
75	40	3836	f
76	40	4509	f
77	40	4491	f
78	40	4446	f
79	40	4367	f
80	40	4358	f
81	40	4344	f
82	40	4303	f
83	40	4267	f
84	41	4358	f
85	42	4012	f
86	43	2633	f
87	44	4507	f
88	45	4235	f
89	45	4458	f
90	46	4302	f
91	47	4467	f
92	47	4396	f
93	48	4099	f
94	49	3836	f
95	50	4301	f
96	51	3999	f
97	51	4301	f
98	52	4087	f
99	52	4340	f
100	53	4164	f
101	54	4218	f
102	54	4164	f
103	55	4509	f
104	56	3931	f
105	57	4148	f
106	57	3965	f
107	58	4169	f
108	59	3991	f
109	60	4235	f
110	61	4172	f
111	62	4174	f
112	62	4112	f
113	63	4174	f
114	63	4112	f
115	63	4382	f
116	64	4383	f
117	65	3897	f
118	66	3913	f
119	67	4206	f
120	69	3915	f
121	70	3694	f
122	71	4180	f
123	72	4001	f
124	73	4406	f
125	74	4573	f
126	74	4449	f
127	75	4286	f
128	76	3069	f
129	77	4053	f
130	78	4433	f
131	78	4343	f
132	79	4663	f
133	80	4093	f
134	81	4433	f
135	82	4433	f
136	83	4379	f
137	83	4311	f
138	84	4053	f
139	85	3330	f
140	86	4249	f
141	86	4248	f
142	86	4247	f
143	86	4246	f
144	86	4178	f
145	86	4114	f
146	86	4059	f
147	87	3933	f
148	88	2633	f
149	89	4405	f
150	90	4085	f
151	91	3313	f
152	92	4441	f
153	93	4441	f
154	94	4090	f
155	95	4085	f
156	96	763	f
157	97	4188	f
158	98	4108	f
159	99	3932	f
160	99	3856	f
161	100	4463	f
162	102	3955	f
164	103	3813	f
165	104	4377	f
167	105	4392	f
168	106	4397	f
170	107	4299	f
171	107	4260	f
172	108	3955	f
173	108	3954	f
174	108	3870	f
176	108	4550	f
177	108	4549	f
178	108	4335	f
180	109	3954	f
181	109	4392	f
182	110	4416	f
183	111	4335	f
184	112	3870	f
185	112	4550	f
186	112	4549	f
187	113	4377	f
188	114	4397	f
189	115	4416	f
190	116	4371	f
191	117	4109	f
192	118	3911	f
193	119	4387	f
194	120	4050	f
195	202	2578	f
196	121	3780	f
197	121	4167	f
198	122	4167	f
199	123	3884	f
200	124	4450	f
201	125	4211	f
202	128	4579	f
203	128	4578	f
204	128	4437	f
205	128	4373	f
206	129	4138	f
207	130	4138	f
208	130	4576	f
209	131	4577	f
210	131	4576	f
211	131	4503	f
212	132	4578	f
213	132	4437	f
214	132	4373	f
215	133	2312	f
216	134	4579	f
217	134	4577	f
218	134	4576	f
219	134	4503	f
220	135	3086	f
221	135	3056	f
