sourcecitationnoteid	sourcecitation	sourcecitationnotegroup	sourcecitationnotetype	sourcecitationnotetext
1	1	\N	550	1. Biglerville borough incorporated from part of Butler township in 1903.
3	2	\N	550	2. County totals include population (1,836 in 1000; 2,045 in 1890) of Sterrett township and West Liberty borough, and population (9,453 in 1890) of Elliott, Esplen, Montooth, and Sheraden boroughs, annexed to Pittsburgh city since 1900; and population (8,723 in 1890) of Beltzhoover, Chartiers, Mansfield, and Reynoldton boroughs, Beltzhoover annexed to Pittsburgh City, Chartiers and Mansfield taken to form Carnegie borough, and Reynoldton annexed to McKeesport city, between 1890 and 1900.
5	3	\N	550	3. Parts taken to form Haysville borough in 1902 and part of Sewickley Heights township in 1903.
7	4	\N	550	4. Part of O'Hara township annexed in 1905.
9	5	\N	550	5. Parts taken to form Carrick borough in 1904 and part of Hays borough in 1901.
11	6	\N	550	6. Part of Ross township annexed in 1907.
13	7	\N	550	7. Brackenridge borough incorporated from part of Harrison township in 1901.
15	8	\N	550	8. Parts annexed to Wilkinsburg borough in 1903 and 1907 and part annexed to Edgewood borough in 1905.
17	9	\N	550	9. Incorporated from part of Upper St. Clair township in 1901.
19	10	\N	550	10. Part of Scott township annexed in 1908.
21	11	\N	550	11. Incorporated from part of Baldwin township in 1904.
23	12	\N	550	12. Part taken to form Ingram borough In 1902 and part annexed to Crafton borough in 1901.
25	13	\N	550	13. Incorporated from part of Springdale township in 1902.
27	14	\N	550	14. Incorporated from part of Jefferson township in 1902.
29	15	\N	550	15. Heidelberg borough incorporated from part of Collier township in 1903.
31	16	\N	550	16. Part of Chartiers township annexed in 1901.
33	17	\N	550	17. Incorporated from part of Scott township in 1909.
35	18	\N	550	18. Incorporated from part of Mifflin township in 1903.
37	19	\N	550	19. Part of North Versailles township annexed in 1902.
39	20	\N	550	20. Part of Braddock township annexed in 1905.
41	21	\N	550	21. Incorporated from part of Leet township in 1904.
43	22	\N	550	22. Incorporated from part of Port Vue borough in 1002.
45	23	\N	550	23. Incorporated from parts of Baldwin and Mifflin townships in 1901.
47	24	\N	550	24. Incorporated from part of Aleppo township in 1902.
49	25	\N	550	25. Parts of Mifflin townshIp annexed in 1901, 1907, and 1908.
51	26	\N	550	26. Incorporated from part of Chartiers township in 1902.
53	27	\N	550	27. Parts taken to form Clairton and Wilson boroughs in 1902 and 1907, respectively.
55	28	\N	550	28. Organized from part of Stowe township in 1902.
57	29	\N	550	29. Parts taken to form Edgeworth and Leetsdale boroughs in 1904 and part of Sewickley Heights township in 1903.
59	30	\N	550	30. Part taken to form St. Clair borough and part annexed to Mount Oliver borough in 1904.
61	31	\N	550	31. Part of Stowe township annexed in 1907.
63	32	\N	550	32. Parts of Versailles township annexed in 1901, 1903, and 1904, and parts of North Versailles township annexed in 1903 and 1904.
65	33	\N	550	33. Parts taken to form West Homestead borough in 1900, Munhall and part of Hays boroughs in 1901, Dravosburg borough in 1903, Whitaker borough in 1904, and parts annexed to Homestead borough in 1901, 1907, and 1908.
67	34	\N	550	1. Part of Lower St. Clair township annexed in 1904.
69	35	\N	550	2. Incorporated from part of Mifflin township in 1901.
71	36	\N	550	3. Part taken to form Wall borough in 1904, part annexed to Trafford borough in 1905, and parts annexed to East McKeesport borough in 1902, and to McKeesport city in 1903 and 1904.
73	37	\N	550	4. Parts annexed to Aspinwall borough and Pittsburgh city in 1905 and 1909, respectively.
75	38	\N	550	5. Part taken to form part of Sewickley Heights township in 1903.
77	39	\N	550	6. Part annexed to Trafford borough in 1905.
79	40	\N	550	7. Elliott borough annexed in 1905, Esplen borough and Sterrett township annexed in 1906, Allegheny city (to which part of Spring Garden borough was annexed in 1900) and Montooth and Sheraden boroughs annexed in 1907, West Liberty borough annexed in 1908, and parts of O'Hara and Union townships annexed in 1909.
81	41	\N	550	8. Includes population (129,896 in 1900; 105,287 in 1890) of Allegheny city.
83	42	\N	550	9. Part taken to form Glassport borough in 1902.
85	43	\N	547	In 1872, from pt. of penn.
87	44	\N	550	10. Thornburg borough incorporated from part of Robinson township in 1909.
