sourcegovernmentid	source	sourceorder	government
1	1	1	1
2	2	1	1
3	3	1	1
4	4	1	1
5	5	1	1
6	6	1	1
7	7	1	1
8	8	1	1
9	10	1	1
10	11	1	1
11	13	1	1
12	14	1	1
13	16	1	1
14	17	1	1
15	18	1	1
16	19	1	1
17	21	1	1
18	22	1	1
19	24	1	1
20	26	1	1
22	26	3	9
25	26	6	22
27	26	8	32
28	26	9	40
57	30	1	2287
59	32	1	2293
60	32	2	2317
61	33	1	2303
62	34	1	2288
67	37	1	3280
68	38	1	3280
69	39	1	3280
70	40	1	3280
71	41	1	3280
72	42	1	3284
73	43	1	3286
74	44	1	3286
77	46	1	3292
83	52	1	40
89	58	1	2305
90	58	2	2333
91	59	1	2290
92	60	1	2332
93	61	1	3356
94	62	1	3356
95	63	1	2290
96	64	1	3356
97	65	1	3356
99	67	1	2306
100	68	1	2303
106	73	1	2288
109	76	1	2343
113	80	1	2335
114	81	1	2292
115	82	1	3447
116	83	1	3407
117	84	1	2344
118	85	1	3435
119	86	1	3435
120	87	1	2351
121	88	1	3447
122	89	1	2294
123	90	1	2326
125	92	1	2299
127	94	1	2324
130	96	1	2296
133	99	1	3477
134	100	1	3518
135	101	1	3538
136	102	1	40
139	105	1	34
140	105	2	32
141	105	3	40
142	105	4	9
143	105	5	22
145	106	1	5408
147	108	1	3586
148	109	1	3729
149	110	1	2301
150	111	1	2301
151	112	1	2301
153	114	1	3609
154	115	1	3621
157	117	1	3634
158	118	1	3703
162	122	1	2349
167	125	1	2288
168	126	1	2337
169	126	2	5002
170	127	1	2308
172	129	1	2302
173	130	1	2314
174	131	1	40
175	132	1	40
176	133	1	40
177	134	1	40
178	135	1	2309
179	136	1	9
180	137	1	4630
181	138	1	3797
182	140	1	3805
183	141	1	3805
184	142	1	3813
186	144	1	3914
187	145	1	2308
188	145	2	2324
189	146	1	5206
190	147	1	2312
191	148	1	2320
192	148	2	2330
193	148	3	2336
194	148	4	2341
195	148	5	2346
198	151	1	2292
201	154	1	2301
206	158	1	4091
208	160	1	5817
212	165	1	2350
213	166	1	40
215	168	1	2336
216	169	1	4190
221	172	1	4200
222	173	1	4190
223	174	1	4190
224	175	1	2292
225	176	1	5029
226	177	1	5817
227	178	1	4248
228	179	1	2335
241	190	1	2343
243	192	1	40
246	195	1	4346
247	196	1	4348
250	199	1	4664
251	200	1	2308
252	201	1	2301
253	202	1	2301
256	205	1	2288
257	205	2	2290
258	205	3	2349
259	205	4	2351
260	206	1	2326
261	206	2	2321
262	207	1	4391
263	208	1	2321
264	209	1	2321
265	210	1	2321
266	211	1	2321
268	213	1	2322
270	215	1	4421
271	216	1	4431
272	217	1	3280
274	219	1	2298
275	219	2	2310
276	219	3	2328
277	219	4	2339
278	220	1	2340
279	221	1	2325
280	222	1	4471
281	223	1	2300
282	223	2	2304
285	230	1	2294
287	245	1	2320
288	245	2	2330
289	245	3	2336
290	246	1	2337
294	257	1	40
296	259	1	2326
298	261	1	2325
299	262	1	2325
300	263	1	2299
301	263	2	2325
302	264	1	2331
303	264	2	2338
304	264	3	2350
315	275	1	2292
321	281	1	2301
328	286	1	2309
362	318	1	4699
363	319	1	4699
364	320	1	2332
365	321	1	2292
369	325	1	4734
370	326	1	4734
372	328	1	34
373	329	1	4768
374	330	1	2288
375	331	1	4781
376	332	1	4786
377	333	1	4786
378	334	1	4814
379	335	1	4836
380	336	1	4836
381	337	1	2334
382	338	1	2335
385	340	1	37
386	341	1	37
387	342	1	4902
389	344	1	40
390	345	1	40
391	346	1	40
392	347	1	40
393	348	1	40
394	349	1	40
395	350	1	40
397	352	1	40
398	353	1	40
399	354	1	40
400	355	1	40
401	356	1	40
402	357	1	40
403	358	1	40
404	359	1	40
405	360	1	40
406	361	1	40
407	362	1	40
408	363	1	40
409	364	1	2346
413	368	1	4982
417	372	1	5875
418	373	1	5029
420	375	1	5029
421	376	1	5875
422	377	1	5029
423	378	1	5029
424	379	1	5002
425	380	1	5002
426	381	1	2337
427	381	2	5002
428	382	1	2337
429	382	2	5002
430	383	1	2337
431	383	2	5002
432	384	1	5002
433	385	1	2337
434	385	2	5002
435	386	1	2337
436	386	2	5002
437	387	1	2288
438	388	1	5429
441	391	1	1
443	393	1	1
445	395	1	40
446	396	1	5082
447	397	1	40
448	398	1	5002
449	399	1	5002
450	400	1	5094
452	402	1	3634
454	404	1	2288
457	407	1	5114
460	410	1	2325
479	417	1	2326
489	427	1	5245
490	428	1	1
491	429	1	5265
496	434	1	2288
498	436	1	40
506	443	1	5324
509	446	1	40
510	447	1	40
511	448	1	40
512	449	1	40
513	450	1	5409
514	451	1	2318
515	452	1	2344
516	453	1	2297
517	454	1	2343
518	455	1	2343
519	456	1	2343
520	457	1	2343
521	458	1	2343
522	459	1	2343
523	460	1	2343
524	461	1	2343
525	462	1	2343
526	463	1	4415
527	464	1	5449
529	466	1	5465
531	468	1	5466
534	471	1	1
535	472	1	1
536	473	1	1
537	474	1	5814
538	475	1	40
539	476	1	40
540	477	1	50
542	479	1	40
548	484	1	2300
549	485	1	2327
551	487	1	5654
552	488	1	5654
553	489	1	5654
555	491	1	2291
