sourceitemid	source	sourceitemedition	sourceitemvolume	sourceitemyear	sourceitemurl	sourceitemurlcomplete	sourceitemurlcompletepart	sourceitempublicdomain	sourceitempublicdomainreason	sourceitemreferenceyearfrom	sourceitemreferenceyearto	sourceitemreferencevolume	sourceitemurlafter	sourceitemlocal
1	1			\N	https://archive.org/details/cu31924092705809	f	t	\N		\N	\N			f
2	2			\N	https://www2.census.gov/prod2/decennial/documents/1880a_v1-	f	f	\N		\N	\N			f
3	3			\N	https://www2.census.gov/prod2/decennial/documents/1890a_v1-	f	f	\N		\N	\N			f
4	4			\N	https://www2.census.gov/prod2/decennial/documents/33405927v1ch	f	f	\N		\N	\N			f
5	5			\N	https://archive.org/details/cu31924096785187	f	t	\N		\N	\N			f
6	6			\N	https://hdl.handle.net/2027/uc1.32106019502498	f	t	\N		\N	\N			f
7	8			\N	https://hdl.handle.net/2027/mdp.39015021780708	f	t	\N		\N	\N			f
8	10		17500449	\N	https://catalog.archives.gov/id/17500449	f	t	\N		\N	\N			f
9	10		17500450	\N	https://catalog.archives.gov/id/17500450	f	t	\N		\N	\N			f
10	10		17500451	\N	https://catalog.archives.gov/id/17500451	f	t	\N		\N	\N			f
11	10		17500452	\N	https://catalog.archives.gov/id/17500452	f	t	\N		\N	\N			f
12	10		17500453	\N	https://catalog.archives.gov/id/17500453	f	t	\N		\N	\N			f
13	11			\N	https://www2.census.gov/prod2/decennial/documents/33973538v1ch08.pdf	t	t	\N		\N	\N			f
14	14			\N	https://www2.census.gov/prod2/decennial/documents/23761117v1ch09.pdf	t	t	\N		\N	\N			f
15	16			\N	https://www2.census.gov/prod2/decennial/documents/17216604v1p40ch02.pdf	t	t	\N		\N	\N			f
16	17			\N	https://www2.census.gov/prod2/decennial/documents/00496492v1p40s1ch2.pdf	t	t	\N		\N	\N			f
17	21			\N	https://www.census.gov/prod/cen1990/cph2/cph-2-40.pdf	t	t	\N		\N	\N			f
