sourceitempartid	sourceitem	sourceitempartisbypage	sourceitempartfrom	sourceitempartto	sourceitempartsequencecharacter	sourceitempartsequence	sourceitempartsequenceverified	sourceitempartsequencecharacterafter	sourceitempartzeropad
1	1	t	\N	\N	/page/n	56	f		0
2	2	t	88	160	09.pdf#page=	-87	f		0
3	3	t	58	100	07.pdf#page=	-57	f		0
4	4	t	342	427	07.pdf#page=	-341	f		0
5	4	t	197	341	06.pdf#page=	-196	f		0
6	5	t	\N	\N	/page/n	19	f		0
7	6	t	\N	\N	?urlappend=%3Bview=1up%3Bseq=	10	f		0
8	7	t	\N	\N	?urlappend=%3Bview=1up%3Bseq=	8	f		0
9	8	t	\N	\N	/	0	t	/public?q=*%3A*	0
10	9	t	\N	\N	/	0	t	/public?q=*%3A*	0
11	10	t	\N	\N	/	0	t	/public?q=*%3A*	0
12	11	t	\N	\N	/	0	t	/public?q=*%3A*	0
13	12	t	\N	\N	/	0	t	/public?q=*%3A*	0
14	13	t	\N	\N		0	f		0
15	14	t	\N	\N		0	f		0
16	15	t	\N	\N		0	f		0
17	16	t	\N	\N		0	f		0
18	17	t	\N	\N		0	f		0
19	18	t	\N	\N		0	f		0
20	19	t	\N	\N		0	f		0
21	20	t	\N	\N	?urlappend=%3Bview=1up%3Bseq=	4	f		0
22	21	t	\N	\N	?urlappend=%3Bview=1up%3Bseq=	4	f		0
23	22	t	\N	\N	?urlappend=%3Bview=1up%3Bseq=	4	f		0
24	23	t	\N	\N	?urlappend=%3Bview=1up%3Bseq=	4	f		0
25	24	t	\N	\N	?urlappend=%3Bview=1up%3Bseq=	4	f		0
26	25	t	\N	\N	?urlappend=%3Bview=1up%3Bseq=	4	f		0
27	26	t	\N	\N	?urlappend=%3Bview=1up%3Bseq=	4	f		0
28	27	t	\N	\N	?urlappend=%3Bview=1up%3Bseq=	4	f		0
29	28	t	\N	\N	?urlappend=%3Bview=1up%3Bseq=	4	f		0
30	29	t	\N	\N	?urlappend=%3Bview=1up%3Bseq=	4	f		0
31	30	t	\N	\N	?urlappend=%3Bview=1up%3Bseq=	4	f		0
32	31	t	\N	\N	/page/n	0	f		0
33	32	t	\N	\N	?urlappend=%3Bview=1up%3Bseq=	4	f		0
34	33	t	\N	\N	?urlappend=%3Bview=1up%3Bseq=	4	f		0
35	34	t	\N	\N	?urlappend=%3Bview=1up%3Bseq=	4	f		0
36	35	t	\N	\N	?urlappend=%3Bview=1up%3Bseq=	4	f		0
37	36	t	\N	\N	?urlappend=%3Bview=1up%3Bseq=	4	f		0
