table_name	column_name	ordinal_position	data_type
adjudication	adjudicationid	1	integer
adjudication	adjudicationtype	2	integer
adjudication	adjudicationnumber	3	character varying
adjudication	adjudicationterm	4	character varying
adjudication	adjudicationlong	5	text
adjudication	adjudicationshort	6	text
adjudication	adjudicationnotes	7	text
adjudication	adjudicationstatus	8	text
adjudicationevent	adjudicationeventid	1	integer
adjudicationevent	adjudication	2	integer
adjudicationevent	event	3	integer
adjudicationevent	adjudicationeventrelationship	4	character varying
adjudicationlocation	adjudicationlocationid	1	integer
adjudicationlocation	adjudication	2	integer
adjudicationlocation	adjudicationlocationtype	3	integer
adjudicationlocation	adjudicationlocationvolume	4	character varying
adjudicationlocation	adjudicationlocationpagefrom	5	character varying
adjudicationlocation	adjudicationlocationpageto	6	character varying
adjudicationlocation	adjudicationlocationrepositorylevel	7	integer
adjudicationlocation	adjudicationlocationrepositoryshort	8	character varying
adjudicationlocation	adjudicationlocationrepositoryitemnumber	9	character varying
adjudicationlocation	adjudicationlocationrepositoryitemfrom	10	integer
adjudicationlocation	adjudicationlocationrepositoryitemto	11	integer
adjudicationlocation	adjudicationlocationrepositoryitemlocation	12	character varying
adjudicationlocation	adjudicationlocationrepositoryextractdate	13	text
adjudicationlocation	adjudicationlocationrepositoryorder	14	smallint
adjudicationlocation	adjudicationlocationrepositoryentry	15	character varying
adjudicationlocation	adjudicationlocationrepositoryseries	16	character varying
adjudicationlocationtype	adjudicationlocationtypeid	1	integer
adjudicationlocationtype	tribunal	2	integer
adjudicationlocationtype	adjudicationlocationtypearchivelevel	3	integer
adjudicationlocationtype	adjudicationlocationtypearchiveseries	4	character varying
adjudicationlocationtype	adjudicationlocationtypetype	5	character varying
adjudicationlocationtype	adjudicationlocationtypevolumetype	6	character varying
adjudicationlocationtype	adjudicationlocationtypepagetype	7	character varying
adjudicationlocationtype	adjudicationlocationtypeabbreviation	8	character varying
adjudicationlocationtype	adjudicationlocationtypelong	9	character varying
adjudicationlocationtype	adjudicationlocationtypeshort	10	character varying
adjudicationsourcecitation	adjudicationsourcecitationid	1	integer
adjudicationsourcecitation	source	2	integer
adjudicationsourcecitation	adjudicationsourcecitationvolume	3	smallint
adjudicationsourcecitation	adjudicationsourcecitationpagefrom	4	smallint
adjudicationsourcecitation	adjudicationsourcecitationpageto	5	smallint
adjudicationsourcecitation	adjudicationsourcecitationyear	6	character varying
adjudicationsourcecitation	adjudicationsourcecitationdate	7	text
adjudicationsourcecitation	adjudicationsourcecitationtitle	8	text
adjudicationsourcecitation	adjudicationsourcecitationauthor	9	character varying
adjudicationsourcecitation	adjudicationsourcecitationjudge	10	character varying
adjudicationsourcecitation	adjudicationsourcecitationdissentjudge	11	character varying
adjudicationsourcecitation	adjudicationsourcecitationurl	12	text
adjudicationsourcecitation	adjudication	13	integer
adjudicationtype	adjudicationtypeid	1	integer
adjudicationtype	tribunal	2	integer
adjudicationtype	adjudicationtypeabbreviation	3	character varying
adjudicationtype	adjudicationtypelong	4	character varying
adjudicationtype	adjudicationtypeshort	5	character varying
affectedgovernmentgis	affectedgovernmentgisid	1	integer
affectedgovernmentgis	affectedgovernment	2	integer
affectedgovernmentgis	governmentshape	3	integer
affectedgovernmentgroup	affectedgovernmentgroupid	1	integer
affectedgovernmentgroup	event	2	integer
affectedgovernmentgrouppart	affectedgovernmentgrouppartid	1	integer
affectedgovernmentgrouppart	affectedgovernmentgroup	2	integer
affectedgovernmentgrouppart	affectedgovernmentpart	3	integer
affectedgovernmentgrouppart	affectedgovernmentlevel	4	integer
affectedgovernmentlevel	affectedgovernmentlevelid	1	integer
affectedgovernmentlevel	affectedgovernmentlevelshort	2	character varying
affectedgovernmentlevel	affectedgovernmentlevellong	3	character varying
affectedgovernmentlevel	affectedgovernmentlevelgroup	4	integer
affectedgovernmentlevel	affectedgovernmentleveldisplayorder	5	integer
affectedgovernmentpart	affectedgovernmentpartid	1	integer
affectedgovernmentpart	governmentfrom	2	integer
affectedgovernmentpart	affectedtypefrom	3	integer
affectedgovernmentpart	governmentto	4	integer
affectedgovernmentpart	affectedtypeto	5	integer
affectedgovernmentpart	governmentformto	6	integer
affectedtype	affectedtypeid	1	integer
affectedtype	affectedtypelong	2	text
affectedtype	affectedtypeshort	3	character varying
affectedtype	affectedtypecreationdissolution	4	character varying
affectedtype	affectedtypefromtoboth	5	character varying
affectedtype	affectedtypeequal	6	boolean
affectedtype	originalaffectedtypeid	7	integer
censusmap	censusmapid	1	integer
censusmap	censusmapyear	2	smallint
censusmap	government	3	integer
censusmap	censusmapgovernmentname	4	character varying
censusmap	censusmapexamined	5	boolean
censusmap	censusmapmin	6	boolean
censusmap	censusmapmax	7	boolean
censusmap	censusmap1950pertinent	8	boolean
censusmap	censusmap1960pertinent	9	boolean
censusmap	censusmap1970pertinent	10	boolean
currentgovernment	currentgovernmentid	1	integer
currentgovernment	governmentsubmunicipality	2	integer
currentgovernment	governmentmunicipality	3	integer
currentgovernment	governmentcounty	4	integer
currentgovernment	governmentstate	5	integer
currentgovernment	event	6	integer
documentation	documentationid	1	integer
documentation	documentationtype	2	character varying
documentation	documentationshort	3	character varying
documentation	documentationlong	4	text
documentation	documentationcolor	5	character varying
documentation	documentationlocale	6	character varying
event	eventid	1	integer
event	eventtype	2	integer
event	eventmethod	3	integer
event	eventlong	4	character varying
event	eventfrom	5	smallint
event	eventto	6	smallint
event	eventgranted	7	character varying
event	eventeffective	8	text
event	eventeffectivetypestatutory	9	text
event	eventeffectivetypepresumedsource	10	integer
event	eventisrelevant	11	text
event	eventeffectiveorder	12	integer
event	eventismapped	13	boolean
event	eventismappedtype	14	text
event	government	15	integer
eventeffectivetype	eventeffectivetypeid	1	integer
eventeffectivetype	eventeffectivetypegroup	2	character varying
eventeffectivetype	eventeffectivetypequalifier	3	character varying
eventgranted	eventgrantedid	1	integer
eventgranted	eventgrantedlong	2	text
eventgranted	eventgrantedshort	3	character varying
eventgranted	eventgrantedsuccess	4	boolean
eventgranted	eventgrantedcertainty	5	boolean
eventgranted	eventgrantedplaceholder	6	boolean
eventgranted	eventgrantedpublicview	7	boolean
eventmethod	eventmethodid	1	integer
